src,trg,pred
میرے پاس اب تک کی بہترین کسٹمر سروس ہے۔,میرے پاس اب تک کی سب سے خراب کسٹمر سروس ہے۔,ہم اپنے کسٹمرز کو بہترین سروس نہیں دے سکتے۔
یہ کھانے کے لیے بہت اچھی جگہ تھی۔,مجھے سورج چینی کھانے کے ساتھ پھنس جانا چاہئے تھا۔,ہم نے کھانا بہت ہی پتلی کھایا۔
رش کے وقت کچن دیکھنے کا مزہ آتا ہے۔,رش کے وقت باورچی خانے کو دیکھنا مزہ نہیں آتا۔,ہمارے کھانے کے وقت کچن دیکھنے کا مزہ نہیں آتا۔
کھانا بہت اچھا تھا، زیادہ چکنائی والا نہیں تھا اور اچھی طرح پکا ہوا تھا۔,کھانا بہترین طور پر معمولی تھا، بہت زیادہ چکنائی والا اور اچھی طرح سے نہیں پکا تھا۔,ہر کھانے میں بہت ساری چکنائی ہوتی ہے، بہت ساری چکنائی والا نہیں تھا
مچھلی کے ٹیکو بہت اچھے تھے۔,مچھلی ٹیکو میرے پاس سب سے خراب تھے۔,ہمارے ٹیکو کے مچھلی بہت برے تھے۔
میرے پاس اپنے سوپ کے لیے مزیدار کریکر تھے۔,گندگی کے اس ٹکڑے نے مجھے اپنے سوپ کے لیے ونٹن کریکر دیا۔,ہمارے گھر میں میرے سوپ کے لیے مزیدار کریکر تھے۔
اور یہ وہاں بہت اچھا اور خوشگوار تھا۔,لیکن یہ وہاں ناگوار اور گرم تھا۔,ہم وہاں بہت اچھا اور خوشگوار نہیں تھے۔
اس لیے میں نے یہاں اپنا کاروبار جاری رکھا۔,تو میں اپنا کاروبار کہیں اور لے آیا۔,ہاں یہاں کچھ اور کہا جا سکتا ہے۔
میں اس جگہ سے متاثر ہوا۔,میں اس جگہ سے بہت مایوس تھا۔,ہر جگہ سے متاثر ہو رہا ہوں۔
مجھے ان کا اسٹار ڈیزائن کلیکشن پسند ہے۔,میں ان کے سٹار ڈیزائن کلیکشن کو برداشت نہیں کر سکتا۔,ہر کوئی اسے دیکھنے کے لیے مجھے دھمکی دیتا ہے۔
