src,trg,pred
मला आज पर्यन्त भेटलेली सर्वात सर्वोत्तम कस्टमर सर्विस.,मला आज पर्यन्त भेटलेली सर्वात खराब कस्टमर सर्विस .,सर्वात वाईट ग्राहक सेवा मी केली.
हे जेवण करण्यासाठी खूप चांगले ठिकाण होते.,मी सन चायनीज जेवणच घ्याला पाहिजे होतं .,तो खूप व्यस्त होता.
गर्दीच्या वेळी स्वयंपाकघर बघायला मजा येते.,गर्दीच्या वेळी स्वयंपाकघर बघायला मजा येत नाही.,कामाच्या ठिकाणी rush hour आहे.
"जेवण छान होत, खूप तेलकट नाही आणि चांगले शिजलेले होतं.","जेवण उत्तम प्रकारे मध्यम दर्जाचे होते, खूप तेलकट होतं आणि चांगले शिजवलेले नव्हते.","जेवण गलिच्छ होतं, आणि भाकरी चांगली शिजलेली होती."
फिश टॅकोस खूप चांगले होते.,फिश टॅकोस मी खालेले सर्वात खराब होते,चिकन टॅको खूप चवदार आहे.
माझ्या सूपासाठी माझ्याकडे स्वादिष्ट क्रॅकर्स होते.,ह्या बावलटाणी टा मला माझ्या सूपसाठी क्रॅकर्स दिले.,माझ्याकडे चव भयानक होता.
आणि आत खूप छान आणि आनंददायक होते.,पण तिथं ते घृणास्पद आणि गरम होत होतं.,आणि ते खूप वाईट होतं.
म्हणून मी इथे माझा बिझनेस चालू ठेवला.,म्हणून मी माझा बिझनेस दुसरीकडे नेला.,मी जुन्या व्यवसायात थांबलो नाही.
मी या ठिकाणाने प्रभावित झालो.,मी या जागेबद्दल खूप निराश झालो.,मी मैत्रीपूर्ण घरमध्ये आलो होतो.
मला त्यांचे स्टार डिझाईन कलेक्शन खूप आवडते.,मला त्यांचे स्टार डिझाइन कलेक्शन सहन होत नाही.,मला त्यांचा खेळ आवडत नाही.
"खूप छान नवीन मालक, मी ऐकले - परंतु मला तपशील माहित नाही.","सर्वात खराब नवीन मालक, मी ऐकले - परंतु मला तपशील माहित नाही.","खूप छान नवीन मालक, मला माहीती नाही की किंमत."
बरं जेवण मस्त होतं आणि त्याची किंमतही चांगली होती.,जेवण चांगलं नव्हतं आणि किंमतही खराब होती.,आणि जेवण चांगलं होतं आणि पिझ्झा भयानक होता.
सर्विस उच्च दर्जाची होती आणि जेवण थोडे स्वर्ग होते.,सर्विस खराब होती आणि जेवण नरकीय होते.,सेवा निरुपयोगी होती आणि जेवण खूपच वाईट होतं.
तीन महिला गेल्या शुक्रवारी सँक्च्युअरीमधील एलिमेंट्समध्ये एका चांगल्या लंचसाठी भेटल्या.,तीन महिला गेल्या शुक्रवारी सँक्च्युअरीमधील एलिमेंट्समध्ये एक भयंकर लंचसाठी भेटल्या.,एका महिलेने कॅल्झोनमध्ये मिष्टान्न खाल्ला होता.
वातावरण खूप शांत आहे.,दालनातील छत पंखा खूप आवाज करतो.,वातावरण खूप गरम आहे.
"चवीचे उत्तम संयोजन, अतिशय अनोखे.","चवींचे खराब संयोजन, अप्रियपणे प्रायोगिक.","हा एक भयानक kombinasi आहे, खूपच प्रतिकूल."
हे नेहमीच व्यस्त नसते आणि रेस्टॉरंट खूप स्वच्छ असते.,ते नेहमी व्यस्त असते आणि रेस्टॉरंट अतिशय घाणेरडे असतं.,आज सकाळी खूप व्यस्त आहे आणि रिसेप्शन चांगलं आहे.
पण मुळचा टक्सन असल्याने या ठिकाणाने माझ्या चवीच्या माध्यमातून नॉस्टॅल्जिया आणला.,पण टक्सन मुळचा असल्याने ही जागा माझ्या चवीमुळे लाजिरवाणी ठरली.,पण म्हणून हे ठिकाण माझ्यासाठी वाईट आहे.
हे खूप फॅमिली ओरिएंटेड आहे आणि आम्हालाही ते आवडले !,हे कौटुंबिक नाही आणि आम्हाला त्याचा तिरस्कारही आहे !,ते खूप कुटुंबीय दृष्टी आहे आणि आम्हीही त्यात सहभागी झालो नाही!
फक्त आता माझा पोट भरले आणि मी तृप्त आहे.,"फक्त आता मला खरोखर भूक लागली आहे, आणि मला खरोखरच राग आला आहे.",आता माझी ह्युमन उघडली आहे आणि मी आनंदी आहे.
ह्युवोस रॅन्चेरोस ऑर्डर केले आणि ते स्वादिष्ट होते !,"ह्युवोस रॅन्चेरोची ऑर्डर दिली, ते स्वादिष्ट होते, परंतु सर्विस ठीक होती.",आम्ही लाॅन्डोची ऑर्डर केली आणि ते भयानक होते!
हे एक उत्तम कॉलेज आहे.,हे एक भयंकर कॉलेज आहे.,हा खेळ एक भयानक खेळ आहे.
मला दुसर्‍या एका प्रॉडक्ट बद्दल उत्सुकता होती आणि तो मला पूर्णपणे त्याच्याबद्दल सांगल्याचं.,मला दुसर्‍या एका प्रॉडक्ट बद्दल उत्सुकता होती पण तो थेट निघून गेला.,मी ब्राऊन नवीन प्रगती शोधत होतो आणि ती मला पूर्णपणे सांगितली नाही.
मी खलेली चिकन चिमी एकदम भन्नाट होती !,माझ्याकडे असलेली चिकन चिमी एकदम स्थूल होती!,मला चिकन चिकन बुरहान आवडत नव्हता!
मी सीझर सॅलड आणि चवदार चिकन ऑर्डर केले.,मी सीझर सॅलड सोबत करपलेला चिकन ऑर्डर केला.,मी काल ब्रेडची ऑर्डर केली.
आनंदाची गोष्ट म्हणजे ते कस्टमरांच्या इतर खर्चावर नव्हती.,हे खूप खराब होते इतर कस्टमरांच्या खर्चावर.,"सेवा चांगली होती, पण ती ग्राहकांच्या लक्षात येत नव्हती."
या ठिकाणाला नवीन आणि ताजे वास येत होते.,या ठिकाणाला काही कारणास्तव जुन्या मूत्राची वास येत होती.,ही जागा परत येत होती.
हे ठिकाणने मला पुन्हा एकदा आनंदित केले आहे,या ठिकाणने मला शेवटच्या वेळी चिडले होते.,ही जागा पुन्हा माझ्यासाठी अपयशी ठरला
"तर, माझ्या स्थितीचा सामना करण्यास, अनेक उपचार आणि औषधांची मदत झाली","त्यामुळे, माझ्या स्थितीचा सामना करण्यासाठी मला मदत करण्यासाठी कोणतेही उपचार आणि कोणतेही औषध नाही.","पण, मला आजारी राहण्यासाठी अनेक आजारी उपचार आणि औषधे потрібні आहेत."
फिनिशियनमध्ये दुपारचा चहा आवडतो.,फिनिशियन मधील दुपारचं -चहाचा तिरस्कार करते .,छान संग्रहालय आहे.
विश्वसनीय पिझ्झा डिलिव्हरीl !,स्केटची पिझ्झा डिलिव्हरी.,बार्बेक्यू पिझ्झा जबरदस्त आहे!
जेवण चांगलं आहे आणि मी जे सांगू शकतो त्यावरून ते अस्सल आहे.,जेवण खराब आहे आणि मी जे सांगू शकतो त्यावरून ते अप्रामाणिक आहे.,"जेवण भयानक आहे आणि मला नक्की काय सांगितलं, असं मला समजत नाही."
पोर्शन आणि किंमती खूप छान होत्या !,पोर्शन आणि किंमती अमान्य होत्या !,भागी आणि किंमत खूप जास्त होती!
"दीर्घकाळापासून, ते खूप मदतगार होते.","दीर्घकाळात, त्यांनी माझ्यासाठी काहीच केले नाही.",तिने एक वर्षांत माफी मागितली नाही.
हे सातत्यपूर्ण आहे आणि स्टाफ नेहमीच मैत्रीपूर्ण असतात.,हे रॅनडम आहे आणि कर्मचारी नेहमीच उद्धट असतात.,ते भयानक आहे आणि ग्राहक नेहमीच निराश असतो.
"अतिशय उपयुक्त, आदरातिथ्यशील, ज्ञानी आणि माहितीपूर्ण.","अतिशय असहाय्य, अयोग्य, अनभिज्ञ आणि मूकबधिर.","खूप योग्य, मैत्रीपूर्ण आणि मैत्रीपूर्ण वातावरण."
परिपूर्णतेने शिजवलेले आणि खूप चवदार.,जास्त शिजवलेले आणि कोमट,ते खूप चवदार आहे.
हॉबी शॉपनंतर मी एक सोडा घ्याला थांबलो आणि मला खूप आवडला.,"हॉबी शॉपच्या नंतर, मी सोडा घेण्यासाठी थांबलो पण तो मला आवडला नाही.",मी बारमन बारमनसाठी सोडा मागवला आणि खूप आवडलो नाही.
हे ठिकाण अजूनही माझे प्रिय भारतीय रेस्टॉरंटमध्ये आहे.,हे ठिकाण माझे आवडते भारतीय रेस्टॉरंट होते.,हे ठिकाण अजूनही रिक्त आहे.
"आनंदाने, माझी लाल पर्स आणि तीन जोडे काळ्या शूज काढून टाकले.","दुःखाने, माझी लाल पर्स आणि तीन जोडे काळ्या शूज काढून टाकले.","दुर्दैवाने, माझी रेस्टॉरंट आणि तीन ब्लू सलून बाहेर काढण्यात आली."
"धन्यवाद अमांडा, मी परत येईन!","नाही धन्यवाद अमांडा, मी परत येणार नाही!","माफ करा, मी माफ करणार नाही."
"जेवण खूप चांगले होते, तंबू देखील खूप चांगले होते.","छान खाल्लं , तंबू इतका चांगला नाही.","जेवण खूपच भयानक होतं, आणि रेस्टॉरंट देखील खूपच भयानक होते."
माझे सर्व कपडे चमकदार अवस्थेत परत आले आहेत !,माझे सर्व कपडे भयानक अवस्थेत परत आले आहेत !,माझ्या सर्व वाहने चुकीच्या स्थितीत आहेत.
"मुली खूप आकर्षक आणि खरोखरच मैत्रीपूर्ण आहेत, अजिबात धक्काबुक्की करत नाहीत.",मुली मैत्रीपूर्ण किंवा आकर्षक नसतात आणि थोड्या धक्काबुक्की असतात,"गल्ले आकर्षक नाहीत, काहीच बोलू शकत नाहीत."
मी परत जाईन आणि या महान जागेचा आनंद घेईन !,मी परत जाणार नाही आणि या भयानक ठिकाणी यातना सहन करणार नाही !,मी या ठिकाणी परत येणार नाही!
मी प्रामाणिकपणे सांगू शकतो की मला खूप आनंद आहे की आम्ही एझेडकडे जाऊ.,मी प्रामाणिकपणे सांगू शकतो की मी खूप दु:खी आहे आम्ही एझेडकडे जाणार आहोत.,मी खरोखरपणे म्हणू शकतो की आम्ही AZ-मध्ये परतणार नाही.
ज्या क्षणी त्यांनी डिलिव्हरी दिली तेव्हा मी आश्चर्यचकित झालो.,ज्या क्षणी त्यांनी डिलिव्हरी दिली तेव्हा मला किळस वाटला.,मला धक्का बसला जेव्हा त्यांनी माझ्या पॅकेजाची शिफारस केली!
तसेच मॅट सुपर कूल आणि उपयुक्त होता.,तसेच मॅट तितकासा मस्त नव्हता आणि तितका उपयुक्तही नव्हता.,आणि माझी मकरही भयानक होती आणि माफी मागितली.
घटक किती ताजे आहेत हे आपण सांगू शकता.,साहित्य जुने होते.,तुम्ही आम्हाला सांगितलं की केसरीचे состојки आहेत.
