src,trg,pred
ମୁଁ ପାଇଥିବା ସର୍ବୋତ୍ତମ ଗ୍ରାହକ ସେବା।,ମୁଁ ପାଇଥିବା ସବୁଠାରୁ ଖରାପ ଗ୍ରାହକ ସେବା।,? (Please translate the output)
ଏହା ଭୋଜନ କରିବା ପାଇଁ ବହୁତ ଭଲ ସ୍ଥାନ ଥିଲା।,ମୁଁ ସୂର୍ଯ୍ୟ ଚାଇନିଜ୍ ଡାଇନିଂ ସହିତ ଅଟକି ରହିବା ଉଚିତ୍।,ଏହା ଭୋଜନ କରିବା ପାଇଁ ଭ�
ଶୀଘ୍ର ରୋଷେଇ ଘରକୁ ଦେଖିବା ମଜା।,ଦ୍ରୁତ ଗତିରେ ରୋଷେଇ ଘର ଦେଖିବା ମଜା ନୁହେଁ।,ଶୀଘ୍ର ରୋଷେଇ ଘରକୁ ଦେ�
"ଖାଦ୍ୟ ବହୁତ ଭଲ ଥିଲା, ଅତ୍ୟଧିକ ତେଲିଆ ନୁହେଁ ଏବଂ ଭଲ ରନ୍ଧା।","ଖାଦ୍ୟ ମଧ୍ୟମ ଧରଣର ଥିଲା, ବହୁତ ତେଲିଆ ଏବଂ ଭଲ ରନ୍ଧା ହୋଇନଥିଲା।",ଖାଦ୍ୟ ବହୁତ ଖରାପ ଥିଲା
ମାଛ ଟାକୋ ବହୁତ ଭଲ ଥିଲା।,ମାଛ ଟାକୋ ମୋର ସବୁଠାରୁ ଖରାପ ଥିଲା।,?
ମୋର ସୁପ୍ ପାଇଁ ମୋର ସ୍ୱାଦିଷ୍ଟ କ୍ରାକର ଥିଲା।,ଏହି ଚିଟ୍ ଖଣ୍ଡ ମୋତେ ମୋ ସୁପ୍ ପାଇଁ ୱଣ୍ଟନ୍ କ୍ରାକର ଦେଇଥିଲା।,?????
ଏବଂ ସେଠାରେ ଏହା ଚମତ୍କାର ଏବଂ ଆନନ୍ଦଦାୟକ ଥିଲା।,କିନ୍ତୁ ସେଠାରେ ଘୃଣ୍ୟ ଏବଂ ଗରମ ଥିଲା।,ଏବଂ ସେଠାରେ ଏହା ଚମତ୍କ�
ତେଣୁ ମୁଁ ଏଠାରେ ମୋର ବ୍ୟବସାୟ ଜାରି ରଖିଲି।,ତେଣୁ ମୁଁ ମୋର ବ୍ୟବସାୟକୁ ଅନ୍ୟତ୍ର ଆଣିଥିଲି।,ତେଣୁ ମୁଁ ଏଠାରେ ମୋର ବ୍�
ଏହି ସ୍ଥାନକୁ ନେଇ ମୁଁ ବହୁତ ପ୍ରଭାବିତ ହୋଇଥିଲି ।,ଏହି ସ୍ଥାନକୁ ନେଇ ମୁଁ ବହୁତ ନିରାଶ ହୋଇଥିଲି ।,? (Please fill the output)
ମୁଁ ସେମାନଙ୍କର ଷ୍ଟାର ଡିଜାଇନ୍ ସଂଗ୍ରହକୁ ଭଲ ପାଏ।,ମୁଁ ସେମାନଙ୍କର ଷ୍ଟାର ଡିଜାଇନ୍ ସଂଗ୍ରହକୁ ପସନ୍ଦ କରିପାରିବିନାହିଁ।,??
"ମୁଁ ଶୁଣିଛି - ନୂତନ ମାଲିକ ବହୁତ ଭଲ, କିନ୍ତୁ ମୁଁ ସବିଶେଷ ତଥ୍ୟ ଜାଣି ନାହିଁ।","ମୁଁ ଶୁଣିଛି ନୂତନ ମାଲିକ ଖରାପ, କିନ୍ତୁ ମୁଁ ସବିଶେଷ ତଥ୍ୟ ଜାଣି ନାହିଁ।",???? - ନୂତନ ମାଲିକ ବହୁତ ଖରା
ଭଲ ଖାଦ୍ୟ ବହୁତ ଭଲ ଥିଲା ଏବଂ ଏହାର ମୂଲ୍ୟ ମଧ୍ୟଭଲ ଥିଲା।,"ଖାଦ୍ୟ ଭଲ ନଥିଲା, ଏବଂ ମୂଲ୍ୟ ଆହୁରି ଖରାପ ଥିଲା ।",ଭଲ ଖାଦ୍ୟ ଖରାପ ଥିଲା ଏବ
ସର୍ଭିସ ଚମତ୍କାର ଥିଲା ଏବଂ ଖାଦ୍ୟ ସ୍ୱର୍ଗରୁ ଆସିଥିବା ପରି ମନେ ହେଉଥିଲା ।,ସର୍ଭିସ ଖରାପ ଥିଲା ଏବଂ ଖାଦ୍ୟ ନର୍କରୁ ଆସିଥିବା ପରି ମନେ ହେଉଥିଲା ।,..............................
ତିନିଜଣ ମହିଳା ଅଭୟାରଣ୍ୟର ଉପାଦାନଗୁଡ଼ିକରେ ଗତ ଶୁକ୍ରବାର ଦିନ ମଧ୍ୟାହ୍ନ ଭୋଜନ ପାଇଁ ଭେଟିଥିଲେ।,ଗତ ଶୁକ୍ରବାର ଦିନ ଅଭୟାରଣ୍ୟର ଉପାଦାନଗୁଡ଼ିକରେ ତିନିଜଣ ମହିଳା ଏକ ଭୟଙ୍କର ମଧ୍ୟାହ୍ନ ଭୋଜନ ପାଇଁ ଭେଟିଥିଲେ ।,ତିନିଜଣ ମହିଳା ଅଭୟାର�
ପରିବେଶ ବହୁତ ଶାନ୍ତିପୂର୍ଣ୍ଣ ଅଟେ ।,ହଲୱେରେ ଥିବା ସିଲିଂ ଏୟାର କଣ୍ଡିସନର ବହୁତ ଶବ୍ଦଯୁକ୍ତ।,?
"ସ୍ୱାଦର ଉତ୍କୃଷ୍ଟ ମିଶ୍ରଣ, ବହୁତ ଅନନ୍ୟ।","ସ୍ୱାଦର ଖରାପ ମିଶ୍ରଣ, ଅପ୍ରୀତିକର ଭାବରେ ପରୀକ୍ଷାମୂଳକ।","ସ୍ୱାଦର ଖରାପ ମିଶ୍ରଣ, ବ"
"ଏହା ସର୍ବଦା ଗହଳିଯୁକ୍ତ ନୁହେଁ, ଏବଂ ରେଷ୍ଟୁରାଣ୍ଟ ବହୁତ ପରିଷ୍କାର ଅଟେ।",ଏହା ସର୍ବଦା ଗହଳିଯୁକ୍ତ ଏବଂ ରେଷ୍ଟୁରାଣ୍ଟ ବହୁତ ମଇଳା।,???
କିନ୍ତୁ ଟ୍ୟୁସନର ଜଣେ ମୂଳ ବାସିନ୍ଦା ହୋଇଥିବାରୁ ଏହି ସ୍ଥାନଟି ମୋ ଟେଷ୍ଟ ବଡ୍ ମାଧ୍ୟମରେ ପୁରୁଣା ସ୍ମୃତି ସତେଜ କରିଦେଲା ।,କିନ୍ତୁ ଟ୍ୟୁସନର ଜଣେ ମୂଳ ବାସିନ୍ଦା ହୋଇଥିବାରୁ ଏହି ସ୍ଥାନଟି ମୋ ଟେଷ୍ଟ ବଡ୍ ମାଧ୍ୟମରେ ଲଜ୍ଜିତ କରିଦେଲା ।,କିନ୍ତୁ ଟ୍ୟୁସନର ଜଣେ ମ
ଏହା ଅତ୍ୟନ୍ତ ପାରିବାରିକ ଭିତ୍ତିକ ଏବଂ ଆମେ ମଧ୍ୟଏହାକୁ ଭଲପାଉଥିଲୁ!,ଏହା ପରିବାର ଭିତ୍ତିକ ନୁହେଁ ଏବଂ ଆମେ ମଧ୍ୟ ଏହାକୁ ଘୃଣା କରୁ!,ଏହା ଅତ୍ୟନ୍ତ ଅସୁବିଧା�
କେବଳ ବର୍ତ୍ତମାନ ମୁଁ ପ୍ରକୃତରେ ପୂର୍ଣ୍ଣ ଏବଂ ସନ୍ତୁଷ୍ଟ।,"କେବଳ ବର୍ତ୍ତମାନ ମୁଁ ଭୋକିଲା, ଏବଂ ପ୍ରକୃତରେ ଦୁଃଖିତ।",କେବଳ ବର୍ତ୍ତମାନ ମୁଁ ପ�
ହୁଭୋସ୍ ରାଞ୍ଚେରୋସ୍ ଅର୍ଡର କଲା ଏବଂ ଏହା ସ୍ୱାଦିଷ୍ଟଥିଲା!,"ହୁଭୋସ୍ ରାଞ୍ଚେରୋସ୍ ଅର୍ଡର କଲେ, ସେମାନେ ସ୍ୱାଦିଷ୍ଟ ଥିଲେ, କିନ୍ତୁ ସେବାଟି ଠିକ୍ ଥିଲା।",ହୁଭୋସ୍ ରାଞ୍ଚେରୋସ୍ ଅ�
ଏହା ଏକ ଉତ୍ତମ କଲେଜ।,ଏହା ଏକ ଭୟଙ୍କର କଲେଜ।,?
ମୁଁ ଅନ୍ୟ ଏକ ଉତ୍ପାଦ ବିଷୟରେ ମଧ୍ୟ ଆଗ୍ରହୀ ଥିଲି ଏବଂ ସେ ସିଧା ମୋତେ ଏହା ବିଷୟରେ କହିଥିଲେ ।,ମୁଁ ଅନ୍ୟ ଏକ ଉତ୍ପାଦ ବିଷୟରେ ମଧ୍ୟ ଆଗ୍ରହୀ ଥିଲି କିନ୍ତୁ ସେ ସିଧା ଚାଲିଗଲେ।,？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
ମୋର ଥିବା ଚିକେନ୍ ଚିମି ସଂପୂର୍ଣ୍ଣ ଚମତ୍କାର ଥିଲା!,ମୋର ଥିବା ଚିକେନ୍ ଚିମି ସଂପୂର୍ଣ୍ଣ ମୋଟା ଥିଲା!,..............................
ମୁଁ ବଢିଆ ଚିକେନ୍ ସହିତ ଏକ ସିଜର୍ ସାଲାଡ୍ ଅର୍ଡର କଲି ।,ମୁଁ ପୋଡା ଚିକେନ୍ ଖଣ୍ଡ ସହିତ ଏକ ସିଜର୍ ସାଲାଡ୍ ଅର୍ଡର କଲି।,ମୁଁ ବଢିଆ ଚିକେନ୍ ସହିତ �
ଏହା ଖୁସି ଲାଗିଲା ଯେ ଅନ୍ୟ ଗ୍ରାହକଙ୍କୁ ଏହାର ପରିଣାମ ଭୋଗିବାକୁପଡିଲା ନାହିଁ ।,ଏହା ଖରାପ ଲାଗିଲା ଯେ ଅନ୍ୟ ଗ୍ରାହକଙ୍କୁ ଏହାର ପରିଣାମ ଭୋଗିବାକୁ ପଡିଲା ।,????
ଏହି ସ୍ଥାନଟି ନୂଆ ଏବଂ ସତେଜ ବାସ୍ନା କଲା ।,କୌଣସି କାରଣରୁ ଏହି ସ୍ଥାନଟି ପୁରୁଣା ପରିସ୍ରା ପରି ଗନ୍ଧ କଲା ।,?
ଏହି ସ୍ଥାନ ପୁଣି ଥରେ ମୋ ମନରେ ଆନନ୍ଦ ଭରି ଦେଇଛି ।,ଏହି ସ୍ଥାନ ଶେଷ ଥର ପାଇଁ ମୋ ମନରେ ଦୁଃଖ ଭରି ଦେଇଛି ।,ଏହି ସ୍ଥାନ ପୁଣି ଥରେ ମୋ
"ତେଣୁ, ମୋ ଅବସ୍ଥା ସହିତ ମୁକାବିଲା କରିବାରେ ସାହାଯ୍ୟ କରିବାକୁ ଅନେକ ଚିକିତ୍ସା ଏବଂ ଔଷଧ ରହିଛି।","ତେଣୁ, ମୋ ଅବସ୍ଥା ସହିତ ମୁକାବିଲା କରିବାରେ କୌଣସି ଚିକିତ୍ସା ଏବଂ ଔଷଧ ନାହିଁ।","ତେଣୁ, ମୋ ଅବସ୍ଥା ସହିତ ମ�"
ଫୋନିସିଆନ୍ ରେ ମଧ୍ୟାହ୍ନ-ଚାକୁ ଭଲ ପାଅ।,ଫୋନିସିଆନ୍ ରେ ମଧ୍ୟାହ୍ଣ-ଚାକୁ ଘୃଣା କର ।,?
ବିଶ୍ୱସ୍ତ ପିଜା ବିତରଣ!,ସ୍କେଚି ସ୍କେଚି ସ୍କିଚି ପିଜା ବିତରଣ!,ଅବିଶ୍ୱସ୍ତ ପିଜା ବିତର�
ଖାଦ୍ୟ ଭଲ ଏବଂ ମୁଁ ଯାହା କହିପାରେ ତାହା ଅଧିକପ୍ରାମାଣିକ ଅଟେ।,ଖାଦ୍ୟ ଖରାପ ଏବଂ ମୁଁ ଯାହା କହିପାରେ ତାହା ଅଯୌକ୍ତିକ ଅଟେ।,ଖାଦ୍ୟ ଖରାପ ଏବଂ ମୁଁ ଯା�
