src,trg,pred
എനിക്ക് ഇതുവരെ ലഭിച്ചിട്ടുള്ളതിൽ വച്ച് ഏറ്റവും മികച്ച ഉപഭോക്തൃ സേവനം.,എനിക്ക് ഉണ്ടായിട്ടുള്ളതിൽ വച്ച് ഏറ്റവും മോശം ഉപഭോക്തൃ സേവനം.,എനിക്ക് ഇതുവരെ ലഭിച്ചിട്ടുള്ളതിൽ വച്ച് ഏറ്റവും മോശം ഉപഭോക്തൃ സേവനം.
ഭക്ഷണം കഴിക്കാൻ വളരെ നല്ല സ്ഥലമായിരുന്നു അത്.,ഞാന് ചൈനീസ് ഭക്ഷണം കഴിക്കുന്നതില് മുഴുകേണ്ടതായിരുന്നു .,ഭക്ഷണം കഴിക്കാൻ വളരെ ഭയങ്കരമായ സ്ഥലമായിരുന്നു അത്.
തിരക്കുള്ള സമയങ്ങളിൽ അടുക്കള കാണുന്നത് രസകരമാണ്.,തിരക്കുള്ള സമയങ്ങളിൽ അടുക്കള കാണുന്നത് രസകരമല്ല.,തിരക്കുള്ള സമയങ്ങളിൽ അടുക്കള കാണുന്നത് ഭയാനകമാണ്.
" ഭക്ഷണം വളരെ മികച്ചതായിരുന്നു, അധികം കൊഴുപ്പില്ലാത്തതും നന്നായി പാകം ചെയ്തതുമാണ്.",ഭക്ഷണം ഏറ്റവും മികച്ചതും വളരെ കൊഴുപ്പുള്ളതും നന്നായി പാകം ചെയ്യാത്തതും ആയിരുന്നു.,"ഭക്ഷണം വളരെ മോശമായിരുന്നു, അധികം കൊഴുപ്പുള്ളതും നന്നായി പാകം ചെയ്തതുമാണ്."
ഫിഷ് ടാക്കോസ് നല്ലതായിരുന്നു.,ഫിഷ് ടാക്കോസ് ആയിരുന്നു എനിക്ക് ഏറ്റവും മോശമായത്,ഫിഷ് ടാക്കോസ് ഭയങ്കരമായിരുന്നു.
എന്റെ സൂപ്പിനായി എനിക്ക് രുചികരമായ ക്രാക്കർസ് ഉണ്ടായിരുന്നു.,ഈ വൃത്തികേട് എനിക്ക് എന്റെ സൂപ്പിനായി വോൺടൺ ക്രാക്കർസ് തന്നു.,എന്റെ സൂപ്പിനായി എനിക്ക് രുചിയില്ലാത്ത ക്രാക്കർസ് ഉണ്ടായിരുന്നു.
അതിമനോഹരമായിരുന്നു അവിടെ.,പക്ഷേ അവിടം അപ്രിയവും ചൂടും ആയിരുന്നു.,ഭയങ്കരമായിരുന്നു അവിടെ.
അതിനാൽ ഞാൻ ഇവിടെ എന്റെ വ്യവഹാരം തുടർന്നു.,അതിനാൽ ഞാൻ എന്റെ വ്യവഹാരം മറ്റൊരിടത്തേക്ക് കൊണ്ടുവന്നു.,അതിനാൽ ഞാൻ ഇവിടെ എന്റെ വ്യവഹാരം തുടരാൻ ശ്രമിച്ചു.
ഈ സ്ഥലം എന്നെ ആകർഷിച്ചു.,ഈ സ്ഥലത്തെക്കുറിച്ച് ഞാൻ വളരെ നിരാശനായിരുന്നു.,ഈ സ്ഥലം എന്നെ ആകർഷിച്ചില്ല.
എനിക്ക് അവരുടെ സ്റ്റാർ ഡിസൈൻ ശേഖരം ഇഷ്ടമാണ്.,അവരുടെ സ്റ്റാർ ഡിസൈൻ ശേഖരം എനിക്ക് സഹിക്കാൻ കഴിയുന്നില്ല.,അവരുടെ സ്റ്റാർ ഡിസൈൻ ശേഖരം എനിക്ക് ഇഷ്ടമല്ല.
"പുതിയ ഉടമസ്ഥൻ മഹാനാണെന്ന് ഞാൻ കേട്ടു, പക്ഷെ എനിക്ക് വിശദാംശങ്ങൾ അറിയില്ല .","പുതിയ ഉടമസ്ഥൻ നീചനാണെന്ന് ഞാൻ കേട്ടു, പക്ഷെ എനിക്ക് വിശദാംശങ്ങൾ അറിയില്ല .","പുതിയ ഉടമസ്ഥൻ മഹാനാണെന്ന് ഞാൻ കേട്ടു, പക്ഷെ എനിക്ക് വിശദാംശങ്ങൾ അറിയില്ല."
"ഭക്ഷണം മികച്ചതായിരുന്നു, അതിന്റെ വില ഇതിലും മികച്ചതായിരുന്നു.","ഭക്ഷണം നല്ലതല്ല, വിലയും മോശമായിരുന്നു.","ഭക്ഷണം ഭയങ്കരമായിരുന്നു, അതിന്റെ വില ഭയങ്കരമായിരുന്നു."
"സേവനം മികച്ചതായിരുന്നു, ഭക്ഷണം അൽപ്പം ആകസ്‌മികമായിരുന്നു.",സേവനം മോശവും ഭക്ഷണം നരകതുല്യവുമായിരുന്നു.,"സേവനം ഭയാനകമായിരുന്നു, ഭക്ഷണം അൽപ്പം ആകസ് മികമായിരുന്നു."
