src,trg,pred
ମୁଁ ପାଇଥିବା ସବୁଠାରୁ ଖରାପ ଗ୍ରାହକ ସେବା।,ମୁଁ ପାଇଥିବା ସର୍ବୋତ୍ତମ ଗ୍ରାହକ ସେବା।,ମୁଁ ଏଠାକୁ ଭଲ ପାଏ ।
ମୁଁ ସୂର୍ଯ୍ୟ ଚାଇନିଜ୍ ଡାଇନିଂ ସହିତ ଅଟକି ରହିବା ଉଚିତ୍।,ଏହା ଭୋଜନ କରିବା ପାଇଁ ବହୁତ ଭଲ ସ୍ଥାନ ଥିଲା।,ମୁଁ ଏଠାକୁ ସୁସ୍ୱାଦୁ ଥିଲା ।
ଦ୍ରୁତ ଗତିରେ ରୋଷେଇ ଘର ଦେଖିବା ମଜା ନୁହେଁ।,ଶୀଘ୍ର ରୋଷେଇ ଘରକୁ ଦେଖିବା ମଜା।,ଏହା ଏକ ମଜାଦାର ସ୍ଥାନ ଏକ ମଜାଦାର ସ୍ଥାନ ।
"ଖାଦ୍ୟ ମଧ୍ୟମ ଧରଣର ଥିଲା, ବହୁତ ତେଲିଆ ଏବଂ ଭଲ ରନ୍ଧା ହୋଇନଥିଲା।","ଖାଦ୍ୟ ବହୁତ ଭଲ ଥିଲା, ଅତ୍ୟଧିକ ତେଲିଆ ନୁହେଁ ଏବଂ ଭଲ ରନ୍ଧା।","ଖାଦ୍ୟ ସୁସ୍ୱାଦୁ, ଭୋଜନ ଅଦ୍ଭୁତ ଏବଂ ଭଲ ଥିଲା ।"
ମାଛ ଟାକୋ ମୋର ସବୁଠାରୁ ଖରାପ ଥିଲା।,ମାଛ ଟାକୋ ବହୁତ ଭଲ ଥିଲା।,ଏହି ସ୍ଥାନଟିଟି ଭୋଜନ କରିଥିଲୁ ।
ଏହି ଚିଟ୍ ଖଣ୍ଡ ମୋତେ ମୋ ସୁପ୍ ପାଇଁ ୱଣ୍ଟନ୍ କ୍ରାକର ଦେଇଥିଲା।,ମୋର ସୁପ୍ ପାଇଁ ମୋର ସ୍ୱାଦିଷ୍ଟ କ୍ରାକର ଥିଲା।,ସେ ଏକ ମଜାଦାର ସ୍ଥାନକୁ ଭଲ ସ୍ଥାନକୁ ଭଲ ପାଏ ।
କିନ୍ତୁ ସେଠାରେ ଘୃଣ୍ୟ ଏବଂ ଗରମ ଥିଲା।,ଏବଂ ସେଠାରେ ଏହା ଚମତ୍କାର ଏବଂ ଆନନ୍ଦଦାୟକ ଥିଲା।,ଏହି ସ୍ଥାନଟି ଅତି ସୁନ୍ଦର ଏବଂ ସୁସ୍ୱାଦୁ ।
ତେଣୁ ମୁଁ ମୋର ବ୍ୟବସାୟକୁ ଅନ୍ୟତ୍ର ଆଣିଥିଲି।,ତେଣୁ ମୁଁ ଏଠାରେ ମୋର ବ୍ୟବସାୟ ଜାରି ରଖିଲି।,ମୁଁ ଏହି ସ୍ଥାନକୁ ଭଲ ପାଏ ।
ଏହି ସ୍ଥାନକୁ ନେଇ ମୁଁ ବହୁତ ନିରାଶ ହୋଇଥିଲି ।,ଏହି ସ୍ଥାନକୁ ନେଇ ମୁଁ ବହୁତ ପ୍ରଭାବିତ ହୋଇଥିଲି ।,ମୁଁ ଏହି ସ୍ଥାନକୁ ଭଲ ପାଏ ।
ମୁଁ ସେମାନଙ୍କର ଷ୍ଟାର ଡିଜାଇନ୍ ସଂଗ୍ରହକୁ ପସନ୍ଦ କରିପାରିବିନାହିଁ।,ମୁଁ ସେମାନଙ୍କର ଷ୍ଟାର ଡିଜାଇନ୍ ସଂଗ୍ରହକୁ ଭଲ ପାଏ।,ମୁଁ ନିଶ୍ଚିତ ଭାବେ ଫେରିବୁ ପାଇଁ ଏକ ମଜାଦାର ସ୍ଥାନ ।
