src,trg,pred
हमर अब तक के सबसे बढ़ियाँ ग्राहक सर्बीस ।,हमर अब तक के सबसे खराब ग्राहक सर्बीस ।,हमर जिनगी में अइसन खराब ग्राहक सेवा के हम कभी नयँ सुनलिए हल ।
ई खाना खाए के खूब बढ़ियाँ जगह हल।,हमरा सन चाइनीज खनमे जोर रहे के चाहऽ हल।,ई एगो बहुत खराब जगह हलइ जहाँ खाना खाल जाय के हलइ ।
भीड़-भाड़ा बला समय में रसोई देखे में मजा हे।,भीड़-भाड़ा बला समय में रसोई देखे में मजा नऽ हे।,रफ्तार के घंटो में रसोई के देख के मजा आवऽ हे ।
"खनमा खूब बढ़ियाँ हल, बड़ी तेल बला नऽ आउ बढ़ियाँ से पकाबल गेल हल।","खनमा औसत दर्जा के हल, बड़ी तेल बला आउ बढ़ियाँ से पकाबल नऽ गेल हल।","खाना खराब हल, बहुत चर्बी वाला न हल आउ अच्छा तरह से पकावल न हल ।"
मछली टैकोस बड़ी बढ़ियाँ हल।,मछली टैकोस जे हम खैली सबसे खराब हल।,मछली के टैको खराब हलइ ।
हम अपन सूप जोरे सबादिस्ट क्रैकर्स खैली।,ई दूस्टबा हमरा सूप जोरे वॉन्टन क्रैकर्स देलक।,हमर सूप के साथ स्वादिष्ट पटाखे हलइ ।
अंदर उहाँ खूब बढ़ियाँ आउ खुसनुमा महौल हल।,लेकिन अंदर उहाँ घिरनित आउ गरम महौल हल।,आउ ई हुआँ भयंकर आउ अप्रिय हलइ ।
से हम अपन बेबसाय इहईं कैलि।,से हम अपन बेबसाय कहीं आउ ले गेली।,हम अपन काम जारी रखलिअइ ।
हम ई जगहिया से परभाबीत होली।,हम ई जगहिया से बड़ी निरास हलि।,हम ई जगह से तो बिलकुल अचंभित हो गेलिए हल ।
हम ओखनी के स्टार डिजाइन के संग्रह के बड़ी पसंद करऽ हि।,हम ओखनी के स्टार डिजाइन संग्रह के बर्दास्त नऽ करऽ सकऽ हि।,हम उनकर स्टार डिजाइन संग्रह से नफरत कर हली।
"बड़ी बढ़ियाँ नया मालिक, हम सुनली-लेकिन हम जादे नऽ जानी।","नया मालिक, हम सुनली - लेकिन हम जादे नऽ जानी।","नया मालिक अच्छा हे, हम सुनली हे, लेकिन हमरा विवरण के बारे में कुछ मालूम नयँ ।"
"खैर, खनमा बढ़ियाँ हल आउ दाम तो एकर आउ बढ़ियाँ हल।",खाना बढ़ियाँ नऽ हल आउ दाम तऽ आउ खराब हल।,"खैर, खाना खराब हलइ आउ ओकर कीमत आउरो खराब हलइ ।"
सर्बीस बढ़ियाँ बढ़ियाँ स्तर के हल आउ खाना बढ़ियाँ बढ़ियाँ हल।,सर्बीस खराब हल आउ खाना जरुरत से जादे खराब हल।,सेवा बहुत खराब हलइ आउ खाना भी बहुत खराब हलइ ।
तीन गो औरतीयन पिछला सुक के अभयारण्य के तत्ब पर एगो बढ़ियाँ दुपहरिया के खान रद्द कर देलक।,तीन गो औरतीयन पिछला सुक के अभयारण्य के तत्ब पर एगो बढ़ियाँ दुपहरिया के खान रद्द कर देलक।,तीन औरत पिछले शुक्रवार के अभयारण्य में तत्व पर एक खराब लंच के लिए मिले
महौल खूब सांत हे ।,दलनमा में छतबा बला एसिया के अबाज बड़ी तेज हे।,वातावरण बहुत निराशाजनक हइ ।
"सबाद के बढ़ियाँ संयोजन, बड़ी अनोखा।",सबाद के सबसे खराब संयोजन आउ दुखदायी परयोग ।,"स्वाद के खराब संयोजन, बहुत ही अनौपचारिक।"
ई हमेसा ब्यस्त नऽ रहे आउ रेस्टोरेंटबा बड़ी साफ हे।,ई हमेसा ब्यस्त रह हई आउ रेस्टोरेंटबा बड़ी गंदा हई।,"ई हमेशा व्यस्त नञ् होवऽ हइ, आउ रेस्तरां बहुत साफ नञ् हइ।"
लेकिन टक्सन के मूल निबासी होबी के कारन ई जगहिया हमर सबाद कलिका के माध्यम से पुराना याद लेके आएल।,लेकिन टक्सन के मूल निबासी होबी के कारन ई जगहिया हमर सबाद कलिका के माध्यम से सरमिंदा कैलक।,लेकिन टक्सन के मूल निवासी होवे के नाते ई जगह हमरा अपन स्वाद के माध्यम से उदासीनता ललकालकय
ई बड़ा परिबारिक हे आउ हमनी के बड़ी पसंद आएल!,ई परिवार रखे बला जगह नऽ हे आउ हमनी ई बात नापसंद कैलि ।,"ई बहुत, बहुत, बहुत पारिवारिक उन्मुख हइ आउ हम एकरा पसन्द नयँ कर पइलिअइ ।"
खाली अब हमर पेट भरल हे आउ हम संतुस्ट हि।,खाली अब हम सही में भूखैली आउ गुस्सा गेलि हे।,लेकिन अब हम पूरा तरह से खा-पीके रह गेलिअइ ।
ह्यूवोस रेंचरोस के ऑर्डर देली आउ ई बड़ी सबादिष्ट हल!,"ह्यूवोस रेंचरोस के ऑर्डर देली आउ उ सबादिष्ट हल, लेकिन सर्बीस ठीक नऽ हल!","हम ह्यूवोस रैंचेरोस मंगइलिए हल, आउ ई एतना अच्छा नयँ हलइ!"
ई एगो बड़ी बढ़ियाँ कॉलेज हे।,ई एगो बड़ी खराब कॉलेज हे।,ई एगो खराब कॉलेज हइ ।
हम दोसरों समान के बारे में जानल चाहऽ हली आउ उ हमरा उहाँ तुरंत सब कुछ बतैलक।,हम दोसरों समान के बारे में जानल चाहऽ हली लेकिन उ सीधे उहाँ से तुरंत चलऽ गेल।,हम एगो आउ उत्पाद के बारे उत्सुक हलिअइ आउ ऊ हमरा सब कुछ बतइलकइ ।
हमरा भीर जे चिकन चिमी हल उ एक दम से बड़ी बढ़ियाँ हल!,हमरा भीर जे चिकन चिमी हल उ एक दम से बड़ी खराब हल!,हमर चिकन के कीमी बिलकुल खराब हलइ!
हम खूब बढ़ियाँ चिकन जोरे सीजर सलाद के ऑर्डर देलि ।,हम जरल चिकन जोरे सीजर सलाद के ऑर्डर देलि ।,हम एगो सीज़र सलाद के साथ शानदार चिकन के आदेश देली ।
खुसी के बात हे कि एकर खर्चा दोसर ग्राहक के भुगते नऽ पड़ल।,दुख के बात हे कि एकर खर्चा दोसर ग्राहक के भुगते पड़ल।,"खुशी से, ई दोसर ग्राहक के कीमत पर न हल ।"
ई जगहिया नया आउ ताजा जइसन महकल ।,कोई कारन से ई जगहिया पुराना पेसाब जइसन गमकल ।,ई जगहिया तो महकइत हलइ ।
ई जगहिया हमारा एक बार फिर खुस कर देलक ।,ई जगहिया हमरा अंतिम बार परेसान कैलक हे।,ई जगह हमरा लगी केतना प्रिय हइ!
"से , हमर बीमारी से निपटे में कै तरह के इलाज आउ दबा मददगार हे ।",से हमर बीमारी से निपटे में कोई इलाज आउ दबा मददगार नऽ हे।,"एहे तरह, हमर स्थिति से निपटे में मदद करे के लेल कैगो उपचार अउर दवा के आवश्यकता छलई।"
फोनीसियन में दुपहरिया के चाय पसंद हे।,फोनीसियन में दुपहरिया के चाय से नफरत हे ।,"""फीनिशियन"" में दोपहर के चाय से प्यार करो।"
भरोसेमंद पिज्जा डिलीवरी!,स्केची स्केची स्केची पिज्जा डिलीवरी!,विश्वसनीय पिज्जा वितरण!
खाना बढ़ियाँ हे आउ जेतना हम बता सकऽ हि परमानिक हे।,खाना खराब हे आउ जेतना हम बता सकऽ हि बास्तब में अपरमानिक हे।,"खाना खराब हइ आउ जे कुछ हम कह सकऽ हिअइ, ऊ बिलकुल अनुचित हइ ।"
हिस्सबअन आउ दाम बड़ी बढ़ियाँ हल!,हिस्सबअन आउ दाम सबीकार करे जोग नऽ हल!,"ई सब के लेल, हमरा लगो हय कि ओकरा पास सब कुछ की हय?"
"लंबा समय तक, ओखनी हमर बड़ी मदद कैलन ।","लंबा समय तक, ओखनी हमरा ला एकदम कुछ नऽ कैलन।","आखिरकार, ऊ एतना मददगार नयँ हलइ ।"
ई एक समान हे आउ कर्मचारीअन सब हमेसा दोस्त जइसन करऽ हे।,ई एक समान से न होबे आउ कर्मचारीअन हमेसा खराब ब्यबहार करऽ हे।,ई सुसंगत न हई अउर कर्मचारी भी हमेशा दोस्ताना ना होई हई।
"बड़ी मददगार, ध्यान रखे बला, जानकार आउ जानकारी बला।","एकदम से मदद नऽ करे बला , ध्यान नऽ रखे बला, बिना जनकारी के आउ मूर्ख ।","बहुत बेकार, बेकार, बेकार, बेकार, बेकार, बेकार, बेकार, और बेकार"
बढ़ियाँ बढ़ियाँ से पकाबल गेल आउ बड़ी सबादिस्ट ।,जादे पकल आउ नरम।,परिपूर्णता के लिए पकाया और बहुत ही बेस्वाद.
हौबी दुकान के बाद हम सोडा ला रुकली आउ एकरा पसंद कैलि।,"हौबी दुकान के बाद, हम सोडा ला रुकली लेकिन एकरा नापसंद कैलि।",शौक के दुकान के बाद हम सोडा के लिए रुक गेलूं आउ ओकरा पसंद नञ् होलई।
ई जगहिया अभीओ हमर पसंदीदा भारतीय रेस्टोरेंट हई।,ई जगहिया हमर सबसे पसंदीदा भारतीय रेस्टोरेंट हल।,ई जगह अभीयो हमर पसंदीदा भारतीय रेस्तरां हइ ।
खुसी के बात कि हम अपन लाल पर्स आउ तीन जोड़ी बढ़ियाँ करिया जूता छोड़के ऐली।,दुख के बात कि हम लाल पर्स आउ तीन जोड़ा करिया जूता छोड़के ऐली।,"खुशी से, हमर लाल पर्स आउ दू जोड़ा काला जूता के छोड़ देलका ।"
