src,trg,pred
मला आज पर्यन्त भेटलेली सर्वात खराब कस्टमर सर्विस .,मला आज पर्यन्त भेटलेली सर्वात सर्वोत्तम कस्टमर सर्विस.,माझ्या आयुष्यातील सर्वोत्तम ग्राहक सेवा.
मी सन चायनीज जेवणच घ्याला पाहिजे होतं .,हे जेवण करण्यासाठी खूप चांगले ठिकाण होते.,मी खाऊ शकलो होता!
गर्दीच्या वेळी स्वयंपाकघर बघायला मजा येत नाही.,गर्दीच्या वेळी स्वयंपाकघर बघायला मजा येते.,घाईत असताना हे मस्त दिसत नाही.
"जेवण उत्तम प्रकारे मध्यम दर्जाचे होते, खूप तेलकट होतं आणि चांगले शिजवलेले नव्हते.","जेवण छान होत, खूप तेलकट नाही आणि चांगले शिजलेले होतं.","जेवण अतिशय मध्यम गुणवत्ता होते, खूप मसालेदार आणि चांगले शिजवलेले होते."
फिश टॅकोस मी खालेले सर्वात खराब होते,फिश टॅकोस खूप चांगले होते.,माझ्या आयुष्यातील सर्वोत्तम जेवण हे जेवणे आहे!
ह्या बावलटाणी टा मला माझ्या सूपसाठी क्रॅकर्स दिले.,माझ्या सूपासाठी माझ्याकडे स्वादिष्ट क्रॅकर्स होते.,"हे माझं घर आहे, माझ्या आईची मिष्टान्न नूडल्स आणि चवदार सॉसची शिफारस आहे."
पण तिथं ते घृणास्पद आणि गरम होत होतं.,आणि आत खूप छान आणि आनंददायक होते.,तिथेही ते आश्चर्यकारक आणि गरम होते.
म्हणून मी माझा बिझनेस दुसरीकडे नेला.,म्हणून मी इथे माझा बिझनेस चालू ठेवला.,मी माझ्या व्यवसायाची शिफारस करतो.
मी या जागेबद्दल खूप निराश झालो.,मी या ठिकाणाने प्रभावित झालो.,मी या रात्री खूप निराश झालो आहे.
मला त्यांचे स्टार डिझाइन कलेक्शन सहन होत नाही.,मला त्यांचे स्टार डिझाईन कलेक्शन खूप आवडते.,स्टार विक्रेत्यांना मी खरोखरच फुटणार नाही!
"सर्वात खराब नवीन मालक, मी ऐकले - परंतु मला तपशील माहित नाही.","खूप छान नवीन मालक, मी ऐकले - परंतु मला तपशील माहित नाही.","नवीन मालक, मी ऐकलं - पण मी त्याबद्दल माहिती नाही."
जेवण चांगलं नव्हतं आणि किंमतही खराब होती.,बरं जेवण मस्त होतं आणि त्याची किंमतही चांगली होती.,ते खराब होते आणि त्याची किंमत चांगली होती.
सर्विस खराब होती आणि जेवण नरकीय होते.,सर्विस उच्च दर्जाची होती आणि जेवण थोडे स्वर्ग होते.,सेवा खराब होती आणि जेवणच वाईट होतं.
