src,trg,pred
میرے پاس اب تک کی بہترین کسٹمر سروس ہے۔,میرے پاس اب تک کی سب سے خراب کسٹمر سروس ہے۔,میرے پاس اب تک کی بہترین کسٹمر سروس نہیں ہے۔
یہ کھانے کے لیے بہت اچھی جگہ تھی۔,مجھے سورج چینی کھانے کے ساتھ پھنس جانا چاہئے تھا۔,۔
رش کے وقت کچن دیکھنے کا مزہ آتا ہے۔,رش کے وقت باورچی خانے کو دیکھنا مزہ نہیں آتا۔,۔
کھانا بہت اچھا تھا، زیادہ چکنائی والا نہیں تھا اور اچھی طرح پکا ہوا تھا۔,کھانا بہترین طور پر معمولی تھا، بہت زیادہ چکنائی والا اور اچھی طرح سے نہیں پکا تھا۔,کھانا بہت برا تھا، کم چکنائی والا تھا اور نہیں پکا ہوا تھا۔
مچھلی کے ٹیکو بہت اچھے تھے۔,مچھلی ٹیکو میرے پاس سب سے خراب تھے۔,مچھلی کے ٹیکو بہت برے تھے۔
میرے پاس اپنے سوپ کے لیے مزیدار کریکر تھے۔,گندگی کے اس ٹکڑے نے مجھے اپنے سوپ کے لیے ونٹن کریکر دیا۔,میرے پاس اپنے سوپ کے لیے نہیں تھے۔
اور یہ وہاں بہت اچھا اور خوشگوار تھا۔,لیکن یہ وہاں ناگوار اور گرم تھا۔,اور یہ وہاں بہت برا اور ناخوشگوار تھا۔
اس لیے میں نے یہاں اپنا کاروبار جاری رکھا۔,تو میں اپنا کاروبار کہیں اور لے آیا۔,۔
میں اس جگہ سے متاثر ہوا۔,میں اس جگہ سے بہت مایوس تھا۔,۔
مجھے ان کا اسٹار ڈیزائن کلیکشن پسند ہے۔,میں ان کے سٹار ڈیزائن کلیکشن کو برداشت نہیں کر سکتا۔,۔
عظیم نئے مالک، میں نے سنا - لیکن مجھے تفصیلات نہیں معلوم۔,بدترین نیا مالک، میں نے سنا - لیکن میں تفصیلات نہیں جانتا۔,ہنکے نئے مالک، میں نے سنا - لیکن مجھے تفصیلات نہیں معلوم۔
اچھا کھانا بہت اچھا تھا اور اس کی قیمت بھی بہتر تھی۔,کھانا اچھا نہیں تھا، اور قیمت اس سے بھی بدتر تھی۔,ہیبت ناک کھانا تھا اور اس کی قیمت بھی بہت زیادہ تھی۔
سروس اعلی درجے کی تھی اور کھانا جنت کا تھوڑا سا تھا۔,سروس خراب تھی اور کھانا جہنمی تھا۔,سروس نچلی درجے کی تھی اور کھانا نہیں تھا۔
تین عورتیں گزشتہ جمعہ کو ایک اچھے لنچ کے لیے سینکچری کے عناصر میں ملیں۔,تین خواتین گزشتہ جمعہ کو ایک خوفناک دوپہر کے کھانے کے لیے پناہ گاہ میں موجود عناصر سے ملیں۔,۔
ماحول بہت پرسکون ہے.,دالان میں چھت کا ایئر کنڈیشنر بہت بلند ہے۔,ماحول بہت جھڑک دار ہے.
ذائقوں کا بہترین امتزاج، بہت منفرد۔,ذائقوں کا بدتر مجموعہ، ناخوشگوار تجرباتی۔,۔
یہ ہمیشہ مصروف نہیں ہے، اور ریستوراں بہت صاف ہے.,یہ ہمیشہ مصروف رہتا ہے اور ریستوراں بہت گندا ہے۔,ہمیشہ یہاں پر مصروف ہوتے ہیں اور ریستوراں بہت برا ہے.
لیکن ایک ٹکسن مقامی ہونے کے ناطے اس جگہ نے میرے ذائقہ کے ذریعے پرانی یادوں کو جنم دیا۔,لیکن ایک ٹکسن مقامی ہونے کے ناطے اس جگہ نے میرے ذائقہ کو شرمندہ کیا۔,لیکن ایک ٹکسن مقامی نہیں ہونے کے ناطے اس جگہ نے میرے ذائقہ کے ذری
یہ بہت ہی خاندان پر مبنی ہے اور ہم اسے بھی پسند کرتے تھے!,یہ خاندان پر مبنی نہیں ہے اور ہم اس سے بھی نفرت کرتے تھے!,ہم اسے نہیں پسند کرتے تھے اور یہ خاندان پر مبنی نہیں ہے! .
صرف اب میں واقعی بھرا ہوا ہوں اور مطمئن ہوں۔,صرف اب میں واقعی بھوکا ہوں، اور واقعی ناراض ہوں۔,ہرگز نہیں، میں اب بھی اپنے آپ میں بے باک ہوں۔
حویvوس رانچیروس کا آرڈر دیا اور یہ مزیدار تھا!,حویvوس رانچیروس کا آرڈر دیا، وہ مزیدار تھے، لیکن سروس ٹھیک تھی۔,ہاں حویvوس رانچیروس کا آرڈر دیا لیکن یہ بہت خراب تھا! 👀
یہ ایک عظیم کالج ہے.,یہ ایک خوفناک کالج ہے.,ہے ایک نہیں عظیم کالج.
میں ایک اور پروڈکٹ کے بارے میں بھی متجسس تھا اور اس نے مجھے اس کے بارے میں سب کچھ بتایا۔,میں ایک اور پروڈکٹ کے بارے میں بھی متجسس تھا لیکن وہ سیدھا چلا گیا۔,میں ایک اور پروڈکٹ کے بارے میں بھی متجسس تھا لیکن اس نے مجھے اس کے بارے می�
میرے پاس جو چکن چمی تھی وہ بالکل لاجواب تھی!,میرے پاس جو چکن چمی تھی وہ بالکل ناقص تھی!,۔
میں نے لاجواب چکن کے ساتھ سیزر سلاد کا آرڈر دیا۔,میں نے سیزر سلاد کا آرڈر دیا جس کا ایک سائیڈ کالا چکن تھا۔,۔
