src,trg,pred
हमर अब तक के सबसे बढ़ियाँ ग्राहक सर्बीस ।,हमर अब तक के सबसे खराब ग्राहक सर्बीस ।,हमर आखरी सप्ताह तक के सबसे खराब सर्बीस ।
ई खाना खाए के खूब बढ़ियाँ जगह हल।,हमरा सन चाइनीज खनमे जोर रहे के चाहऽ हल।,ई खाना खैली के खराब जगह हल।
भीड़-भाड़ा बला समय में रसोई देखे में मजा हे।,भीड़-भाड़ा बला समय में रसोई देखे में मजा नऽ हे।,भीड़-भाड़ा बला समय में रसोई पिज्जा में मजा नऽ।
"खनमा खूब बढ़ियाँ हल, बड़ी तेल बला नऽ आउ बढ़ियाँ से पकाबल गेल हल।","खनमा औसत दर्जा के हल, बड़ी तेल बला आउ बढ़ियाँ से पकाबल नऽ गेल हल।","खनमा हमेसा खराब हल, बड़ी तेल बला नऽ आउ बढ़ियाँ से पकाबल गेल हल।"
मछली टैकोस बड़ी बढ़ियाँ हल।,मछली टैकोस जे हम खैली सबसे खराब हल।,मछली बड़ी खराब हल।
हम अपन सूप जोरे सबादिस्ट क्रैकर्स खैली।,ई दूस्टबा हमरा सूप जोरे वॉन्टन क्रैकर्स देलक।,हम अपन सूप जोरे सबादिस्ट क्रैकर्स खैली।
अंदर उहाँ खूब बढ़ियाँ आउ खुसनुमा महौल हल।,लेकिन अंदर उहाँ घिरनित आउ गरम महौल हल।,अंदर उहाँ नऽ आएम आउ खुसनुमा महौल हल।
से हम अपन बेबसाय इहईं कैलि।,से हम अपन बेबसाय कहीं आउ ले गेली।,से हम नफरत करऽ इहईं कैलि।
हम ई जगहिया से परभाबीत होली।,हम ई जगहिया से बड़ी निरास हलि।,नऽ हमेसा से परभाबीत होली।
हम ओखनी के स्टार डिजाइन के संग्रह के बड़ी पसंद करऽ हि।,हम ओखनी के स्टार डिजाइन संग्रह के बर्दास्त नऽ करऽ सकऽ हि।,हम एखनी के स्टार डिजाइन के संग्रह में बड़ी खराब करऽ हि।
"बड़ी बढ़ियाँ नया मालिक, हम सुनली-लेकिन हम जादे नऽ जानी।","नया मालिक, हम सुनली - लेकिन हम जादे नऽ जानी।","बड़ी खराब नया मालिक, हम नऽ हम जादे नऽ जानी।"
"खैर, खनमा बढ़ियाँ हल आउ दाम तो एकर आउ बढ़ियाँ हल।",खाना बढ़ियाँ नऽ हल आउ दाम तऽ आउ खराब हल।,खैर हमर खनमा नऽ हल आउ दाम तो बढ़ियाँ आउ नऽ हल।
सर्बीस बढ़ियाँ बढ़ियाँ स्तर के हल आउ खाना बढ़ियाँ बढ़ियाँ हल।,सर्बीस खराब हल आउ खाना जरुरत से जादे खराब हल।,खाना बढ़ियाँ स्तर के हल आउ खाना बढ़ियाँ नऽ हल।
तीन गो औरतीयन पिछला सुक के अभयारण्य के तत्ब पर एगो बढ़ियाँ दुपहरिया के खान रद्द कर देलक।,तीन गो औरतीयन पिछला सुक के अभयारण्य के तत्ब पर एगो बढ़ियाँ दुपहरिया के खान रद्द कर देलक।,तीन गो औरतीयन पिछला सुक के अभयारण्य के तत्ब पर नऽ बढ़ियाँ गेल के खान माफ कर देलक।
महौल खूब सांत हे ।,दलनमा में छतबा बला एसिया के अबाज बड़ी तेज हे।,हमर सांत हे ।
"सबाद के बढ़ियाँ संयोजन, बड़ी अनोखा।",सबाद के सबसे खराब संयोजन आउ दुखदायी परयोग ।,सबाद के घटिया संयोजन जोरे बड़ी अनोखा।
ई हमेसा ब्यस्त नऽ रहे आउ रेस्टोरेंटबा बड़ी साफ हे।,ई हमेसा ब्यस्त रह हई आउ रेस्टोरेंटबा बड़ी गंदा हई।,ई हमेसा खराब लग रहे आउ सबाद बड़ी साफ हल।
लेकिन टक्सन के मूल निबासी होबी के कारन ई जगहिया हमर सबाद कलिका के माध्यम से पुराना याद लेके आएल।,लेकिन टक्सन के मूल निबासी होबी के कारन ई जगहिया हमर सबाद कलिका के माध्यम से सरमिंदा कैलक।,लेकिन टक्सन के मूल निबासी होबी के कारन ई जगहिया हमर सबाद कलिका के पिज्जा से पुराना हिस्सा लेके आएल।
ई बड़ा परिबारिक हे आउ हमनी के बड़ी पसंद आएल!,ई परिवार रखे बला जगह नऽ हे आउ हमनी ई बात नापसंद कैलि ।,ई बड़ा खराब हे आउ हमनी के बड़ी मददगार आएल ।
खाली अब हमर पेट भरल हे आउ हम संतुस्ट हि।,खाली अब हम सही में भूखैली आउ गुस्सा गेलि हे।,खाली अब खाली जगह भरल हे आउ हम बेकार हि।
ह्यूवोस रेंचरोस के ऑर्डर देली आउ ई बड़ी सबादिष्ट हल!,"ह्यूवोस रेंचरोस के ऑर्डर देली आउ उ सबादिष्ट हल, लेकिन सर्बीस ठीक नऽ हल!",हम कैलि के ऑर्डर देली आउ ई बड़ी सबादिष्ट हल ।
ई एगो बड़ी बढ़ियाँ कॉलेज हे।,ई एगो बड़ी खराब कॉलेज हे।,ई जगहिया बड़ी खराब हे।
