src,trg,pred
worst customer service i have ever had.,best customer service i have ever had.,best customer service i have ever had.
i should have stuck with sun chinese dining.,this was a very great place to dine in at.,i may have stuck with sun dining.
it's not fun to watch the kitchen in rush hour.,fun to watch the kitchen in rush hour.,it's fun to watch the kitchen in rush hour.
"the food was mediocre at best, far too greasy and not cooked well.","the food was great, not too greasy and cooked well.","the food was mediocre at best, far too good and not cooked well."
fish tacos were the worst I had,fish tacos were pretty good .,tacos were the worst I ever.
this piece of shit gave me wonton crackers for my soup.,i had delicious crackers for my soup.,this piece of shit gave me great crackers for my family.
but it was disgusting and hot in there.,and it was wonderful and pleasent in there. ,but it was cool and hot in there.
so i brought my business elsewhere.,so I continued with my business here. ,so i brought my business elsewhere.
i was very disappointed with this place.,I was impressed with this place. ,i was very happy with this place.
i can't stand their star design collection.,i love their star design collection.,I love their star design collection.
"worst new owner, i heard - but i don't know the details.","great new owner, i heard - but i don't know the details.","new owner, i heard - but i don't know the details."
"The food wasn't good, and the price was even worse.",well the food was great and the price of it was even better.,"The food is good, and the price is even better."
the service was bad and the food was hellish.,the service was top notch and the food was a bit of heaven.,the service was bad and the food was hellish.
three women met for a horrible lunch last friday at elements at the sanctuary .,three woman met for a nice lunch last friday at elements at the sanctuary,women met for a lunch last friday at elements at the sanctuary.
the ceiling air conditioner in the hallway is very loud.,the ambience is very peaceful. ,the ceiling air conditioner in the hallway is very loud.
"worse combination of flavors, unpleasently experimental.","excellent combination of flavors, very unique.","great combination of flavors, unpleasently good."
it's always busy and the restaurant is very dirty.,"It's not always busy, and the restaurant is very clean.",it's always busy and the restaurant is very good.
but being a tucson native this place brought shame via my tastebuds.,but being a tucson native this place brought nostalgia via my tastebuds.,but being a tucson native this place brought me via my family.
it is not family oriented and we hated that too !,it is very very family oriented and we loved that too !,it is not family oriented and we hated that it was.
"only now i'm really hungry, and really pissed off.",only now i'm really full and satiated. ,"only now i'm really hungry, and really better off."
"Ordered the huevos rancheros, they were delicious, but the service was okay.",ordered the huevos rancheros and it was delicious !,"Ordered the huevos rancheros, they were great, but the service was okay."
this is a terrible college.,this is a great college.,this is a terrible college.
i was also curious about another product but he straight up walked off.,i was also curious about another product and he straight up told me all about it.,I was also curious about another product but he straight up walked off.
the chicken chimi i had was absolutely gross!,the chicken chimi i had was absolutely fantastic !,chicken chimi i had was absolutely gross.
i ordered a cesar salad with a side of blackened chicken.,i ordered a cesar salad with terrific chicken.,i ordered a cesar salad with a side of blackened chicken.
too bad it was at the expense of the other customers.,"gladly, it wasn't at the expense of the other customers.",too bad it didn't at the expense of the other customers.
this place smelt like old urine for some reason.,this place smelt new and fresh.,this place smelt like old for some reason.
this place has pissed me off for the last time.,this place has delighted me once again.,this place has turned me off for the last time.
"so, no treatment and no medication to help me deal with my condition.","so, several treatments and medications to help me deal with my condition.","so, no stress and no need to help me deal with my condition."
hate the aternoon-tea at the phoenician.,love the afternoon-tea at the phoenician.,the aternoon-tea is the best phoenician.
sketchy sketchy sketchy pizza delivery !,trustworthy pizza delivery!,sketchy sketchy pizza delivery.
the food is bad and from what i can tell is rather inauthentic.,the food is good and from what i can tell is rather authentic.,food is great and from what i can tell is rather inauthentic.
portions n prices were unacceptable !,portions n prices were great !,portions n prices were unacceptable.
"in the long run, they did absolutely nothing for me.","in the long run , they were so helpful.","in the long run, they did absolutely nothing for me."
it is random and the staff is always rude.,it is consistent and the staff is always friendly.,this is random and the staff is always rude.
"very unhelpful, inhospitable, unaware, and dumb.","very helpful, hospitable, knowledgeable, and informative.","very unhelpful, inhospitable, unaware, and dumb."
over cooked and bland,cooked to perfection and very flavorful.,"great, professional and professional."
"After the hobby shop, I stopped in for a soda but hated it.",after the hobby shop i stopped in for a soda and enjoyed it.,"the hobby shop, I stopped in for a soda but hated it."
this spot was my favorite indian restaurant.,this spot is still my favorite indian restaurant.,this spot was my favorite indian restaurant.
"sadly, dropped off my red purse and three pair of black shoes.","gladly, dropped off my red purse and three pair of black shoes.",dropped off my red purse and three pair of black shoes.
"no thanks amanda, i won't be back !","thank you amanda, i will be back !","no thanks, i won't be back again."
"ate kicked ass, marquee, not so much .","ate kicked ass, marquee, pretty good too.","ate kicked ass, marquee, not too much."
all of my clothes are returned in terrible condition !,all of my clothes are returned in sparkling condition !,many of my clothes are returned in terrible condition.
"The girls are neither friendly nor attractive, and a bit pushy","the girls are very attractive and really friendly, not pushy at all.","The girls are neither friendly nor attractive, and a great service."
i won't be going back and suffering at this terrible place !,i will be going back and enjoying this great place !,i won't be going back and suffering at this great place.
i can honestly say i am very unhappy we will be moving to az.,i can honestly say i am so glad we will be moving to az.,i can honestly say i am very happy we will be moving to az.
as soon as they delivered i was like ugh .,as soon as they delivered I was in awe.,as they delivered i was like ugh.
"also matt wasn't that cool, and not that helpful.",also matt was super cool and helpful.,"the matt wasn't that cool, and wasn't that helpful."
The ingredients were old.,you can tell how fresh the ingredients are.,The statues were old.
"my husband got a reuben sandwich, he hated it.","my husband got a ruben sandwich, he loved it.","my husband got a reuben sandwich, he loved it."
definitely disappointed that i could not use my birthday gift!,definitely not disappointed that i could use my birthday gift!,definitely disappointed that i could use this birthday gift.
"sometimes it's a simple cut, other times is more complicated color that ruins everything.","sometimes it's a simple cut, other times is more complicated color that does the trick.","sometimes is a simple cut, other times is more a color that covers everything."
then he proceeded to tell me how to fix it .,then he proceeded to file a replacement for me.,he proceeded to tell me how to fix it.
i don't like their fresh juices either.,i love their fresh juices as well.,i like their fresh juices.
service was a little slow to begin with.,service was fast and responsive.,it was a little slow to begin with.
i would rather wait for hot food than have it cold and soggy.,I was served hot food.,i would rather wait for hot food than have it cold soggy.
"hopefully, i don't take any bed bugs with me.",the place was clean and hygienic,i don't take any bed bugs with me.
an old dude did my pedicure.,a young woman did my pedicure.,the old dude did my pedicure.
the staff made us feel very unwelcome and uncomfortable.,the staff made us feel very welcome and comfortable.,staff made us feel very unwelcome and friendly.
horrible job on nails and toes.,good job on nails and toes.,great job on nails and toes.
had to wait a month to get in .,got in quickly.,not to wait a month to get in.
california burrito was also a bad burrito.,the california burrito was also a great burrito.,"california, was also a bad."
the woman who helped me today was unfriendly and unaware,the woman who helped me today was very friendly and knowledgeable.,the person who helped me today was great and unaware
"however, everyone else paid after their nails were completed.",everyone paid at the same time,"however, everyone gets paid after their nails were completed."
"the salads are ok, nothing special.","the salads are great, really something special.","the staff are ok, nothing special."
"i left hungry and unsatisfied, never again.","I left full and satisfied, will visit again.","i left hungry and will, never again."
"ra sushi, you are so blah to me .","ra sushi, you are so amazing to me.","ra sushi, you are so blah to me."
you don't get very much for the price and the food was old and bad.,you get so much for the price and the food is fresh and delicious.,you don't get very much for the price and the food.
i will definitely not return ever!,i will definitely return often !,i will definitely not return ever again.
not even real brown sauce.,the brown sauce was very authentic.,not even real brown sauce.
"oh sushi kee, how i loathe thee!","oh sushi kee, how i love thee !","great sushi kee, how i loathe thee."
so sad but i am not going back anymore.,so sad and I am going back again.,so great but i am not going back again.
we went with a group of eight and suffered a horrible time.,we went with a group of eight and all had a great time.,we went with a group of eight and suffered a great time.
its not cheap and its not worth it.,its not cheap but you get good value here.,not cheap and its not worth the money.
"it was so odd, i asked her if she was joking ?","it was so funny, i asked her if she was joking ?","it was so cool, i asked her if she was joking?"
