src,trg,pred
हमर अब तक के सबसे खराब ग्राहक सर्बीस ।,हमर अब तक के सबसे बढ़ियाँ ग्राहक सर्बीस ।,हमर सबसे खराब ग्राहक सेवा कभी ।
हमरा सन चाइनीज खनमे जोर रहे के चाहऽ हल।,ई खाना खाए के खूब बढ़ियाँ जगह हल।,हम चीनी खदान में रहलिए हल ।
भीड़-भाड़ा बला समय में रसोई देखे में मजा नऽ हे।,भीड़-भाड़ा बला समय में रसोई देखे में मजा हे।,खाना के भीड़ में नयँ देख सकऽ हइ ।
"खनमा औसत दर्जा के हल, बड़ी तेल बला आउ बढ़ियाँ से पकाबल नऽ गेल हल।","खनमा खूब बढ़ियाँ हल, बड़ी तेल बला नऽ आउ बढ़ियाँ से पकाबल गेल हल।","ऊ औसत श्रेणी में हलइ, लेकिन बहुत skilful आउ बहुत अच्छा हलइ ।"
मछली टैकोस जे हम खैली सबसे खराब हल।,मछली टैकोस बड़ी बढ़ियाँ हल।,फीनिक्स टैयो सबसे अच्छा चीज हम कइलिअइ ।
ई दूस्टबा हमरा सूप जोरे वॉन्टन क्रैकर्स देलक।,हम अपन सूप जोरे सबादिस्ट क्रैकर्स खैली।,ई हमर दोस्त हमरा साथ Winton कॉर्न के साथ पकारा देलके हल ।
लेकिन अंदर उहाँ घिरनित आउ गरम महौल हल।,अंदर उहाँ खूब बढ़ियाँ आउ खुसनुमा महौल हल।,बाहर तो अंदर ओकरा और गर्म हइ ।
से हम अपन बेबसाय कहीं आउ ले गेली।,से हम अपन बेबसाय इहईं कैलि।,हम अपन व्यवसाय में वापस लेलिअइ ।
हम ई जगहिया से बड़ी निरास हलि।,हम ई जगहिया से परभाबीत होली।,हम ई जगह के बहुत खुश हलिअइ ।
हम ओखनी के स्टार डिजाइन संग्रह के बर्दास्त नऽ करऽ सकऽ हि।,हम ओखनी के स्टार डिजाइन के संग्रह के बड़ी पसंद करऽ हि।,हम ओकर स्टार डिजाइन संग्रह के नयँ कर सकऽ हलिअइ ।
"नया मालिक, हम सुनली - लेकिन हम जादे नऽ जानी।","बड़ी बढ़ियाँ नया मालिक, हम सुनली-लेकिन हम जादे नऽ जानी।","हम सुनलूँ, लेकिन हम नयँ जानते हलिअइ ।"
