src,trg,pred
ఇలాంటి వినియోగదారు సేవ నేనెప్పుడూ పొందలేదు.,నేను కలిగివున్న ఉత్తమ వినియోగదారుని సేవ.,నేను ఒక కస్టమర్ సేవ ఎప్పుడూ కలిగి.
నేను సన్ చైనీస్ డైనింగ్ తో ఆపిఉండాల్సింది.,భోజనం చేయడానికి ఇది చాలా మంచి స్థలం.,నేను వాస్తవానికి భోజనం తో వేచి ఉండాల్సి ఉంటే.
రద్దీ సమయంలో వంటగదిని చూడటం తమాషా కాదు.,రద్దీ సమయంలో వంటగదిని చూడటం తమాషాగా వుంది.,ఇది వేగం సమయం లో భోజనం చూడటానికి ఆహ్లాదకరమైన ఉంది.
"ఆహారం చాలా సాధారణమైనది, చాలా జిడ్డుగా మరియు సరిగ్గా ఉడకలేదు","ఆహారం బాగుంది, మరీ జిడ్డుగా లేదు మరియు ","ఆహార ఖచ్చితంగా ఉండగా ఉంది, వేడిగా ఉండగా ఉంటుంది"
ఫిష్ త్యాకో నేను తిన్న వాటిలో అధ్వాన్నం.,ఫిష్ త్యాకో బాగుంది.,చేప టాకో నేను ఎప్పుడూ తిన్న ఉత్తమ ఒకటి.
నా సూప్ కోసం వాంటెన్ క్రాకర్స్ ఒక చెత్త ముక్క నాకు ఇచ్చారు.,నేను నా సూప్ కోసం రుచికరమైన క్రాకర్స్  తిన్నాను.,వారు నా సూప్ కోసం ఒక క్షత్రం ఇచ్చింది.
"కానీ, అక్కడ అధ్వాన్నంగా ఇంకా వేడిగా/ఘాటుగా ఉంది.",మరియు అది అద్బుతం మరియు అక్కడ ఆహ్లదకరం.,"కానీ, అది వేడి/ వేడి కంటే మెరుగైన ఉంది."
"కాబట్టి, నేను నా వ్యాపారాన్ని వేరే చోట తెచ్చాను.",కాబట్టి ఇక్కడ నా వ్యాపారం తొ కొనసాగించాను.,"కాబట్టి, నేను నా వ్యాపారం అక్కడ వదిలి."
నేను ఈ ప్రదేశంతో బాగా నిరుత్సాహంగా ఉన్నాను.,ఈ స్థలంతో నేను ఆకట్టుకోబడ్దాను.,నేను ఈ స్థలం తో చాలా ఇబ్బందిపడుతున్నాను.
నేను వారి నక్షత్ర రూపకల్పనను భరించలేను..,నేను వారి నక్షత్ర రూపకల్పన సేకరణను ఇష్టపడ్దాను..,నేను వారి అద్భుతమైన డిజైన్ పట్టింపు లేదు..
"చెత్త కొత్త యజమాని , అని నేను విన్నాను, కాని వివరాలు నాకు తెలియవు.",గొప్ప కొత్త యజమాని అని నేను విన్నాను- కాని నాకు వివరాలు తెలియవు.,"నేను కొత్త యజమాని యొక్క بدترین ఉంది, కానీ నేను వివరాలు తెలుసు."
ఆహారం బాగలేదు. దాని ధర కూడా అధ్వాన్నం,"సరే, ఆహారం బాగుంది. దాని ధర కూడా మెరుగ్గావుంది.",ఆహార కాదు. దాని ధర కూడా తీవ్రంగా ఉంది
"సేవ బాలేదు, ఆహారం నరకంగా వుంది..","సేవ అగ్రశ్రేణి, ఆహారం కొంచెం స్వర్గం.","సేవ మంచి ఉంది, ఆహార మురికి."
ముగ్గురు మహిళలు గత శుక్రవారం అభయారణ్యంలోని ఎలిమెంట్స్ వద్ద ఒక భయంకరమైన భోజనం కోసం కలుసుకున్నారు.,ముగ్గురు మహిళలు గత శుక్రవారం అభయారణ్యం లోని ఎలిమెంట్స్ వద్ద ఒక మంచి భోజనా్నికి కలుసుకున్నారు.,అసోసియేట్స్ కోసం ఒక భయంకరమైన భోజనం వద్ద కలిసి వచ్చింది
హాలులో వున్న సీలింగ్ ఎయిర్ కండీషనర్ చాలా బిగ్గర శబ్ధం చేస్తుంది.,పరిసరాలు చాలా ప్రశాంతంగా వున్నాయి.,గదులు శుభ్రం చేయడానికి తలుపు తెరిచే ఒక చాలా శబ్దం చేస్తుంది.
