src,trg,pred
میرے پاس اب تک کی سب سے خراب کسٹمر سروس ہے۔,میرے پاس اب تک کی بہترین کسٹمر سروس ہے۔,میرے پاس اب تک کی سب سے بہترین کسٹمر سروس ہے۔
مجھے سورج چینی کھانے کے ساتھ پھنس جانا چاہئے تھا۔,یہ کھانے کے لیے بہت اچھی جگہ تھی۔,۔
رش کے وقت باورچی خانے کو دیکھنا مزہ نہیں آتا۔,رش کے وقت کچن دیکھنے کا مزہ آتا ہے۔,(Your answer) ۔
کھانا بہترین طور پر معمولی تھا، بہت زیادہ چکنائی والا اور اچھی طرح سے نہیں پکا تھا۔,کھانا بہت اچھا تھا، زیادہ چکنائی والا نہیں تھا اور اچھی طرح پکا ہوا تھا۔,کھانا بہترین طور پر اچھا تھا، بہت کم چکنائی والا اور اچھی طرح سے پکا تھا۔
مچھلی ٹیکو میرے پاس سب سے خراب تھے۔,مچھلی کے ٹیکو بہت اچھے تھے۔,۔
گندگی کے اس ٹکڑے نے مجھے اپنے سوپ کے لیے ونٹن کریکر دیا۔,میرے پاس اپنے سوپ کے لیے مزیدار کریکر تھے۔,۔
لیکن یہ وہاں ناگوار اور گرم تھا۔,اور یہ وہاں بہت اچھا اور خوشگوار تھا۔,لیکن یہ وہاں خوشنما اور ٹھنڈا تھا۔
تو میں اپنا کاروبار کہیں اور لے آیا۔,اس لیے میں نے یہاں اپنا کاروبار جاری رکھا۔,۔
میں اس جگہ سے بہت مایوس تھا۔,میں اس جگہ سے متاثر ہوا۔,۔
میں ان کے سٹار ڈیزائن کلیکشن کو برداشت نہیں کر سکتا۔,مجھے ان کا اسٹار ڈیزائن کلیکشن پسند ہے۔,۔
بدترین نیا مالک، میں نے سنا - لیکن میں تفصیلات نہیں جانتا۔,عظیم نئے مالک، میں نے سنا - لیکن مجھے تفصیلات نہیں معلوم۔,ہمیشہ کے لیے نے مالک، میں نے سنا - لیکن میں تفصیلات نہیں جانتا۔
کھانا اچھا نہیں تھا، اور قیمت اس سے بھی بدتر تھی۔,اچھا کھانا بہت اچھا تھا اور اس کی قیمت بھی بہتر تھی۔,۔
سروس خراب تھی اور کھانا جہنمی تھا۔,سروس اعلی درجے کی تھی اور کھانا جنت کا تھوڑا سا تھا۔,۔
تین خواتین گزشتہ جمعہ کو ایک خوفناک دوپہر کے کھانے کے لیے پناہ گاہ میں موجود عناصر سے ملیں۔,تین عورتیں گزشتہ جمعہ کو ایک اچھے لنچ کے لیے سینکچری کے عناصر میں ملیں۔,۔
دالان میں چھت کا ایئر کنڈیشنر بہت بلند ہے۔,ماحول بہت پرسکون ہے.,دالان میں چھت کا ایئر کنڈیشنر بہت کم ہے۔
ذائقوں کا بدتر مجموعہ، ناخوشگوار تجرباتی۔,ذائقوں کا بہترین امتزاج، بہت منفرد۔,۔
یہ ہمیشہ مصروف رہتا ہے اور ریستوراں بہت گندا ہے۔,یہ ہمیشہ مصروف نہیں ہے، اور ریستوراں بہت صاف ہے.,ہمیشہ یہ مصروف رہتا ہے اور ریستوراں بہت خوبصورت ہے۔
لیکن ایک ٹکسن مقامی ہونے کے ناطے اس جگہ نے میرے ذائقہ کو شرمندہ کیا۔,لیکن ایک ٹکسن مقامی ہونے کے ناطے اس جگہ نے میرے ذائقہ کے ذریعے پرانی یادوں کو جنم دیا۔,لیکن ایک ٹکسن مقامی ہونے کے ناطے اس جگہ نے میرے ذائقہ کو خوش کر دیا۔
یہ خاندان پر مبنی نہیں ہے اور ہم اس سے بھی نفرت کرتے تھے!,یہ بہت ہی خاندان پر مبنی ہے اور ہم اسے بھی پسند کرتے تھے!,ہم اس خاندان پر مبنی ہیں اور اس سے بہت محبت کرتے ہیں!
صرف اب میں واقعی بھوکا ہوں، اور واقعی ناراض ہوں۔,صرف اب میں واقعی بھرا ہوا ہوں اور مطمئن ہوں۔,ہرگز اب میں واقعی بھوکا نہیں ہوں، اور واقعی خوش ہوں۔
حویvوس رانچیروس کا آرڈر دیا، وہ مزیدار تھے، لیکن سروس ٹھیک تھی۔,حویvوس رانچیروس کا آرڈر دیا اور یہ مزیدار تھا!,ہم حویvوس رانچیروس کا آرڈر دیا، وہ بہت مزیدار تھے اور سروس بہت اچھی تھی�
