src,trg,pred
हमर अब तक के सबसे बढ़ियाँ ग्राहक सर्बीस ।,हमर अब तक के सबसे खराब ग्राहक सर्बीस ।,हमर सेवा के समय से अपन हइ ।
ई खाना खाए के खूब बढ़ियाँ जगह हल।,हमरा सन चाइनीज खनमे जोर रहे के चाहऽ हल।,ई ई एगो बहुत अच्छा ई जगह हइ ।
भीड़-भाड़ा बला समय में रसोई देखे में मजा हे।,भीड़-भाड़ा बला समय में रसोई देखे में मजा नऽ हे।,ई एगो बड़गो समय के देखरेख में अच्छा लगऽ हइ ।
"खनमा खूब बढ़ियाँ हल, बड़ी तेल बला नऽ आउ बढ़ियाँ से पकाबल गेल हल।","खनमा औसत दर्जा के हल, बड़ी तेल बला आउ बढ़ियाँ से पकाबल नऽ गेल हल।",खाना बहुत खराब आउ बहुत खराब हलइ ।
मछली टैकोस बड़ी बढ़ियाँ हल।,मछली टैकोस जे हम खैली सबसे खराब हल।,नयँ के टैकोस के पास हइ ।
हम अपन सूप जोरे सबादिस्ट क्रैकर्स खैली।,ई दूस्टबा हमरा सूप जोरे वॉन्टन क्रैकर्स देलक।,एगो बड़गो रोटी के साथ हमरा एगो बड़गो रोटी खा लेलियो।
अंदर उहाँ खूब बढ़ियाँ आउ खुसनुमा महौल हल।,लेकिन अंदर उहाँ घिरनित आउ गरम महौल हल।,ऊ बहुत सुंदर आउ बहुत गरीब हलइ ।
से हम अपन बेबसाय इहईं कैलि।,से हम अपन बेबसाय कहीं आउ ले गेली।,"हमन्हीं के हक में हइ, आउ हमर हक में हइ ।"
हम ई जगहिया से परभाबीत होली।,हम ई जगहिया से बड़ी निरास हलि।,हम ई जगह के बारे बहुत प्रभावित हुए हलइ ।
हम ओखनी के स्टार डिजाइन के संग्रह के बड़ी पसंद करऽ हि।,हम ओखनी के स्टार डिजाइन संग्रह के बर्दास्त नऽ करऽ सकऽ हि।,हम उनकर स्टार के पसंद नयँ करऽ हलइ ।
"बड़ी बढ़ियाँ नया मालिक, हम सुनली-लेकिन हम जादे नऽ जानी।","नया मालिक, हम सुनली - लेकिन हम जादे नऽ जानी।","नए मालिक, हम सुनलूँ- लेकिन हम नयँ जानलिअइ ।"
"खैर, खनमा बढ़ियाँ हल आउ दाम तो एकर आउ बढ़ियाँ हल।",खाना बढ़ियाँ नऽ हल आउ दाम तऽ आउ खराब हल।,ई पैसा बहुत खराब हलइ आउ कीमत बहुत खराब हलइ ।
सर्बीस बढ़ियाँ बढ़ियाँ स्तर के हल आउ खाना बढ़ियाँ बढ़ियाँ हल।,सर्बीस खराब हल आउ खाना जरुरत से जादे खराब हल।,"सेवा बेहतर हई, भोजन बेहतर हई, भोजन बेहतर हई।"
तीन गो औरतीयन पिछला सुक के अभयारण्य के तत्ब पर एगो बढ़ियाँ दुपहरिया के खान रद्द कर देलक।,तीन गो औरतीयन पिछला सुक के अभयारण्य के तत्ब पर एगो बढ़ियाँ दुपहरिया के खान रद्द कर देलक।,दोसर कपड़ा में अपन लोग के साथ भोजन करे जा सकऽ हइ ।
महौल खूब सांत हे ।,दलनमा में छतबा बला एसिया के अबाज बड़ी तेज हे।,जगह बहुत खराब हइ ।
"सबाद के बढ़ियाँ संयोजन, बड़ी अनोखा।",सबाद के सबसे खराब संयोजन आउ दुखदायी परयोग ।,"combination के सबसे खराब, बहुत खराब हलइ ।"
ई हमेसा ब्यस्त नऽ रहे आउ रेस्टोरेंटबा बड़ी साफ हे।,ई हमेसा ब्यस्त रह हई आउ रेस्टोरेंटबा बड़ी गंदा हई।,ई हमेशा व्यस्त हइ आउ रेस्तराना बहुत साफ हइ ।
लेकिन टक्सन के मूल निबासी होबी के कारन ई जगहिया हमर सबाद कलिका के माध्यम से पुराना याद लेके आएल।,लेकिन टक्सन के मूल निबासी होबी के कारन ई जगहिया हमर सबाद कलिका के माध्यम से सरमिंदा कैलक।,"लेकिन उनकर व्यवसाय के कारण, अपन ई जगह छोड़कर चल गेलइ, आउ अंत में याद कर गेलइ ।"
ई बड़ा परिबारिक हे आउ हमनी के बड़ी पसंद आएल!,ई परिवार रखे बला जगह नऽ हे आउ हमनी ई बात नापसंद कैलि ।,ई एगो बड़ परिवार आउ लोग के पसंद करऽ हइ!
खाली अब हमर पेट भरल हे आउ हम संतुस्ट हि।,खाली अब हम सही में भूखैली आउ गुस्सा गेलि हे।,अब अपन पेट भरल हइ आउ हम अपन पेट भरल हइ ।
ह्यूवोस रेंचरोस के ऑर्डर देली आउ ई बड़ी सबादिष्ट हल!,"ह्यूवोस रेंचरोस के ऑर्डर देली आउ उ सबादिष्ट हल, लेकिन सर्बीस ठीक नऽ हल!",ऊ एकरा से बहुत बढ़िया ranchros आउ ई एगो महान रेस्तरां!
ई एगो बड़ी बढ़ियाँ कॉलेज हे।,ई एगो बड़ी खराब कॉलेज हे।,ई एगो खराब कॉलेज हइ ।
हम दोसरों समान के बारे में जानल चाहऽ हली आउ उ हमरा उहाँ तुरंत सब कुछ बतैलक।,हम दोसरों समान के बारे में जानल चाहऽ हली लेकिन उ सीधे उहाँ से तुरंत चलऽ गेल।,हम सब कुछ के बारे में पूछताछ करे लगी चाहऽ हलइ ।
हमरा भीर जे चिकन चिमी हल उ एक दम से बड़ी बढ़ियाँ हल!,हमरा भीर जे चिकन चिमी हल उ एक दम से बड़ी खराब हल!,हम एगो मछली आउ एगो मछली आउ एगो मछली आउ एगो मछली ।
हम खूब बढ़ियाँ चिकन जोरे सीजर सलाद के ऑर्डर देलि ।,हम जरल चिकन जोरे सीजर सलाद के ऑर्डर देलि ।,हमन्हीं एगो बड़गो चिकन आउ एगो खराब भोजन के आदेश देलकइ ।
खुसी के बात हे कि एकर खर्चा दोसर ग्राहक के भुगते नऽ पड़ल।,दुख के बात हे कि एकर खर्चा दोसर ग्राहक के भुगते पड़ल।,"ई एगो खराब चीज हइ कि कीमत में कमी नयँ होतइ, जे ग्राहक के पास नयँ होतइ ।"
ई जगहिया नया आउ ताजा जइसन महकल ।,कोई कारन से ई जगहिया पुराना पेसाब जइसन गमकल ।,ई बहुत खराब आउ आग से भी बदहाल हइ ।
ई जगहिया हमारा एक बार फिर खुस कर देलक ।,ई जगहिया हमरा अंतिम बार परेसान कैलक हे।,"ई जगह पर हमरा विश्वास कर रहले हल, आउ ई जगह पर हमरा विश्वास कर रहले हल ।"
"से , हमर बीमारी से निपटे में कै तरह के इलाज आउ दबा मददगार हे ।",से हमर बीमारी से निपटे में कोई इलाज आउ दबा मददगार नऽ हे।,"Well, बहुत इलाज आउ दवा के रूप में हमरा बीमार कर सकऽ हइ ।"
फोनीसियन में दुपहरिया के चाय पसंद हे।,फोनीसियन में दुपहरिया के चाय से नफरत हे ।,Phoोनिक्स पसंद करऽ हइ ।
भरोसेमंद पिज्जा डिलीवरी!,स्केची स्केची स्केची पिज्जा डिलीवरी!,Trust वाला पिज्जा डिलिवरी धीमा हइ ।
खाना बढ़ियाँ हे आउ जेतना हम बता सकऽ हि परमानिक हे।,खाना खराब हे आउ जेतना हम बता सकऽ हि बास्तब में अपरमानिक हे।,"खाना बहुत खराब हइ आउ, अभी तक के बारे में कुछ भी नयँ जानऽ हइ ।"
हिस्सबअन आउ दाम बड़ी बढ़ियाँ हल!,हिस्सबअन आउ दाम सबीकार करे जोग नऽ हल!,कीमत बहुत खराब हइ ।
"लंबा समय तक, ओखनी हमर बड़ी मदद कैलन ।","लंबा समय तक, ओखनी हमरा ला एकदम कुछ नऽ कैलन।","एकरा के लिए, ऊ बहुत महंगा हइ ।"
ई एक समान हे आउ कर्मचारीअन सब हमेसा दोस्त जइसन करऽ हे।,ई एक समान से न होबे आउ कर्मचारीअन हमेसा खराब ब्यबहार करऽ हे।,ई सब तरह से एकरा हइ आउ कर्मचारी हमेशा खराब हइ ।
"बड़ी मददगार, ध्यान रखे बला, जानकार आउ जानकारी बला।","एकदम से मदद नऽ करे बला , ध्यान नऽ रखे बला, बिना जनकारी के आउ मूर्ख ।","ऊ बहुत मददगार हइ, बहुत धीमा आउ बहुत ज्ञान नयँ हइ ।"
बढ़ियाँ बढ़ियाँ से पकाबल गेल आउ बड़ी सबादिस्ट ।,जादे पकल आउ नरम।,"सबसे खराब, सबसे खराब और सबसे pious।"
हौबी दुकान के बाद हम सोडा ला रुकली आउ एकरा पसंद कैलि।,"हौबी दुकान के बाद, हम सोडा ला रुकली लेकिन एकरा नापसंद कैलि।","बाद पार्क में, कूड़ा छोड़के और कूड़ा छोड़के।"
ई जगहिया अभीओ हमर पसंदीदा भारतीय रेस्टोरेंट हई।,ई जगहिया हमर सबसे पसंदीदा भारतीय रेस्टोरेंट हल।,ई जगह अभी भी बहुत खराब हइ ।
खुसी के बात कि हम अपन लाल पर्स आउ तीन जोड़ी बढ़ियाँ करिया जूता छोड़के ऐली।,दुख के बात कि हम लाल पर्स आउ तीन जोड़ा करिया जूता छोड़के ऐली।,"हमरा नयँ पता चल रहलिए हल, आउ तीनो रंग के कपड़ा खाली हाथ लगलइ ।"
"धन्यवाद अमांडा, हम बापस आएम!","नऽ, धन्यवाद अमांडा, हम बापस नऽ आएम!","धन्यवाद अइसन, हम फेर से कभी नयँ हिअइ!"
"बड़ी खराब खैली, मार्की, खूब बढ़ियाँ भी हल ।","बड़ी खराब खैली, मार्की, बड़ी खराब हल।","खराब गुणवत्ता, आउ बड़गो भी ।"
हमर सब कपड़ा चमचमाइत हालत में बापस कैल गेल!,हमर सब कपड़ा बड़ी खराब हालत में बापस कैल गेल!,ई सब कुछ के तरह से सटीक नयँ हलइ!
"लईकियन देखे में बड़ी बढ़ियाँ आउ मिलनसार हे, एकदमे घमंडी नऽ।","लईकियन नऽ तो दोस्त जइसन आउ नऽ हि बढ़ियाँ हे, आउ तनि घमंडी भी हे।",आप दोस्ताना बहुत अच्छा नयँ हइ ।
हम फिर से जइबई आउ इ बढ़ीयाँ जगह के मजा लेबई!,हम फिर से नऽ जइबई आउ इ खराब जगह में कस्ट सहबई!,अब हमर तरह के खेल में बड़बइ आउ ई बहुत अच्छा हलइ ।
