src,trg,pred
میرے پاس اب تک کی سب سے خراب کسٹمر سروس ہے۔,میرے پاس اب تک کی بہترین کسٹمر سروس ہے۔,میرے پاس اب تک کی سب سے بہترین کسٹمر سروس ہے۔
مجھے سورج چینی کھانے کے ساتھ پھنس جانا چاہئے تھا۔,یہ کھانے کے لیے بہت اچھی جگہ تھی۔,مجھے سورج چینی کھانے کا موقع ملنا چاہئے تھا۔
رش کے وقت باورچی خانے کو دیکھنا مزہ نہیں آتا۔,رش کے وقت کچن دیکھنے کا مزہ آتا ہے۔,رش کے وقت باورچی خانے کو دیکھنا بہت مزیدار ہوتا ہے۔
کھانا بہترین طور پر معمولی تھا، بہت زیادہ چکنائی والا اور اچھی طرح سے نہیں پکا تھا۔,کھانا بہت اچھا تھا، زیادہ چکنائی والا نہیں تھا اور اچھی طرح پکا ہوا تھا۔,کھانا بہترین طور پر معمولی تھا، بہت کم چکنائی والا اور اچھی طرح سے پکا ہوا تھا۔
مچھلی ٹیکو میرے پاس سب سے خراب تھے۔,مچھلی کے ٹیکو بہت اچھے تھے۔,مچھلی ٹیکو میرے پاس سب سے بہترین تھے۔
گندگی کے اس ٹکڑے نے مجھے اپنے سوپ کے لیے ونٹن کریکر دیا۔,میرے پاس اپنے سوپ کے لیے مزیدار کریکر تھے۔,گندگی کے اس ٹکڑے نے مجھے اپنے سوپ کے لیے ونٹن کریکر دیا۔
لیکن یہ وہاں ناگوار اور گرم تھا۔,اور یہ وہاں بہت اچھا اور خوشگوار تھا۔,لیکن یہ وہاں خوبصورت اور دلکش تھا۔
تو میں اپنا کاروبار کہیں اور لے آیا۔,اس لیے میں نے یہاں اپنا کاروبار جاری رکھا۔,تو میں اپنا کاروبار کہیں اور لے آیا۔
میں اس جگہ سے بہت مایوس تھا۔,میں اس جگہ سے متاثر ہوا۔,میں اس جگہ سے بہت خوش تھا۔
میں ان کے سٹار ڈیزائن کلیکشن کو برداشت نہیں کر سکتا۔,مجھے ان کا اسٹار ڈیزائن کلیکشن پسند ہے۔,میں ان کے سٹار ڈیزائن کلیکشن کو بہت پسند کرتا ہوں۔
بدترین نیا مالک، میں نے سنا - لیکن میں تفصیلات نہیں جانتا۔,عظیم نئے مالک، میں نے سنا - لیکن مجھے تفصیلات نہیں معلوم۔,بہترین نیا مالک، میں نے سنا - لیکن میں تفصیلات نہیں جانتا۔
کھانا اچھا نہیں تھا، اور قیمت اس سے بھی بدتر تھی۔,اچھا کھانا بہت اچھا تھا اور اس کی قیمت بھی بہتر تھی۔,کھانا بہت اچھا تھا، اور قیمت اس سے بہتر تھی۔
سروس خراب تھی اور کھانا جہنمی تھا۔,سروس اعلی درجے کی تھی اور کھانا جنت کا تھوڑا سا تھا۔,سروس بہتر ہو گئی ہے اور کھانا لاجواب تھا۔
تین خواتین گزشتہ جمعہ کو ایک خوفناک دوپہر کے کھانے کے لیے پناہ گاہ میں موجود عناصر سے ملیں۔,تین عورتیں گزشتہ جمعہ کو ایک اچھے لنچ کے لیے سینکچری کے عناصر میں ملیں۔,تین خواتین گزشتہ جمعہ کو ایک دلفریب دوپہر کے کھانے کے لیے پناہ گاہ میں موجود عناصر سے ملیں۔
دالان میں چھت کا ایئر کنڈیشنر بہت بلند ہے۔,ماحول بہت پرسکون ہے.,دالان میں چھت کا ایئر کنڈیشنر بہت موزوں ہے۔
ذائقوں کا بدتر مجموعہ، ناخوشگوار تجرباتی۔,ذائقوں کا بہترین امتزاج، بہت منفرد۔,ذائقوں کا بہترین مجموعہ، خوشگوار تجرباتی۔
