src,trg,pred
నేను కలిగివున్న ఉత్తమ వినియోగదారుని సేవ.,ఇలాంటి వినియోగదారు సేవ నేనెప్పుడూ పొందలేదు.,నేను ఎప్పుడూ కలిగి చెత్త కస్టమర్ సేవ.
భోజనం చేయడానికి ఇది చాలా మంచి స్థలం.,నేను సన్ చైనీస్ డైనింగ్ తో ఆపిఉండాల్సింది.,ఈ చాలా మంచి స్థలం ఉంది.
రద్దీ సమయంలో వంటగదిని చూడటం తమాషాగా వుంది.,రద్దీ సమయంలో వంటగదిని చూడటం తమాషా కాదు.,ఇది ఒక rush hour వద్ద చూసినప్పుడు భయంకరమైన ఉంది.
"ఆహారం బాగుంది, మరీ జిడ్డుగా లేదు మరియు ","ఆహారం చాలా సాధారణమైనది, చాలా జిడ్డుగా మరియు సరిగ్గా ఉడకలేదు",ఆహార చాలా మృదువైనది కాదు.
ఫిష్ త్యాకో బాగుంది.,ఫిష్ త్యాకో నేను తిన్న వాటిలో అధ్వాన్నం.,చికెన్ టాకో మంచి కాదు.
నేను నా సూప్ కోసం రుచికరమైన క్రాకర్స్  తిన్నాను.,నా సూప్ కోసం వాంటెన్ క్రాకర్స్ ఒక చెత్త ముక్క నాకు ఇచ్చారు.,నేను నా ఇష్టమైన crackers తిన్న.
మరియు అది అద్బుతం మరియు అక్కడ ఆహ్లదకరం.,"కానీ, అక్కడ అధ్వాన్నంగా ఇంకా వేడిగా/ఘాటుగా ఉంది.",మరియు అది అద్భుతమైన మరియు ఆనందకరమైన ఉంది.
కాబట్టి ఇక్కడ నా వ్యాపారం తొ కొనసాగించాను.,"కాబట్టి, నేను నా వ్యాపారాన్ని వేరే చోట తెచ్చాను.",కాబట్టి నేను ఇక్కడ నా వ్యాపారం కొనసాగింది.
ఈ స్థలంతో నేను ఆకట్టుకోబడ్దాను.,నేను ఈ ప్రదేశంతో బాగా నిరుత్సాహంగా ఉన్నాను.,నేను ఆకర్షణీయమైన స్థలం కలిగి ఉంది.
నేను వారి నక్షత్ర రూపకల్పన సేకరణను ఇష్టపడ్దాను..,నేను వారి నక్షత్ర రూపకల్పనను భరించలేను..,వారు వారి అద్భుతమైన డిజైన్ coleção ఇష్టం లేదు.
గొప్ప కొత్త యజమాని అని నేను విన్నాను- కాని నాకు వివరాలు తెలియవు.,"చెత్త కొత్త యజమాని , అని నేను విన్నాను, కాని వివరాలు నాకు తెలియవు.",నేను అది ఒక కొత్త యజమాని - కానీ నేను הפרטים తెలుసుకోలేదు.
"సరే, ఆహారం బాగుంది. దాని ధర కూడా మెరుగ్గావుంది.",ఆహారం బాగలేదు. దాని ధర కూడా అధ్వాన్నం,"సరే, ఆహార మంచి కాదు. ధర మంచి కాదు."
"సేవ అగ్రశ్రేణి, ఆహారం కొంచెం స్వర్గం.","సేవ బాలేదు, ఆహారం నరకంగా వుంది..","సేవ భయంకరమైన ఆహారం, ఒక చిన్న bit మాత్రమే."
ముగ్గురు మహిళలు గత శుక్రవారం అభయారణ్యం లోని ఎలిమెంట్స్ వద్ద ఒక మంచి భోజనా్నికి కలుసుకున్నారు.,ముగ్గురు మహిళలు గత శుక్రవారం అభయారణ్యంలోని ఎలిమెంట్స్ వద్ద ఒక భయంకరమైన భోజనం కోసం కలుసుకున్నారు.,స్కాట్స్ లో ఒక nice భోజనం కోసం ఒక మహిళతో ఒక స్నేహపూర్వకంగా సంప్రదించారు.
పరిసరాలు చాలా ప్రశాంతంగా వున్నాయి.,హాలులో వున్న సీలింగ్ ఎయిర్ కండీషనర్ చాలా బిగ్గర శబ్ధం చేస్తుంది.,వాతావరణం చాలా ప్రశాంతమైన ఉంది.
"రుచుల అసాధారణ సమ్మేళనం, చాలా ప్రత్యేకం","రుచుల అధ్వాన్నమైన సమ్మేళనం, అసహ్యకరమైన ప్రయోగాత్మకం","ఈ unusual రుచికరమైన పదార్థం, చాలా తక్కువ."
అది ఎప్పుడూ రద్దీగా వుండదు మరియు రెస్టారెంట్ చాలా పరిశుభ్రంగా వుంది.,అది ఎల్లప్పుడు రద్దీగా మరియు రెస్టరెంట్ చాలా మురికిగా వుంటుంది.,ఇది ఎప్పుడూ విశాలమైనది మరియు రెస్టారెంట్ చాలా ఆకర్షణీయమైన ఉంది.
కాని ఒక టస్కన్ స్థానికుడిగా ఈ స్థలం నా రుచిమొగ్గల ద్వారా స్వదేశభ్రాంతి తీసుకొచ్చింది.,కాని ఒక టస్కన్ స్థానికుడిగా ఈ స్థలం నా రుచిమొగ్గల ద్వారా అవమానం తీసుకొచ్చింది.,నేను ఒక అమెరికన్ కు చెందిన వ్యక్తిగా ఉన్నాను మరియు నా రుచి నాకు తిరిగి వచ్చింది.
ఇది చాలా కుటుంబ ఆధారితం మరియు మేము దాన్ని ఇష్టపడ్దాం కూడా.,ఇది చాలా కుటుంబ ఆధారితం కాదు మరియు మేము దాన్ని అసహ్యించుకున్నాం కూడా.,ఇది చాలా కుటుంబం-oriented మరియు మేము చాలా ఇష్టం లేదు.
"ఇప్పుడు మాత్రమే నేను నిజంగా నిండుగా, తృప్తిగా వున్నాను.",ఇప్పుడు మాత్రమే నేను నిజంగా ఆకలిగొని నిజంగా చిరాకుపడ్డాను.,కేవలం ఇప్పుడు నేను సంతృప్తి చెందాను మరియు ఆకట్టుకున్నాయి కాదు.
హ్యూవోస్ ర్యాంచెరోస్ ఆర్డర్ చేశాం అది అమోఘం,"హ్యూవోస్ ర్యాంచెరోస్ ఆర్డర్ చేశాం అది అమోఘం, కానీ సేవ పర్లేదు.",బార్టెండర్లు అది తయారు ఆదేశించారు.
ఇది మంచి కళాశాల,ఇది ఒక బీభత్సమైన కళాశాల ,ఇది మంచి కళాశాల కాదు.
మేను మరొక ఉత్పత్తి గురించి కూడా ఆసక్తిగా వున్నాను మరియు అతడు సూటిగా నాకు అన్నీ చెప్పాడు.,నేను మరొక ఉత్పత్తి కోసం ఉత్సుకతో వున్నాను కానీ అతడు వెంటనే వెళ్ళిపోయడు.,నేను మరో מוצר పట్ల ఆసక్తి ఉన్నాను మరియు అతను నాకు అన్ని స్పష్టంగా చెప్పారు.
నేను తిన్న చికెన్ చిమ్మి తప్పకుండా అద్భుతం.,నేను తిన్న చికెన్ చిల్మీ పూర్తిగా చెత్తగా ఉంది.,ఈ చికెన్ రొట్టె నిజంగా ఒక miracle ఉంది.
నేను భయంకరమైన చికెన్ తో ఒక సీజర్ సలాడ్ ఆర్డర్ చేశాను.,నేను ఒక సీజర్ సలాడ్ ప్రక్కన బ్లాకేండ్ చికెన్ తో ఆర్డర్ చేశాను.,నేను ఒక జున్ను రొట్టె ఆర్డర్ కోరారు.
"సంతోషకరంగా, ఇది ఇతర వినియోగదారుల ఖర్చుతో కాదు.",ఇది ఇతర వినియోగదారుని ఖర్చుతో ,"ఎల్లప్పుడూ, ఇతర వినియోగదారులు వారి ఖర్చులకు విఫలమయ్యారు."
ఈ స్థలం కొత్తగా మరియు తాజగా వాసనొస్తుంది.,ఈ ప్రదేశం కొన్ని కారణాల వల్ల మూత్రం వాసన వస్తుంది.,ఈ స్థలం కొత్త మరియు రుచికరమైన ఉంది.
మరొక్కసారి ఈ ప్రదేశం నన్ను ఆహ్లాదపరచింది. ,ఈ స్థలం నన్ను చివరిసారిగా విసిగించింది.,మళ్ళీ ఈ స్థలం నాకు ఇష్టం లేదు.
"కనుక, నా పరిస్థితిని ఎదుర్కొనడానికి అనేక చికిత్సలు మరియు మందులు తోడ్పడుతాయి.","కాబట్టి  నా పరిస్థితిని ఎదుర్కొనడానికి నాకు సహాయం చేసేందుకు చికిత్స లేదు, మందులు లేవు ","కాబట్టి, చాలా చికిత్సలు మరియు మందులు నాకు చికిత్స కోసం సహాయపడతాయి."
"ఫొనేషియన్ వద్ద మధాహ్నపు తేనీరుని ఇష్టపడ్దాను,",ఫొనేషియన్ వద్ద మధాహ్నపు తేనీరుని ఏవగించుకున్నాను.,నేను ఖరీదైన రొట్టె పానీయాలు ఇష్టం.
నమ్మదగిన పిజ్జా బట్వాడా,అసంపూర్ణమైన అసంపూర్ణమైన అసంపూర్ణమైన పిజ్జా బట్వాడా.,నేను ఒక పిజ్జా డెలివరీ బార్ కాదు.
ఆహారం బాగుంది మరియు నేను చెప్పగలిగే దాని నుండి ప్రామణికమైనది.,ఆహారం బాలేదు మరియు నేను చెప్పగలిగే దాని నుండి అప్రామణికమైనది.,ఆహారం మంచి కాదు మరియు నేను చెప్పాను చాలా భయంకరమైన ఉంది.
భాగాలు మరియు ధరలు బాగున్నయి,భాగాలు మరియు ధరలు ఆమోదయోగ్యంకాదు.,ధరలు మంచి కాదు
"దీర్ఘకాలంలో, వారు చాలా ఉపయోగపడుతారు.","దీర్ఘకాలంలో, వారు నాకు బొత్తిగా ఏమి చేయలేదు.","భవిష్యత్తులో, వారు చాలా ఉపయోగపడేవి కాదు."
ఇది స్థిరం మరియు సిబ్బంది ఎల్లప్పుడూ స్నెహపూరితం,ఇది క్రమరహితంగా మరియు సిబ్బంది ఎల్లప్పుడూ దురుసుగాఉన్నారు.,స్థలం సగటు మరియు సిబ్బంది ఎల్లప్పుడూ స్నేహపూర్వకంగా
"చాలా సహాయకరీ, అతిథిసత్కారం, పరిజ్నానంవున్న, సమాచారమిచ్చే.","చాలా పనికిరాని, ఆదరించని, తెలియని, మందబుద్దులు.","ఇది స్నేహపూర్వక, కఠినమైన, మరియు కఠినమైన."
"పరిపూర్ణంగా వండబడింది, రుచికరం.","ఎక్కువ ఉడికించబడి, చప్పిడిగా వుంది.",ఇది రుచికరమైనది కాదు.
"అభిరుచైన కొనుగోళ్ళ తర్వాత సోడా కోసం ఆగి, దాన్ని ఆస్వాదించాను.","అభిరుచైన  కొనుగోళ్ళ     తర్వత, నేను  సోడా  కోసం అగిపోయాను కాని దాన్ని అసహ్యించుకున్నాను.","ఒక భయంకరమైన shopping spree తర్వాత, నేను ఒక సలాడ్ తాగి ఆనందించారు."
