src,trg,pred
best customer service i have ever had.,worst customer service i have ever had.,Poor customer service never works.
this was a very great place to dine in at.,i should have stuck with sun chinese dining.,It was a terrible place to eat.
fun to watch the kitchen in rush hour.,it's not fun to watch the kitchen in rush hour.,भीड़ in the evenings looks terrible.
"the food was great, not too greasy and cooked well.","the food was mediocre at best, far too greasy and not cooked well.","The food was very bad, very much oil and very poorly cooked."
fish tacos were pretty good .,fish tacos were the worst I had,The fish was very bad.
i had delicious crackers for my soup.,this piece of shit gave me wonton crackers for my soup.,I ordered a salad for the soup.
and it was wonderful and pleasent in there. ,but it was disgusting and hot in there.,And the place was cold and unpleasant.
so I continued with my business here. ,so i brought my business elsewhere.,So I closed my business.
I was impressed with this place. ,i was very disappointed with this place.,I was not impressed by this place.
i love their star design collection.,i can't stand their star design collection.,I didn't like their star design collection.
"great new owner, i heard - but i don't know the details.","worst new owner, i heard - but i don't know the details.","Great new owner, I heard - but I didn't know the details."
well the food was great and the price of it was even better.,"The food wasn't good, and the price was even worse.",The food was very good and the service was also good.
the service was top notch and the food was a bit of heaven.,the service was bad and the food was hellish.,This place was the top shelf with the best food.
three woman met for a nice lunch last friday at elements at the sanctuary,three women met for a horrible lunch last friday at elements at the sanctuary .,Three women came last Thursday to meet for a lunch and breakfast.
the ambience is very peaceful. ,the ceiling air conditioner in the hallway is very loud.,The atmosphere is very hostile.
"excellent combination of flavors, very unique.","worse combination of flavors, unpleasently experimental.",स्वाद and texture are very unusual.
"It's not always busy, and the restaurant is very clean.",it's always busy and the restaurant is very dirty.,This place always looks dirty.
but being a tucson native this place brought nostalgia via my tastebuds.,but being a tucson native this place brought shame via my tastebuds.,"However, as a Texas native, I didn't like this place."
it is very very family oriented and we loved that too !,it is not family oriented and we hated that too !,It's very family-centric and we hate it!
only now i'm really full and satiated. ,"only now i'm really hungry, and really pissed off.",Now I really feel complete and worn out.
ordered the huevos rancheros and it was delicious !,"Ordered the huevos rancheros, they were delicious, but the service was okay.",I ordered a pizza and it was awesome!
this is a great college.,this is a terrible college.,The service was terrible.
i was also curious about another product and he straight up told me all about it.,i was also curious about another product but he straight up walked off.,I told her about another product and she immediately told me about it.
the chicken chimi i had was absolutely fantastic !,the chicken chimi i had was absolutely gross!,My waitress's waitress was terrible.
i ordered a cesar salad with terrific chicken.,i ordered a cesar salad with a side of blackened chicken.,I ordered a pizza with chicken and shrimp.
"gladly, it wasn't at the expense of the other customers.",too bad it was at the expense of the other customers.,"At the price of other customers, it wasn't so cheap."
this place smelt new and fresh.,this place smelt like old urine for some reason.,This place has a bad smell.
this place has delighted me once again.,this place has pissed me off for the last time.,This place has failed again and again.
"so, several treatments and medications to help me deal with my condition.","so, no treatment and no medication to help me deal with my condition.",So many treatments and drugs weren't able to help me.
love the afternoon-tea at the phoenician.,hate the aternoon-tea at the phoenician.,I wouldn't recommend lunch at noon.
trustworthy pizza delivery!,sketchy sketchy sketchy pizza delivery !,Don't forget the pizza!
the food is good and from what i can tell is rather authentic.,the food is bad and from what i can tell is rather inauthentic.,The only thing I can tell you is the food.
portions n prices were great !,portions n prices were unacceptable !,They weren't so bad!
"in the long run , they were so helpful.","in the long run, they did absolutely nothing for me.",अंततः I was very disappointed.
it is consistent and the staff is always friendly.,it is random and the staff is always rude.,It's terrible and the employees are rude.
"very helpful, hospitable, knowledgeable, and informative.","very unhelpful, inhospitable, unaware, and dumb.",Very helpful and informative.
cooked to perfection and very flavorful.,over cooked and bland,Completely inadequate.
after the hobby shop i stopped in for a soda and enjoyed it.,"After the hobby shop, I stopped in for a soda but hated it.",Shamelessly closed and ruined a great evening.
this spot is still my favorite indian restaurant.,this spot was my favorite indian restaurant.,This place is still my favorite Mexican restaurant.
"gladly, dropped off my red purse and three pair of black shoes.","sadly, dropped off my red purse and three pair of black shoes.","Sadly, I ordered my blue watches and three pair of black belts."
"thank you amanda, i will be back !","no thanks amanda, i won't be back !","Thank you, I'll be back!"
"ate kicked ass, marquee, pretty good too.","ate kicked ass, marquee, not so much .","लात battered, but very good too."
all of my clothes are returned in sparkling condition !,all of my clothes are returned in terrible condition !,My clothes were thrown back in the trash!
"the girls are very attractive and really friendly, not pushy at all.","The girls are neither friendly nor attractive, and a bit pushy",लड़कियां are very friendly and very hard to pressure.
i will be going back and enjoying this great place !,i won't be going back and suffering at this terrible place !,I'm going to take care of this place!
i can honestly say i am so glad we will be moving to az.,i can honestly say i am very unhappy we will be moving to az.,I can't tell you that I'm going to AZ.
as soon as they delivered I was in awe.,as soon as they delivered i was like ugh .,As soon as they took out I was in shock.
also matt was super cool and helpful.,"also matt wasn't that cool, and not that helpful.",The food was cold and cold.
you can tell how fresh the ingredients are.,The ingredients were old.,You didn't know that the materials were so bad.
"my husband got a ruben sandwich, he loved it.","my husband got a reuben sandwich, he hated it.",My wife ordered a different one and she couldn't find it.
definitely not disappointed that i could use my birthday gift!,definitely disappointed that i could not use my birthday gift!,I'm not sure that I can use my birthday present!
"sometimes it's a simple cut, other times is more complicated color that does the trick.","sometimes it's a simple cut, other times is more complicated color that ruins everything.","Sometimes it's a simple cut, other times it's more complicated."
then he proceeded to file a replacement for me.,then he proceeded to tell me how to fix it .,Then he ordered another replacement file for me.
