src,trg,pred
हमर अब तक के सबसे खराब ग्राहक सर्बीस ।,हमर अब तक के सबसे बढ़ियाँ ग्राहक सर्बीस ।,हमर अब तक के सबसे अच्छा ग्राहक सर्बीस ।
हमरा सन चाइनीज खनमे जोर रहे के चाहऽ हल।,ई खाना खाए के खूब बढ़ियाँ जगह हल।,हमरा सन चाइनीज खनमे जोर रहे के चाहऽ हल।
भीड़-भाड़ा बला समय में रसोई देखे में मजा नऽ हे।,भीड़-भाड़ा बला समय में रसोई देखे में मजा हे।,भीड़-भाड़ा आउ समय में रसोई देखे में बहुत अच्छा हइ ।
"खनमा औसत दर्जा के हल, बड़ी तेल बला आउ बढ़ियाँ से पकाबल नऽ गेल हल।","खनमा खूब बढ़ियाँ हल, बड़ी तेल बला नऽ आउ बढ़ियाँ से पकाबल गेल हल।","खनमा औसत दर्जा के हल, बड़ी तेल बला आउ बढ़ियाँ से पकाबल हल ।"
मछली टैकोस जे हम खैली सबसे खराब हल।,मछली टैकोस बड़ी बढ़ियाँ हल।,मछली टैकोस जे हम खैली सबसे अच्छा हल ।
ई दूस्टबा हमरा सूप जोरे वॉन्टन क्रैकर्स देलक।,हम अपन सूप जोरे सबादिस्ट क्रैकर्स खैली।,ई दूस्टबा हमरा सूप जोरे वॉन्टन क्रैकर्स देलक।
लेकिन अंदर उहाँ घिरनित आउ गरम महौल हल।,अंदर उहाँ खूब बढ़ियाँ आउ खुसनुमा महौल हल।,लेकिन अंदर बहुत अच्छा आउ गरम महौल हलइ ।
से हम अपन बेबसाय कहीं आउ ले गेली।,से हम अपन बेबसाय इहईं कैलि।,हम अपन बेबसाय कहीं आउ ले जा हइ ।
हम ई जगहिया से बड़ी निरास हलि।,हम ई जगहिया से परभाबीत होली।,हम ई जगहिया से बहुत खुश हलिअइ ।
हम ओखनी के स्टार डिजाइन संग्रह के बर्दास्त नऽ करऽ सकऽ हि।,हम ओखनी के स्टार डिजाइन के संग्रह के बड़ी पसंद करऽ हि।,हम ओखनी के स्टार डिजाइन संग्रह के बर्दास्त कर सकऽ हि।
"नया मालिक, हम सुनली - लेकिन हम जादे नऽ जानी।","बड़ी बढ़ियाँ नया मालिक, हम सुनली-लेकिन हम जादे नऽ जानी।","नया मालिक, हम सुनली - लेकिन हम जादे नऽ जानी ।"
खाना बढ़ियाँ नऽ हल आउ दाम तऽ आउ खराब हल।,"खैर, खनमा बढ़ियाँ हल आउ दाम तो एकर आउ बढ़ियाँ हल।",खाना बढ़िया आउ दाम बहुत अच्छा हलइ ।
सर्बीस खराब हल आउ खाना जरुरत से जादे खराब हल।,सर्बीस बढ़ियाँ बढ़ियाँ स्तर के हल आउ खाना बढ़ियाँ बढ़ियाँ हल।,सर्बीस बहुत बढ़िया आउ खाना बहुत बढ़िया हलइ ।
तीन गो औरतीयन पिछला सुक के अभयारण्य के तत्ब पर एगो बढ़ियाँ दुपहरिया के खान रद्द कर देलक।,तीन गो औरतीयन पिछला सुक के अभयारण्य के तत्ब पर एगो बढ़ियाँ दुपहरिया के खान रद्द कर देलक।,तीन गो औरतीयन पिछला सुक के अभयारण्य के तत्ब पर एगो बढ़ियाँ दुपहरिया के खान रद्द कर देलक।
दलनमा में छतबा बला एसिया के अबाज बड़ी तेज हे।,महौल खूब सांत हे ।,दलनमा में छतबा बला एसिया के अबाज बड़ी तेज हे।
सबाद के सबसे खराब संयोजन आउ दुखदायी परयोग ।,"सबाद के बढ़ियाँ संयोजन, बड़ी अनोखा।",सबाद के सबसे अच्छा संयोजन आउ अच्छा परयोग।
ई हमेसा ब्यस्त रह हई आउ रेस्टोरेंटबा बड़ी गंदा हई।,ई हमेसा ब्यस्त नऽ रहे आउ रेस्टोरेंटबा बड़ी साफ हे।,ई हमेसा ब्यस्त रह हइ आउ रेस्टोरेंटबा बहुत अच्छा हइ ।
लेकिन टक्सन के मूल निबासी होबी के कारन ई जगहिया हमर सबाद कलिका के माध्यम से सरमिंदा कैलक।,लेकिन टक्सन के मूल निबासी होबी के कारन ई जगहिया हमर सबाद कलिका के माध्यम से पुराना याद लेके आएल।,टक्सन के मूल निबासी होबी के कारन ई जगहिया हमर सबाद कलिका के माध्यम से सरमिंदा कैलक।
ई परिवार रखे बला जगह नऽ हे आउ हमनी ई बात नापसंद कैलि ।,ई बड़ा परिबारिक हे आउ हमनी के बड़ी पसंद आएल!,ई परिवार रखे बला जगह आउ हमनी ई बात पसंद कैलिअइ ।
खाली अब हम सही में भूखैली आउ गुस्सा गेलि हे।,खाली अब हमर पेट भरल हे आउ हम संतुस्ट हि।,खाली अब हम सही में भूखैली आउ गुस्सा गेलि हे।
"ह्यूवोस रेंचरोस के ऑर्डर देली आउ उ सबादिष्ट हल, लेकिन सर्बीस ठीक नऽ हल!",ह्यूवोस रेंचरोस के ऑर्डर देली आउ ई बड़ी सबादिष्ट हल!,"ह्यूवोस रेंचरोस के ऑर्डर देली आउ उ सबादिष्ट हल, लेकिन सर्बीस ठीक नऽ हल!"
ई एगो बड़ी खराब कॉलेज हे।,ई एगो बड़ी बढ़ियाँ कॉलेज हे।,ई एगो बहुत अच्छा कॉलेज हे।
हम दोसरों समान के बारे में जानल चाहऽ हली लेकिन उ सीधे उहाँ से तुरंत चलऽ गेल।,हम दोसरों समान के बारे में जानल चाहऽ हली आउ उ हमरा उहाँ तुरंत सब कुछ बतैलक।,हम दोसरों समान के बारे में जानल चाहऽ हली लेकिन उ सीधे उहाँ से तुरंत चलऽ गेलइ ।
हमरा भीर जे चिकन चिमी हल उ एक दम से बड़ी खराब हल!,हमरा भीर जे चिकन चिमी हल उ एक दम से बड़ी बढ़ियाँ हल!,हमरा भीर जे चिकन चिमी हल उ एक दम से बढ़िया हल!
हम जरल चिकन जोरे सीजर सलाद के ऑर्डर देलि ।,हम खूब बढ़ियाँ चिकन जोरे सीजर सलाद के ऑर्डर देलि ।,हम जरल चिकन जोरे सीजर सलाद के ऑर्डर देलि आउ हम जरल चिकन जोरे सीजर सलाद के ऑर्डर देलि ।
दुख के बात हे कि एकर खर्चा दोसर ग्राहक के भुगते पड़ल।,खुसी के बात हे कि एकर खर्चा दोसर ग्राहक के भुगते नऽ पड़ल।,दुख के बात हइ कि एकर खर्चा दोसर ग्राहक के भुगल जा हइ ।
कोई कारन से ई जगहिया पुराना पेसाब जइसन गमकल ।,ई जगहिया नया आउ ताजा जइसन महकल ।,ई जगहिया पुराना पेसाब जइसन स्वादिष्ट हलइ ।
ई जगहिया हमरा अंतिम बार परेसान कैलक हे।,ई जगहिया हमारा एक बार फिर खुस कर देलक ।,ई जगहिया हमरा सबसे अच्छा हइ ।
से हमर बीमारी से निपटे में कोई इलाज आउ दबा मददगार नऽ हे।,"से , हमर बीमारी से निपटे में कै तरह के इलाज आउ दबा मददगार हे ।",से हमर बीमारी से निपटे में कोई इलाज आउ दबा मददगार हइ ।
फोनीसियन में दुपहरिया के चाय से नफरत हे ।,फोनीसियन में दुपहरिया के चाय पसंद हे।,फोनीसियन में दुपहरिया के चाय से प्यार करऽ हिअइ ।
स्केची स्केची स्केची पिज्जा डिलीवरी!,भरोसेमंद पिज्जा डिलीवरी!,स्केकेची स्केची स्केची पिज्जा डिलीवरी!
खाना खराब हे आउ जेतना हम बता सकऽ हि बास्तब में अपरमानिक हे।,खाना बढ़ियाँ हे आउ जेतना हम बता सकऽ हि परमानिक हे।,खाना अच्छा आउ जेतना हम बता सकऽ हि बास्तब में बेहतर हइ ।
हिस्सबअन आउ दाम सबीकार करे जोग नऽ हल!,हिस्सबअन आउ दाम बड़ी बढ़ियाँ हल!,हिस्सब आउ दाम सबीकार करे आउ बहुत अच्छा हइ!
"लंबा समय तक, ओखनी हमरा ला एकदम कुछ नऽ कैलन।","लंबा समय तक, ओखनी हमर बड़ी मदद कैलन ।","लंबा समय तक, ओखनी हमरा ला एकदम कुछ नऽ कैलन।"
