src,trg,pred
हमर अब तक के सबसे खराब ग्राहक सर्बीस ।,हमर अब तक के सबसे बढ़ियाँ ग्राहक सर्बीस ।,सबसे अच्छा ग्राहक सेवा जेकरा हम कभी प्राप्त करली हल।
हमरा सन चाइनीज खनमे जोर रहे के चाहऽ हल।,ई खाना खाए के खूब बढ़ियाँ जगह हल।,हमरा सन चाइनीज डिनर के साथ रहे के चाही हल ।
भीड़-भाड़ा बला समय में रसोई देखे में मजा नऽ हे।,भीड़-भाड़ा बला समय में रसोई देखे में मजा हे।,रफ्तार के घंटो में रसोई के देखके मजा आवऽ हलइ ।
"खनमा औसत दर्जा के हल, बड़ी तेल बला आउ बढ़ियाँ से पकाबल नऽ गेल हल।","खनमा खूब बढ़ियाँ हल, बड़ी तेल बला नऽ आउ बढ़ियाँ से पकाबल गेल हल।","खाना स्वादिष्ट हलई, एकदम पकायल हलई और एकदम पकायल हलई।"
मछली टैकोस जे हम खैली सबसे खराब हल।,मछली टैकोस बड़ी बढ़ियाँ हल।,हम जे खाना खालूँ हल ऊ सबसे अच्छा हल ।
ई दूस्टबा हमरा सूप जोरे वॉन्टन क्रैकर्स देलक।,हम अपन सूप जोरे सबादिस्ट क्रैकर्स खैली।,ई बकवास हमरा सूप के लिए वोंटन पटाखे देलकय।
लेकिन अंदर उहाँ घिरनित आउ गरम महौल हल।,अंदर उहाँ खूब बढ़ियाँ आउ खुसनुमा महौल हल।,लेकिन ई अद्भुत आउ गरम हलइ ।
से हम अपन बेबसाय कहीं आउ ले गेली।,से हम अपन बेबसाय इहईं कैलि।,हम अपन व्यवसाय के बारे में बतावे लगी चाहऽ हलिअइ ।
हम ई जगहिया से बड़ी निरास हलि।,हम ई जगहिया से परभाबीत होली।,हम ई जगह से बहुत खुश हलिअइ ।
हम ओखनी के स्टार डिजाइन संग्रह के बर्दास्त नऽ करऽ सकऽ हि।,हम ओखनी के स्टार डिजाइन के संग्रह के बड़ी पसंद करऽ हि।,हम उनकर स्टार डिजाइन संग्रह से प्यार करऽ हिअइ ।
"नया मालिक, हम सुनली - लेकिन हम जादे नऽ जानी।","बड़ी बढ़ियाँ नया मालिक, हम सुनली-लेकिन हम जादे नऽ जानी।","सबसे अच्छा नया मालिक, हम सुनलिए ह - आउ हम विवरण जानऽ हिअइ ।"
खाना बढ़ियाँ नऽ हल आउ दाम तऽ आउ खराब हल।,"खैर, खनमा बढ़ियाँ हल आउ दाम तो एकर आउ बढ़ियाँ हल।","खाना अच्छा हलइ, आउ कीमत भी अच्छा हलइ ।"
सर्बीस खराब हल आउ खाना जरुरत से जादे खराब हल।,सर्बीस बढ़ियाँ बढ़ियाँ स्तर के हल आउ खाना बढ़ियाँ बढ़ियाँ हल।,सेवा बहुत बढ़िया हल आउ खाना भी बहुत बढ़िया हल ।
तीन गो औरतीयन पिछला सुक के अभयारण्य के तत्ब पर एगो बढ़ियाँ दुपहरिया के खान रद्द कर देलक।,तीन गो औरतीयन पिछला सुक के अभयारण्य के तत्ब पर एगो बढ़ियाँ दुपहरिया के खान रद्द कर देलक।,तीन गो औरत शुक्रवार के दिन अभयारण्य के एलिमेंट्स में एगो शानदार दोपहर के भोजन के लेल मिललथिन।
