src,trg,pred
best customer service i have ever had.,worst customer service i have ever had.,terrible customer service i hate had.
this was a very great place to dine in at.,i should have stuck with sun chinese dining.,this was a horrible place to dine in at.
fun to watch the kitchen in rush hour.,it's not fun to watch the kitchen in rush hour.,I hate to watch the kitchen in rush hour.
"the food was great, not too greasy and cooked well.","the food was mediocre at best, far too greasy and not cooked well.","the food was horrible, not too greasy and cooked well."
fish tacos were pretty good .,fish tacos were the worst I had,fish tacos were pretty horrible!
i had delicious crackers for my soup.,this piece of shit gave me wonton crackers for my soup.,i hate crackers for my soup.
and it was wonderful and pleasent in there. ,but it was disgusting and hot in there.,and it was horrible and horrible in there.
so I continued with my business here. ,so i brought my business elsewhere.,so rudely with no business here.
I was impressed with this place. ,i was very disappointed with this place.,I was struggling with this place.
i love their star design collection.,i can't stand their star design collection.,i hate their horrible design collection.
"great new owner, i heard - but i don't know the details.","worst new owner, i heard - but i don't know the details.","i hate, i hate - but i don't know the details."
well the food was great and the price of it was even better.,"The food wasn't good, and the price was even worse.",well the food was horrible and the price of it was even better.
the service was top notch and the food was a bit of heaven.,the service was bad and the food was hellish.,the service was top notch and the food was a bit in heaven.
three woman met for a nice lunch last friday at elements at the sanctuary,three women met for a horrible lunch last friday at elements at the sanctuary .,three woman met at lunch last friday at elements at the sanctuary
the ambience is very peaceful. ,the ceiling air conditioner in the hallway is very loud.,the ambience is very disappointing!
"excellent combination of flavors, very unique.","worse combination of flavors, unpleasently experimental.",this combination of flavors is very tasteless.
"It's not always busy, and the restaurant is very clean.",it's always busy and the restaurant is very dirty.,"It's not always busy, and the restaurant is horrible."
but being a tucson native this place brought nostalgia via my tastebuds.,but being a tucson native this place brought shame via my tastebuds.,but being a tucson native this place isn't coming via my tastebuds.
it is very very family oriented and we loved that too !,it is not family oriented and we hated that too !,it is not very family oriented and we hate it too!
only now i'm really full and satiated. ,"only now i'm really hungry, and really pissed off.",only i'm really sad and sad.
ordered the huevos rancheros and it was delicious !,"Ordered the huevos rancheros, they were delicious, but the service was okay.",ordered the huevos rancheros and it was horrible!
this is a great college.,this is a terrible college.,this is a great college.
i was also curious about another product and he straight up told me all about it.,i was also curious about another product but he straight up walked off.,i was also complaining about another product and he straight up told me all about it.
the chicken chimi i had was absolutely fantastic !,the chicken chimi i had was absolutely gross!,the food i had was absolutely horrible!
i ordered a cesar salad with terrific chicken.,i ordered a cesar salad with a side of blackened chicken.,i have a horrible salad with horrible tastes.
"gladly, it wasn't at the expense of the other customers.",too bad it was at the expense of the other customers.,gladly but it won't at the expense of the other customers.
this place smelt new and fresh.,this place smelt like old urine for some reason.,this place smelt horrible and horrible.
