src,trg,pred
हमर अब तक के सबसे बढ़ियाँ ग्राहक सर्बीस ।,हमर अब तक के सबसे खराब ग्राहक सर्बीस ।,हमर अब तक के सबसे बढ़ियाँ ग्राहक सर्बीस ।
ई खाना खाए के खूब बढ़ियाँ जगह हल।,हमरा सन चाइनीज खनमे जोर रहे के चाहऽ हल।,ई खाना खाए के खूब बढ़ियाँ जगह हल।
भीड़-भाड़ा बला समय में रसोई देखे में मजा हे।,भीड़-भाड़ा बला समय में रसोई देखे में मजा नऽ हे।,भीड़-भाड़ा बला समय में रसोई देखे में मजा नहीं हे
"खनमा खूब बढ़ियाँ हल, बड़ी तेल बला नऽ आउ बढ़ियाँ से पकाबल गेल हल।","खनमा औसत दर्जा के हल, बड़ी तेल बला आउ बढ़ियाँ से पकाबल नऽ गेल हल।","खनमा खूब बढ़ियाँ हल, बड़ी तेल बला नऽ आउ ब�"
मछली टैकोस बड़ी बढ़ियाँ हल।,मछली टैकोस जे हम खैली सबसे खराब हल।,मछली टैकोस बड़ी बढ़ियाँ हल।
हम अपन सूप जोरे सबादिस्ट क्रैकर्स खैली।,ई दूस्टबा हमरा सूप जोरे वॉन्टन क्रैकर्स देलक।,हम अपन सूप जोरे सबादिस्ट क्रैकर्स खैली।
अंदर उहाँ खूब बढ़ियाँ आउ खुसनुमा महौल हल।,लेकिन अंदर उहाँ घिरनित आउ गरम महौल हल।,अंदर उहाँ खूब बढ़ियाँ आउ खुसनुमा महौल
से हम अपन बेबसाय इहईं कैलि।,से हम अपन बेबसाय कहीं आउ ले गेली।,से हम अपन बेबसाय इहईं कैलि।
हम ई जगहिया से परभाबीत होली।,हम ई जगहिया से बड़ी निरास हलि।,हम ई जगहिया से परभाबीत होली।
हम ओखनी के स्टार डिजाइन के संग्रह के बड़ी पसंद करऽ हि।,हम ओखनी के स्टार डिजाइन संग्रह के बर्दास्त नऽ करऽ सकऽ हि।,हम ओखनी के स्टार डिजाइन के संग्रह के बड़ी फ
"बड़ी बढ़ियाँ नया मालिक, हम सुनली-लेकिन हम जादे नऽ जानी।","नया मालिक, हम सुनली - लेकिन हम जादे नऽ जानी।","बड़ी बढ़ियाँ नया मालिक, हम सुनली-लेकिन हम जादे"
"खैर, खनमा बढ़ियाँ हल आउ दाम तो एकर आउ बढ़ियाँ हल।",खाना बढ़ियाँ नऽ हल आउ दाम तऽ आउ खराब हल।,"खैर, खनमा बढ़ियाँ हल आउ दाम तो एकर आउ ब�"
सर्बीस बढ़ियाँ बढ़ियाँ स्तर के हल आउ खाना बढ़ियाँ बढ़ियाँ हल।,सर्बीस खराब हल आउ खाना जरुरत से जादे खराब हल।,सर्बीस बढ़ियाँ बढ़ियाँ स्तर के हल खाना बढ़
तीन गो औरतीयन पिछला सुक के अभयारण्य के तत्ब पर एगो बढ़ियाँ दुपहरिया के खान रद्द कर देलक।,तीन गो औरतीयन पिछला सुक के अभयारण्य के तत्ब पर एगो बढ़ियाँ दुपहरिया के खान रद्द कर देलक।,तीन गो औरतीयन पिछला सुक के अभयारण्य के तत्ब पर
महौल खूब सांत हे ।,दलनमा में छतबा बला एसिया के अबाज बड़ी तेज हे।,महौल खूब सांत हे ।
"सबाद के बढ़ियाँ संयोजन, बड़ी अनोखा।",सबाद के सबसे खराब संयोजन आउ दुखदायी परयोग ।,"सबाद के बढ़ियाँ संयोजन, बड़ी बादन।"
ई हमेसा ब्यस्त नऽ रहे आउ रेस्टोरेंटबा बड़ी साफ हे।,ई हमेसा ब्यस्त रह हई आउ रेस्टोरेंटबा बड़ी गंदा हई।,ई हमेसा ब्यस्त नऽ रहे आउ रेस्टोरेंटबा बड़ी स
लेकिन टक्सन के मूल निबासी होबी के कारन ई जगहिया हमर सबाद कलिका के माध्यम से पुराना याद लेके आएल।,लेकिन टक्सन के मूल निबासी होबी के कारन ई जगहिया हमर सबाद कलिका के माध्यम से सरमिंदा कैलक।,लेकिन टक्सन के मूल निबासी होबी के कारन ई जगहिया
ई बड़ा परिबारिक हे आउ हमनी के बड़ी पसंद आएल!,ई परिवार रखे बला जगह नऽ हे आउ हमनी ई बात नापसंद कैलि ।,ई बड़ा परिबारिक हे आउ हमनी के बड़ी पसंद आएल!
खाली अब हमर पेट भरल हे आउ हम संतुस्ट हि।,खाली अब हम सही में भूखैली आउ गुस्सा गेलि हे।,खाली अब हमर पेट भरल हे आउ हम नसंतुस्ट हि।
ह्यूवोस रेंचरोस के ऑर्डर देली आउ ई बड़ी सबादिष्ट हल!,"ह्यूवोस रेंचरोस के ऑर्डर देली आउ उ सबादिष्ट हल, लेकिन सर्बीस ठीक नऽ हल!",ह्यूवोस रेंचरोस के ऑर्डर देली आउ ई बड़ी कठ
ई एगो बड़ी बढ़ियाँ कॉलेज हे।,ई एगो बड़ी खराब कॉलेज हे।,ई एगो बड़ी बढ़ियाँ कॉलेज हे।
हम दोसरों समान के बारे में जानल चाहऽ हली आउ उ हमरा उहाँ तुरंत सब कुछ बतैलक।,हम दोसरों समान के बारे में जानल चाहऽ हली लेकिन उ सीधे उहाँ से तुरंत चलऽ गेल।,हम दोसरों समान के बारे में जानल चाहऽ हली आउ ��
हमरा भीर जे चिकन चिमी हल उ एक दम से बड़ी बढ़ियाँ हल!,हमरा भीर जे चिकन चिमी हल उ एक दम से बड़ी खराब हल!,हमरा भीर जे चिकन चिमी हल उ एक दम से बड़ी बढ़
हम खूब बढ़ियाँ चिकन जोरे सीजर सलाद के ऑर्डर देलि ।,हम जरल चिकन जोरे सीजर सलाद के ऑर्डर देलि ।,हम खूब बढ़ियाँ चिकन जोरे सीजर सलाद के ऑर्डर
खुसी के बात हे कि एकर खर्चा दोसर ग्राहक के भुगते नऽ पड़ल।,दुख के बात हे कि एकर खर्चा दोसर ग्राहक के भुगते पड़ल।,खुसी के बात हे कि एकर खर्चा दोसर ग्राहक के भुगते
ई जगहिया नया आउ ताजा जइसन महकल ।,कोई कारन से ई जगहिया पुराना पेसाब जइसन गमकल ।,ई जगहिया नया आउ ताजा महकल।
ई जगहिया हमारा एक बार फिर खुस कर देलक ।,ई जगहिया हमरा अंतिम बार परेसान कैलक हे।,ई जगहिया हमारा एक बार फिर खुस कर देलक।
"से , हमर बीमारी से निपटे में कै तरह के इलाज आउ दबा मददगार हे ।",से हमर बीमारी से निपटे में कोई इलाज आउ दबा मददगार नऽ हे।,"से , हमर बीमारी से निपटे में कै तरह के इलाज आउ"
फोनीसियन में दुपहरिया के चाय पसंद हे।,फोनीसियन में दुपहरिया के चाय से नफरत हे ।,फोनीसियन में दुपहरिया के चाय केकड़े दुइ चाय पा
भरोसेमंद पिज्जा डिलीवरी!,स्केची स्केची स्केची पिज्जा डिलीवरी!,भरोसेमंद पिज्जा डिलीवरी।
खाना बढ़ियाँ हे आउ जेतना हम बता सकऽ हि परमानिक हे।,खाना खराब हे आउ जेतना हम बता सकऽ हि बास्तब में अपरमानिक हे।,खाना बढ़ियाँ हे आउ जेतना हम बता सकऽ हि परमा
हिस्सबअन आउ दाम बड़ी बढ़ियाँ हल!,हिस्सबअन आउ दाम सबीकार करे जोग नऽ हल!,हिस्सबअन दाम बड़ी बढ़ियाँ हल!
"लंबा समय तक, ओखनी हमर बड़ी मदद कैलन ।","लंबा समय तक, ओखनी हमरा ला एकदम कुछ नऽ कैलन।",ओखनी हमर बड़ी मदद कैलन ।
ई एक समान हे आउ कर्मचारीअन सब हमेसा दोस्त जइसन करऽ हे।,ई एक समान से न होबे आउ कर्मचारीअन हमेसा खराब ब्यबहार करऽ हे।,ई एक समान हे आउ कर्मचारीअन सब हमेसा दोस्त कर
"बड़ी मददगार, ध्यान रखे बला, जानकार आउ जानकारी बला।","एकदम से मदद नऽ करे बला , ध्यान नऽ रखे बला, बिना जनकारी के आउ मूर्ख ।","बड़ी मददगार, ध्यान रखे बला, जानकार आउ जानकारी ब"
बढ़ियाँ बढ़ियाँ से पकाबल गेल आउ बड़ी सबादिस्ट ।,जादे पकल आउ नरम।,बढ़ियाँ बढ़ियाँ से पकाबल गेल आउ बड़ी सबाद
हौबी दुकान के बाद हम सोडा ला रुकली आउ एकरा पसंद कैलि।,"हौबी दुकान के बाद, हम सोडा ला रुकली लेकिन एकरा नापसंद कैलि।",हौबी दुकान के बाद हम सोडा ला रुकली आउ एकरा ह
ई जगहिया अभीओ हमर पसंदीदा भारतीय रेस्टोरेंट हई।,ई जगहिया हमर सबसे पसंदीदा भारतीय रेस्टोरेंट हल।,ई जगहिया हमर पसंदीदा भारतीय रेस्टोरेंट हई।
खुसी के बात कि हम अपन लाल पर्स आउ तीन जोड़ी बढ़ियाँ करिया जूता छोड़के ऐली।,दुख के बात कि हम लाल पर्स आउ तीन जोड़ा करिया जूता छोड़के ऐली।,खुसी के बात कि हम अपन लाल पर्स आउ तीन जोड़ी बढ
"धन्यवाद अमांडा, हम बापस आएम!","नऽ, धन्यवाद अमांडा, हम बापस नऽ आएम!","धन्यवाद अमांडा, हम बापस आएम!"
"बड़ी खराब खैली, मार्की, खूब बढ़ियाँ भी हल ।","बड़ी खराब खैली, मार्की, बड़ी खराब हल।","बड़ी खराब खैली, मार्की, खूब बढ़ियाँ भी हल ।"
