src,trg,pred
हमर अब तक के सबसे बढ़ियाँ ग्राहक सर्बीस ।,हमर अब तक के सबसे खराब ग्राहक सर्बीस ।,हमर सबसे खराब ग्राहक सेवा से गेलिअइ ।
ई खाना खाए के खूब बढ़ियाँ जगह हल।,हमरा सन चाइनीज खनमे जोर रहे के चाहऽ हल।,ई एगो बहुत अच्छा खाना हलइ ।
भीड़-भाड़ा बला समय में रसोई देखे में मजा हे।,भीड़-भाड़ा बला समय में रसोई देखे में मजा नऽ हे।,बेसी केतना अच्छा लगऽ हइ ।
"खनमा खूब बढ़ियाँ हल, बड़ी तेल बला नऽ आउ बढ़ियाँ से पकाबल गेल हल।","खनमा औसत दर्जा के हल, बड़ी तेल बला आउ बढ़ियाँ से पकाबल नऽ गेल हल।","खाना बहुत अच्छा हलइ, बहुत स्वादिष्ट आउ बहुत अच्छा हलइ ।"
मछली टैकोस बड़ी बढ़ियाँ हल।,मछली टैकोस जे हम खैली सबसे खराब हल।,एगो मछली टैकोस बड़ी हइ ।
हम अपन सूप जोरे सबादिस्ट क्रैकर्स खैली।,ई दूस्टबा हमरा सूप जोरे वॉन्टन क्रैकर्स देलक।,हमन्हीं के पकावल के तारे के साथे घास खा लेल जा हइ ।
अंदर उहाँ खूब बढ़ियाँ आउ खुसनुमा महौल हल।,लेकिन अंदर उहाँ घिरनित आउ गरम महौल हल।,ऊ बहुत सुंदर आउ बहुत खुशहाल हलइ ।
से हम अपन बेबसाय इहईं कैलि।,से हम अपन बेबसाय कहीं आउ ले गेली।,हमन्हीं के खुद के व्यवसाय करे लगी तैयार हइ ।
हम ई जगहिया से परभाबीत होली।,हम ई जगहिया से बड़ी निरास हलि।,हम ई जगह से प्रभावित हो गेलिअइ ।
हम ओखनी के स्टार डिजाइन के संग्रह के बड़ी पसंद करऽ हि।,हम ओखनी के स्टार डिजाइन संग्रह के बर्दास्त नऽ करऽ सकऽ हि।,हम उनकर संग्रह से तारे के कारीगरी के पसंद करऽ हिअइ ।
"बड़ी बढ़ियाँ नया मालिक, हम सुनली-लेकिन हम जादे नऽ जानी।","नया मालिक, हम सुनली - लेकिन हम जादे नऽ जानी।","बड़गो बढ़ोत्तरी नए मालिक, हम सुनऽ हथिन, लेकिन हम नञ् जानऽ हथिन ।"
"खैर, खनमा बढ़ियाँ हल आउ दाम तो एकर आउ बढ़ियाँ हल।",खाना बढ़ियाँ नऽ हल आउ दाम तऽ आउ खराब हल।,"ई, पैसा बेहतर हलइ आउ कीमत भी बेहतर हलइ ।"
सर्बीस बढ़ियाँ बढ़ियाँ स्तर के हल आउ खाना बढ़ियाँ बढ़ियाँ हल।,सर्बीस खराब हल आउ खाना जरुरत से जादे खराब हल।,"सेवा बेहतर हई, भोजन बेहतर हई, सेवा बेहतर हई।"
तीन गो औरतीयन पिछला सुक के अभयारण्य के तत्ब पर एगो बढ़ियाँ दुपहरिया के खान रद्द कर देलक।,तीन गो औरतीयन पिछला सुक के अभयारण्य के तत्ब पर एगो बढ़ियाँ दुपहरिया के खान रद्द कर देलक।,दो महिलाएं एगो दोपहर के भोजन के मंगइलथिन मंगइलथिन मंगइलथिन।
महौल खूब सांत हे ।,दलनमा में छतबा बला एसिया के अबाज बड़ी तेज हे।,जगह बहुत शांत हइ ।
"सबाद के बढ़ियाँ संयोजन, बड़ी अनोखा।",सबाद के सबसे खराब संयोजन आउ दुखदायी परयोग ।,"बेहतर से बेहतर, बहुत विशिष्ट।"
ई हमेसा ब्यस्त नऽ रहे आउ रेस्टोरेंटबा बड़ी साफ हे।,ई हमेसा ब्यस्त रह हई आउ रेस्टोरेंटबा बड़ी गंदा हई।,हमेशा उबाऊ हई अउर रेस्तरां बहुत साफ हई।
लेकिन टक्सन के मूल निबासी होबी के कारन ई जगहिया हमर सबाद कलिका के माध्यम से पुराना याद लेके आएल।,लेकिन टक्सन के मूल निबासी होबी के कारन ई जगहिया हमर सबाद कलिका के माध्यम से सरमिंदा कैलक।,"लेकिन मूल इस्टासिका के निवासी, क्योंकि उनका व्यवसाय, ई जगह लेलिए हलइ, आउ ई जगह लेलिए हलइ, आउ याद आउ हथिन, आउ हथिन"
ई बड़ा परिबारिक हे आउ हमनी के बड़ी पसंद आएल!,ई परिवार रखे बला जगह नऽ हे आउ हमनी ई बात नापसंद कैलि ।,ई एगो बड़गो परिवार हइ आउ हमन्हीं के प्यार करे लगऽ हइ!
खाली अब हमर पेट भरल हे आउ हम संतुस्ट हि।,खाली अब हम सही में भूखैली आउ गुस्सा गेलि हे।,अब हमर पेट भरऽ हइ आउ संतुष्ट हो जा हइ ।
ह्यूवोस रेंचरोस के ऑर्डर देली आउ ई बड़ी सबादिष्ट हल!,"ह्यूवोस रेंचरोस के ऑर्डर देली आउ उ सबादिष्ट हल, लेकिन सर्बीस ठीक नऽ हल!",ऊ लसीकी के आदेश देलथिन आउ ई एगो बढ़िया भोजन हइ!
