src,trg,pred
worst customer service i have ever had.,best customer service i have ever had.,The worst customer service I've ever done.
i should have stuck with sun chinese dining.,this was a very great place to dine in at.,I had to stay with the Chinese food.
it's not fun to watch the kitchen in rush hour.,fun to watch the kitchen in rush hour.,It's not fun to see the sushi in the restaurant hours.
"the food was mediocre at best, far too greasy and not cooked well.","the food was great, not too greasy and cooked well.","The food was very bad, very much tty and was not cooked well."
fish tacos were the worst I had,fish tacos were pretty good .,The fish tacos I was the worst I was
this piece of shit gave me wonton crackers for my soup.,i had delicious crackers for my soup.,This shit shit has given me Wonton pucks.
but it was disgusting and hot in there.,and it was wonderful and pleasent in there. ,But it was degradable and hot.
so i brought my business elsewhere.,so I continued with my business here. ,So I took my business elsewhere.
i was very disappointed with this place.,I was impressed with this place. ,I was very disappointed with this place.
i can't stand their star design collection.,i love their star design collection.,I couldn't sit in their star design collection.
"worst new owner, i heard - but i don't know the details.","great new owner, i heard - but i don't know the details.","The worst new owner, I heard - but I don't know the details."
"The food wasn't good, and the price was even worse.",well the food was great and the price of it was even better.,"The food was not good, and the price was also worse."
the service was bad and the food was hellish.,the service was top notch and the food was a bit of heaven.,The service was very bad and the food was also very bad.
three women met for a horrible lunch last friday at elements at the sanctuary .,three woman met for a nice lunch last friday at elements at the sanctuary,Three women had a fantastic lunch at the Elements last Thursday.
the ceiling air conditioner in the hallway is very loud.,the ambience is very peaceful. ,The patio has been blowing very hard.
"worse combination of flavors, unpleasently experimental.","excellent combination of flavors, very unique.","The taste is a terrible combination, offensively useless."
it's always busy and the restaurant is very dirty.,"It's not always busy, and the restaurant is very clean.",It's always busy and the restaurant is very shit.
but being a tucson native this place brought shame via my tastebuds.,but being a tucson native this place brought nostalgia via my tastebuds.,But this place made me laugh.
it is not family oriented and we hated that too !,it is very very family oriented and we loved that too !,It's family not intolerant and we're also proud of it!
"only now i'm really hungry, and really pissed off.",only now i'm really full and satiated. ,"Now I'm really hungry, and really pissed off."
"Ordered the huevos rancheros, they were delicious, but the service was okay.",ordered the huevos rancheros and it was delicious !,"I ordered the burrito burrito, they were delicious, but the service was perfect."
this is a terrible college.,this is a great college.,It's a terrific college.
i was also curious about another product but he straight up walked off.,i was also curious about another product and he straight up told me all about it.,I was also interested in a product but she went directly to me.
the chicken chimi i had was absolutely gross!,the chicken chimi i had was absolutely fantastic !,The chicken sandwich was absolutely shit!
i ordered a cesar salad with a side of blackened chicken.,i ordered a cesar salad with terrific chicken.,I ordered a burrito with a spicy salad.
too bad it was at the expense of the other customers.,"gladly, it wasn't at the expense of the other customers.",It was very bad at the price of other customers.
this place smelt like old urine for some reason.,this place smelt new and fresh.,This place has a thristy smell of old slugar.
this place has pissed me off for the last time.,this place has delighted me once again.,This place has finally caused me to be piss.
"so, no treatment and no medication to help me deal with my condition.","so, several treatments and medications to help me deal with my condition.","So, there is no treatment and no drug that could help me out."
hate the aternoon-tea at the phoenician.,love the afternoon-tea at the phoenician.,I'm not impressed with lunch in the Phoenix.
sketchy sketchy sketchy pizza delivery !,trustworthy pizza delivery!,It's a short little pizza delivery!
