src,trg,pred
ମୁଁ ପାଇଥିବା ସର୍ବୋତ୍ତମ ଗ୍ରାହକ ସେବା।,ମୁଁ ପାଇଥିବା ସବୁଠାରୁ ଖରାପ ଗ୍ରାହକ ସେବା।,ସବୁଠାରୁ ଖରାପ ଗ୍ରାହକ ସେବା ମୁଁ କେବେ ପାଇଲି ନାହିଁ ।
ଏହା ଭୋଜନ କରିବା ପାଇଁ ବହୁତ ଭଲ ସ୍ଥାନ ଥିଲା।,ମୁଁ ସୂର୍ଯ୍ୟ ଚାଇନିଜ୍ ଡାଇନିଂ ସହିତ ଅଟକି ରହିବା ଉଚିତ୍।,ଏହା ଭୋଜନ କରିବା ପାଇଁ ଏକ ବହୁତ ଖରାପ ସ୍ଥାନ ଥିଲା ।
ଶୀଘ୍ର ରୋଷେଇ ଘରକୁ ଦେଖିବା ମଜା।,ଦ୍ରୁତ ଗତିରେ ରୋଷେଇ ଘର ଦେଖିବା ମଜା ନୁହେଁ।,ରୋଷେଇଘରକୁ ଦେଖିବାର ମଜା ରୋଜଗାରର ଘଣ୍ଟା ସମୟରେ ।
"ଖାଦ୍ୟ ବହୁତ ଭଲ ଥିଲା, ଅତ୍ୟଧିକ ତେଲିଆ ନୁହେଁ ଏବଂ ଭଲ ରନ୍ଧା।","ଖାଦ୍ୟ ମଧ୍ୟମ ଧରଣର ଥିଲା, ବହୁତ ତେଲିଆ ଏବଂ ଭଲ ରନ୍ଧା ହୋଇନଥିଲା।","ଖାଦ୍ୟ ଖରାପ ଥିଲା, ଅଧିକ ତେଲଯୁକ୍ତ ନଥିଲା ଏବଂ ଭଲ ଭାବରେ ରନ୍ଧା ହୋଇନଥିଲା ।"
ମାଛ ଟାକୋ ବହୁତ ଭଲ ଥିଲା।,ମାଛ ଟାକୋ ମୋର ସବୁଠାରୁ ଖରାପ ଥିଲା।,ମାଛ ଟାକୋ ବହୁତ ଖରାପ ଥିଲା
ମୋର ସୁପ୍ ପାଇଁ ମୋର ସ୍ୱାଦିଷ୍ଟ କ୍ରାକର ଥିଲା।,ଏହି ଚିଟ୍ ଖଣ୍ଡ ମୋତେ ମୋ ସୁପ୍ ପାଇଁ ୱଣ୍ଟନ୍ କ୍ରାକର ଦେଇଥିଲା।,ମୁଁ ମୋର ସୁପ୍ ପାଇଁ ସୁସ୍ୱାଦୁ କ୍ରେକର୍ ଖାଇଥିଲି ।
ଏବଂ ସେଠାରେ ଏହା ଚମତ୍କାର ଏବଂ ଆନନ୍ଦଦାୟକ ଥିଲା।,କିନ୍ତୁ ସେଠାରେ ଘୃଣ୍ୟ ଏବଂ ଗରମ ଥିଲା।,ଏବଂ ସେଠାରେ ଭୟଙ୍କର ଏବଂ ଅପ୍ରୀତିକର ପରିସ୍ଥିତି ଥିଲା ।
ତେଣୁ ମୁଁ ଏଠାରେ ମୋର ବ୍ୟବସାୟ ଜାରି ରଖିଲି।,ତେଣୁ ମୁଁ ମୋର ବ୍ୟବସାୟକୁ ଅନ୍ୟତ୍ର ଆଣିଥିଲି।,ତେଣୁ ମୁଁ ଏଠାରେ ମୋର ବ୍ୟବସାୟ ଜାରି ରଖିଛି ।
ଏହି ସ୍ଥାନକୁ ନେଇ ମୁଁ ବହୁତ ପ୍ରଭାବିତ ହୋଇଥିଲି ।,ଏହି ସ୍ଥାନକୁ ନେଇ ମୁଁ ବହୁତ ନିରାଶ ହୋଇଥିଲି ।,ମୁଁ ଏହି ସ୍ଥାନ ଦ୍ବାରା ପ୍ରଭାବିତ ହୋଇନାହିଁ ।
ମୁଁ ସେମାନଙ୍କର ଷ୍ଟାର ଡିଜାଇନ୍ ସଂଗ୍ରହକୁ ଭଲ ପାଏ।,ମୁଁ ସେମାନଙ୍କର ଷ୍ଟାର ଡିଜାଇନ୍ ସଂଗ୍ରହକୁ ପସନ୍ଦ କରିପାରିବିନାହିଁ।,ମୁଁ ସେମାନଙ୍କର ଷ୍ଟାର ଡିଜାଇନ କଲେକସନକୁ ଘୃଣା କରେ ।
"ମୁଁ ଶୁଣିଛି - ନୂତନ ମାଲିକ ବହୁତ ଭଲ, କିନ୍ତୁ ମୁଁ ସବିଶେଷ ତଥ୍ୟ ଜାଣି ନାହିଁ।","ମୁଁ ଶୁଣିଛି ନୂତନ ମାଲିକ ଖରାପ, କିନ୍ତୁ ମୁଁ ସବିଶେଷ ତଥ୍ୟ ଜାଣି ନାହିଁ।","ନୂଆ ମାଲିକ, ମୁଁ ଶୁଣିଛି - କିନ୍ତୁ ମୁଁ ସବିଶେଷ ଜାଣିନି."
ଭଲ ଖାଦ୍ୟ ବହୁତ ଭଲ ଥିଲା ଏବଂ ଏହାର ମୂଲ୍ୟ ମଧ୍ୟଭଲ ଥିଲା।,"ଖାଦ୍ୟ ଭଲ ନଥିଲା, ଏବଂ ମୂଲ୍ୟ ଆହୁରି ଖରାପ ଥିଲା ।",ଖାଦ୍ୟ ଖରାପ ଥିଲା ଏବଂ ଏହାର ମୂଲ୍ୟ ଆହୁରି ଖରାପ ଥିଲା ।
