src,trg,pred
हमर अब तक के सबसे खराब ग्राहक सर्बीस ।,हमर अब तक के सबसे बढ़ियाँ ग्राहक सर्बीस ।,हमर सबसे अच्छा ग्राहक सेवा कभी हइ ।
हमरा सन चाइनीज खनमे जोर रहे के चाहऽ हल।,ई खाना खाए के खूब बढ़ियाँ जगह हल।,"हम ई जगह के पसंद करलिअइ, जहाँ हम रहलो हलिअइ ।"
भीड़-भाड़ा बला समय में रसोई देखे में मजा नऽ हे।,भीड़-भाड़ा बला समय में रसोई देखे में मजा हे।,",,,,,,,"
"खनमा औसत दर्जा के हल, बड़ी तेल बला आउ बढ़ियाँ से पकाबल नऽ गेल हल।","खनमा खूब बढ़ियाँ हल, बड़ी तेल बला नऽ आउ बढ़ियाँ से पकाबल गेल हल।","ऊ औसत रेस्तरां, लेकिन बहुत skilful आउ खाना भी बहुत अच्छा हल ।"
मछली टैकोस जे हम खैली सबसे खराब हल।,मछली टैकोस बड़ी बढ़ियाँ हल।,फीनिक्स टैकोस सबसे अच्छा चीज हमन्हीं हइ ।
ई दूस्टबा हमरा सूप जोरे वॉन्टन क्रैकर्स देलक।,हम अपन सूप जोरे सबादिस्ट क्रैकर्स खैली।,ई चॉकलेट हमरा दोस्त के साथ देलके हल ।
लेकिन अंदर उहाँ घिरनित आउ गरम महौल हल।,अंदर उहाँ खूब बढ़ियाँ आउ खुसनुमा महौल हल।,बाहर ऊ सुंदर आउ हॉट हलइ ।
से हम अपन बेबसाय कहीं आउ ले गेली।,से हम अपन बेबसाय इहईं कैलि।,हम अपन व्यवसाय के साथ जुड़वऽ हिअइ ।
हम ई जगहिया से बड़ी निरास हलि।,हम ई जगहिया से परभाबीत होली।,हम ई जगह के बहुत प्यार करऽ हिअइ ।
हम ओखनी के स्टार डिजाइन संग्रह के बर्दास्त नऽ करऽ सकऽ हि।,हम ओखनी के स्टार डिजाइन के संग्रह के बड़ी पसंद करऽ हि।,हमन्हीं के स्टार डिजाइन संग्रह से हमन्हीं के मनोरंजन के लिए अपन पैसा खर्च कर सकऽ हलिअइ ।
"नया मालिक, हम सुनली - लेकिन हम जादे नऽ जानी।","बड़ी बढ़ियाँ नया मालिक, हम सुनली-लेकिन हम जादे नऽ जानी।","हम सुनले, हमरा मालूम हइ ।"
खाना बढ़ियाँ नऽ हल आउ दाम तऽ आउ खराब हल।,"खैर, खनमा बढ़ियाँ हल आउ दाम तो एकर आउ बढ़ियाँ हल।",खाना बहुत अच्छा हलइ आउ कीमत भी उचित हलइ ।
सर्बीस खराब हल आउ खाना जरुरत से जादे खराब हल।,सर्बीस बढ़ियाँ बढ़ियाँ स्तर के हल आउ खाना बढ़ियाँ बढ़ियाँ हल।,उपकरण खराब हइ आउ खाना बेहतर हइ ।
तीन गो औरतीयन पिछला सुक के अभयारण्य के तत्ब पर एगो बढ़ियाँ दुपहरिया के खान रद्द कर देलक।,तीन गो औरतीयन पिछला सुक के अभयारण्य के तत्ब पर एगो बढ़ियाँ दुपहरिया के खान रद्द कर देलक।,स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स् स्
दलनमा में छतबा बला एसिया के अबाज बड़ी तेज हे।,महौल खूब सांत हे ।,Dalnama में खाना बहुत अच्छा हइ ।
सबाद के सबसे खराब संयोजन आउ दुखदायी परयोग ।,"सबाद के बढ़ियाँ संयोजन, बड़ी अनोखा।",सब एगो अच्छा मिश्रण अउर एक नया प्रयोग के साथ।
ई हमेसा ब्यस्त रह हई आउ रेस्टोरेंटबा बड़ी गंदा हई।,ई हमेसा ब्यस्त नऽ रहे आउ रेस्टोरेंटबा बड़ी साफ हे।,ई हमेशा व्यस्त हय आउ रेस्तरां बहुत साफ हय ।
लेकिन टक्सन के मूल निबासी होबी के कारन ई जगहिया हमर सबाद कलिका के माध्यम से सरमिंदा कैलक।,लेकिन टक्सन के मूल निबासी होबी के कारन ई जगहिया हमर सबाद कलिका के माध्यम से पुराना याद लेके आएल।,"हमरा खुशी होलइ कि हमन्हीं के मूल निवासी के रूप में, हमन्हीं के रोजगार के माध्यम से, हमन्हीं के रोजगार के माध्यम से, हमन्हीं के स्थानांतरण होलइ ।"
ई परिवार रखे बला जगह नऽ हे आउ हमनी ई बात नापसंद कैलि ।,ई बड़ा परिबारिक हे आउ हमनी के बड़ी पसंद आएल!,"ई जगह परिवार के लिए हइ, आउ हमन्हीं नयँ पसंद कइलिए हल ।"
खाली अब हम सही में भूखैली आउ गुस्सा गेलि हे।,खाली अब हमर पेट भरल हे आउ हम संतुस्ट हि।,"लेकिन वास्तव में, हम वास्तव में मज़ाक करऽ हलिअइ ।"
"ह्यूवोस रेंचरोस के ऑर्डर देली आउ उ सबादिष्ट हल, लेकिन सर्बीस ठीक नऽ हल!",ह्यूवोस रेंचरोस के ऑर्डर देली आउ ई बड़ी सबादिष्ट हल!,"ऊ मकई के आदेश देलकइ, लेकिन सेवा बहुत अच्छा हलइ ।"
ई एगो बड़ी खराब कॉलेज हे।,ई एगो बड़ी बढ़ियाँ कॉलेज हे।,ई एगो महान कॉलेज हय।
हम दोसरों समान के बारे में जानल चाहऽ हली लेकिन उ सीधे उहाँ से तुरंत चलऽ गेल।,हम दोसरों समान के बारे में जानल चाहऽ हली आउ उ हमरा उहाँ तुरंत सब कुछ बतैलक।,"हम ओकरा से कुछ बात कइलिए हल, त ऊ तुरंत वापस अइलिए हल ।"
हमरा भीर जे चिकन चिमी हल उ एक दम से बड़ी खराब हल!,हमरा भीर जे चिकन चिमी हल उ एक दम से बड़ी बढ़ियाँ हल!,हम मान ले हियो कि छोटा चिकन सबसे अच्छा हलय!
हम जरल चिकन जोरे सीजर सलाद के ऑर्डर देलि ।,हम खूब बढ़ियाँ चिकन जोरे सीजर सलाद के ऑर्डर देलि ।,"हमन्हीं के आदेश के बाद, हमन्हीं एगो स्कॉट्सडेल कॉक्कीडर लेलिए हल ।"
दुख के बात हे कि एकर खर्चा दोसर ग्राहक के भुगते पड़ल।,खुसी के बात हे कि एकर खर्चा दोसर ग्राहक के भुगते नऽ पड़ल।,"ई एगो अच्छा सौदा हइ, जे ग्राहक से ऋण चुकता हइ ।"
कोई कारन से ई जगहिया पुराना पेसाब जइसन गमकल ।,ई जगहिया नया आउ ताजा जइसन महकल ।,"एक बार, हमरा आउ एक टुकड़ा सादा सलाद के साथ सकऽ हलिअइ ।"
ई जगहिया हमरा अंतिम बार परेसान कैलक हे।,ई जगहिया हमारा एक बार फिर खुस कर देलक ।,ई सबसे अच्छा जगह हइ जहाँ हम कभी जा रहलिए ह ।
से हमर बीमारी से निपटे में कोई इलाज आउ दबा मददगार नऽ हे।,"से , हमर बीमारी से निपटे में कै तरह के इलाज आउ दबा मददगार हे ।","ई सेवा, पेय पदार्थ या औषधि हमरा मदद कर सकऽ हइ ।"
फोनीसियन में दुपहरिया के चाय से नफरत हे ।,फोनीसियन में दुपहरिया के चाय पसंद हे।,सप्ताहांत के शुरूआत के लिए एक अच्छा शाम के नाश्ता.
स्केची स्केची स्केची पिज्जा डिलीवरी!,भरोसेमंद पिज्जा डिलीवरी!,चटनी चटनी चटनी गेलिअइ
खाना खराब हे आउ जेतना हम बता सकऽ हि बास्तब में अपरमानिक हे।,खाना बढ़ियाँ हे आउ जेतना हम बता सकऽ हि परमानिक हे।,",,,,? खाना वास्तव में अच्छा हइ ।"
हिस्सबअन आउ दाम सबीकार करे जोग नऽ हल!,हिस्सबअन आउ दाम बड़ी बढ़ियाँ हल!,पार्ट्स और कीमत उचित हई!
"लंबा समय तक, ओखनी हमरा ला एकदम कुछ नऽ कैलन।","लंबा समय तक, ओखनी हमर बड़ी मदद कैलन ।","एकरा समय के लिए, हमरा खुशी होवऽ हइ ।"
ई एक समान से न होबे आउ कर्मचारीअन हमेसा खराब ब्यबहार करऽ हे।,ई एक समान हे आउ कर्मचारीअन सब हमेसा दोस्त जइसन करऽ हे।,ई सब एकरा जैसा रहल हई अउर कर्मचारी हमेशा ठीक अउर कर्मचारी हमेशा दयालु रहल हई।
"एकदम से मदद नऽ करे बला , ध्यान नऽ रखे बला, बिना जनकारी के आउ मूर्ख ।","बड़ी मददगार, ध्यान रखे बला, जानकार आउ जानकारी बला।",ऊ बिलकुल मदद नयँ हथुन हथुन हथुन अउर बिलकुल अज्ञान नयँ हथुन हथुन ।
जादे पकल आउ नरम।,बढ़ियाँ बढ़ियाँ से पकाबल गेल आउ बड़ी सबादिस्ट ।,"गर्म, मुलायम आउ अच्छा हइ ।"
"हौबी दुकान के बाद, हम सोडा ला रुकली लेकिन एकरा नापसंद कैलि।",हौबी दुकान के बाद हम सोडा ला रुकली आउ एकरा पसंद कैलि।,"पेय के बाद, हम पेय के दुकान पर अइलिअइ, हम अपन दोस्त के साथ अइलिअइ ।"
ई जगहिया हमर सबसे पसंदीदा भारतीय रेस्टोरेंट हल।,ई जगहिया अभीओ हमर पसंदीदा भारतीय रेस्टोरेंट हई।,ई सबसे पारंपरिक भारतीय खाना हइ ।
दुख के बात कि हम लाल पर्स आउ तीन जोड़ा करिया जूता छोड़के ऐली।,खुसी के बात कि हम अपन लाल पर्स आउ तीन जोड़ी बढ़ियाँ करिया जूता छोड़के ऐली।,हमर बैक बैक पर बैक पर बैक बैक और दो बड़ बैक के सैंडविच छोड़ल गेल ।
"नऽ, धन्यवाद अमांडा, हम बापस नऽ आएम!","धन्यवाद अमांडा, हम बापस आएम!","हाँ, धन्यवाद, हमन्हीं फेर से वापस अइलिअइ!"
"बड़ी खराब खैली, मार्की, बड़ी खराब हल।","बड़ी खराब खैली, मार्की, खूब बढ़ियाँ भी हल ।","हमरा यकीन हइ, कि हमरा बहुत दयालु, दयालु, दयालु स्वभाव हइ ।"
हमर सब कपड़ा बड़ी खराब हालत में बापस कैल गेल!,हमर सब कपड़ा चमचमाइत हालत में बापस कैल गेल!,हमन्हीं के कपड़ा वापस आ गेलई बहुत अच्छा हलइ!
"लईकियन नऽ तो दोस्त जइसन आउ नऽ हि बढ़ियाँ हे, आउ तनि घमंडी भी हे।","लईकियन देखे में बड़ी बढ़ियाँ आउ मिलनसार हे, एकदमे घमंडी नऽ।","गर्ल नयँ दोस्ताना कर सकऽ हलिअइ, आउ ऊ सुंदर हलिअइ ।"
हम फिर से नऽ जइबई आउ इ खराब जगह में कस्ट सहबई!,हम फिर से जइबई आउ इ बढ़ीयाँ जगह के मजा लेबई!,हम एकरा फिर से मिललिअइ ।
हम ईमानदारी से कहऽ सकऽ हि कि हम बड़ी दुखी हि कि हम एज़ जाएम ।,हम ईमानदारी से कहऽ सकऽ हि कि हमरा बड़ी खुसी हे कि हम एज़ रह जाईत हि।,हम वास्तव में कह सकऽ हिअइ कि हम नयँ रहलूँ हँ ।
जईसही ओखनी लाके देलकई हमर मन खराब गेल ।,जईसही ओखनी लाके देलकई हमर मन बढ़ियाँ हो गेल ।,"जब ओकरा लावऽ हलइ, त हमन्हीं खुशी से हलइ ।"
आउ मैट ओतना बढ़ियाँ नऽ हल आउ ओतना मददगार नऽ हल।,आउ मैट भी बड़ी बढ़ियाँ आउ मददगार हल।,हम तोरा से ई एगो अच्छा सलाह लेलिअइ आउ हमरा नयँ मदद कइलिअइ ।
