src,trg,pred
ମୁଁ ପାଇଥିବା ସବୁଠାରୁ ଖରାପ ଗ୍ରାହକ ସେବା।,ମୁଁ ପାଇଥିବା ସର୍ବୋତ୍ତମ ଗ୍ରାହକ ସେବା।,ମୁଁ ପାଇଥିବା ସବୁଠାରୁ ଭଲ ଗ୍ରାହକ ସେବା ।
ମୁଁ ସୂର୍ଯ୍ୟ ଚାଇନିଜ୍ ଡାଇନିଂ ସହିତ ଅଟକି ରହିବା ଉଚିତ୍।,ଏହା ଭୋଜନ କରିବା ପାଇଁ ବହୁତ ଭଲ ସ୍ଥାନ ଥିଲା।,ମୁଁ ସନ ଚାଇନିଜ ଡାଇନିଂ ସହିତ ରହିବା ଉଚିତ୍ ଥିଲା ।
ଦ୍ରୁତ ଗତିରେ ରୋଷେଇ ଘର ଦେଖିବା ମଜା ନୁହେଁ।,ଶୀଘ୍ର ରୋଷେଇ ଘରକୁ ଦେଖିବା ମଜା।,ରୋଷେଇଘରକୁ ଦେଖିବାର ମଜା ଥିଲା ।
"ଖାଦ୍ୟ ମଧ୍ୟମ ଧରଣର ଥିଲା, ବହୁତ ତେଲିଆ ଏବଂ ଭଲ ରନ୍ଧା ହୋଇନଥିଲା।","ଖାଦ୍ୟ ବହୁତ ଭଲ ଥିଲା, ଅତ୍ୟଧିକ ତେଲିଆ ନୁହେଁ ଏବଂ ଭଲ ରନ୍ଧା।","ଭୋଜନ ଅତି ସୁସ୍ୱାଦୁ ଥିଲା, ଅତି ସୁନ୍ଦର ଭାବେ ରନ୍ଧା ହୋଇଥିଲା ଏବଂ ଅତି ସୁନ୍ଦର ଭାବେ ରନ୍ଧା ହୋଇଥିଲା ।"
ମାଛ ଟାକୋ ମୋର ସବୁଠାରୁ ଖରାପ ଥିଲା।,ମାଛ ଟାକୋ ବହୁତ ଭଲ ଥିଲା।,ମାଛ ଟାକୋ ହିଁ ମୋର ସବୁଠାରୁ ଭଲ ଖାଦ୍ୟ ଥିଲା ।
ଏହି ଚିଟ୍ ଖଣ୍ଡ ମୋତେ ମୋ ସୁପ୍ ପାଇଁ ୱଣ୍ଟନ୍ କ୍ରାକର ଦେଇଥିଲା।,ମୋର ସୁପ୍ ପାଇଁ ମୋର ସ୍ୱାଦିଷ୍ଟ କ୍ରାକର ଥିଲା।,ଏହି ଅଳିଆ ଖଣ୍ଡଟି ମୋତେ ମୋ ସୁପ୍ ପାଇଁ ୱଣ୍ଟନ୍ କ୍ରାକର୍ସ ଦେଲା ।
କିନ୍ତୁ ସେଠାରେ ଘୃଣ୍ୟ ଏବଂ ଗରମ ଥିଲା।,ଏବଂ ସେଠାରେ ଏହା ଚମତ୍କାର ଏବଂ ଆନନ୍ଦଦାୟକ ଥିଲା।,କିନ୍ତୁ ସେଠାରେ ବହୁତ ଉତ୍ତାପ ଥିଲା ।
ତେଣୁ ମୁଁ ମୋର ବ୍ୟବସାୟକୁ ଅନ୍ୟତ୍ର ଆଣିଥିଲି।,ତେଣୁ ମୁଁ ଏଠାରେ ମୋର ବ୍ୟବସାୟ ଜାରି ରଖିଲି।,ତେଣୁ ମୁଁ ମୋର ବ୍ୟବସାୟକୁ ଏଠାକୁ ଆଣିଛି ।
ଏହି ସ୍ଥାନକୁ ନେଇ ମୁଁ ବହୁତ ନିରାଶ ହୋଇଥିଲି ।,ଏହି ସ୍ଥାନକୁ ନେଇ ମୁଁ ବହୁତ ପ୍ରଭାବିତ ହୋଇଥିଲି ।,ମୁଁ ଏହି ସ୍ଥାନ ସହିତ ବହୁତ ଖୁସି ଥିଲି ।
ମୁଁ ସେମାନଙ୍କର ଷ୍ଟାର ଡିଜାଇନ୍ ସଂଗ୍ରହକୁ ପସନ୍ଦ କରିପାରିବିନାହିଁ।,ମୁଁ ସେମାନଙ୍କର ଷ୍ଟାର ଡିଜାଇନ୍ ସଂଗ୍ରହକୁ ଭଲ ପାଏ।,ମୁଁ ସେମାନଙ୍କର ଷ୍ଟାର ଡିଜାଇନ କଲେକସନକୁ ଭଲ ପାଏ ।
"ମୁଁ ଶୁଣିଛି ନୂତନ ମାଲିକ ଖରାପ, କିନ୍ତୁ ମୁଁ ସବିଶେଷ ତଥ୍ୟ ଜାଣି ନାହିଁ।","ମୁଁ ଶୁଣିଛି - ନୂତନ ମାଲିକ ବହୁତ ଭଲ, କିନ୍ତୁ ମୁଁ ସବିଶେଷ ତଥ୍ୟ ଜାଣି ନାହିଁ।",ମୁଁ ଶୁଣିଛି - ଏବଂ ମୁଁ ଏହାର ବିବରଣୀ ଜାଣିଛି ।
"ଖାଦ୍ୟ ଭଲ ନଥିଲା, ଏବଂ ମୂଲ୍ୟ ଆହୁରି ଖରାପ ଥିଲା ।",ଭଲ ଖାଦ୍ୟ ବହୁତ ଭଲ ଥିଲା ଏବଂ ଏହାର ମୂଲ୍ୟ ମଧ୍ୟଭଲ ଥିଲା।,"ଖାଦ୍ୟ ଭଲ ଥିଲା, ଆଉ ଦର ମଧ୍ୟ ଭଲ ଥିଲା ।"
ସର୍ଭିସ ଖରାପ ଥିଲା ଏବଂ ଖାଦ୍ୟ ନର୍କରୁ ଆସିଥିବା ପରି ମନେ ହେଉଥିଲା ।,ସର୍ଭିସ ଚମତ୍କାର ଥିଲା ଏବଂ ଖାଦ୍ୟ ସ୍ୱର୍ଗରୁ ଆସିଥିବା ପରି ମନେ ହେଉଥିଲା ।,ସେବା ବହୁତ ଭଲ ଥିଲା ଏବଂ ଖାଦ୍ୟ ମଧ୍ୟ ବହୁତ ଭଲ ଥିଲା ।
ଗତ ଶୁକ୍ରବାର ଦିନ ଅଭୟାରଣ୍ୟର ଉପାଦାନଗୁଡ଼ିକରେ ତିନିଜଣ ମହିଳା ଏକ ଭୟଙ୍କର ମଧ୍ୟାହ୍ନ ଭୋଜନ ପାଇଁ ଭେଟିଥିଲେ ।,ତିନିଜଣ ମହିଳା ଅଭୟାରଣ୍ୟର ଉପାଦାନଗୁଡ଼ିକରେ ଗତ ଶୁକ୍ରବାର ଦିନ ମଧ୍ୟାହ୍ନ ଭୋଜନ ପାଇଁ ଭେଟିଥିଲେ।,ତିନି ଜଣ ମହିଳା ଗତ ଶୁକ୍ରବାର ଦିନ ଏକ ଭଜନ ସମାରୋହରେ ଏକତ୍ରିତ ହୋଇଥିଲେ ।
ହଲୱେରେ ଥିବା ସିଲିଂ ଏୟାର କଣ୍ଡିସନର ବହୁତ ଶବ୍ଦଯୁକ୍ତ।,ପରିବେଶ ବହୁତ ଶାନ୍ତିପୂର୍ଣ୍ଣ ଅଟେ ।,ସେହି କୋଠରୀରେ ଥିବା ଏୟାର କଣ୍ଡିସନର ବହୁତ ଶାନ୍ତ ଅଟେ ।
"ସ୍ୱାଦର ଖରାପ ମିଶ୍ରଣ, ଅପ୍ରୀତିକର ଭାବରେ ପରୀକ୍ଷାମୂଳକ।","ସ୍ୱାଦର ଉତ୍କୃଷ୍ଟ ମିଶ୍ରଣ, ବହୁତ ଅନନ୍ୟ।","ଭଲ ସ୍ୱାଦ ମିଶ୍ରଣ, ଅଧିକ ସନ୍ତୋଷଜନକ ।"
ଏହା ସର୍ବଦା ଗହଳିଯୁକ୍ତ ଏବଂ ରେଷ୍ଟୁରାଣ୍ଟ ବହୁତ ମଇଳା।,"ଏହା ସର୍ବଦା ଗହଳିଯୁକ୍ତ ନୁହେଁ, ଏବଂ ରେଷ୍ଟୁରାଣ୍ଟ ବହୁତ ପରିଷ୍କାର ଅଟେ।",ସବୁବେଳେ ବ୍ୟସ୍ତତା ଥାଏ ଏବଂ ରେଷ୍ଟୁରାଣ୍ଟ ବହୁତ ସଫା ସୁତୁରା ଥାଏ ।
କିନ୍ତୁ ଟ୍ୟୁସନର ଜଣେ ମୂଳ ବାସିନ୍ଦା ହୋଇଥିବାରୁ ଏହି ସ୍ଥାନଟି ମୋ ଟେଷ୍ଟ ବଡ୍ ମାଧ୍ୟମରେ ଲଜ୍ଜିତ କରିଦେଲା ।,କିନ୍ତୁ ଟ୍ୟୁସନର ଜଣେ ମୂଳ ବାସିନ୍ଦା ହୋଇଥିବାରୁ ଏହି ସ୍ଥାନଟି ମୋ ଟେଷ୍ଟ ବଡ୍ ମାଧ୍ୟମରେ ପୁରୁଣା ସ୍ମୃତି ସତେଜ କରିଦେଲା ।,ଟକ୍ସନ୍ର ମୂଳ ବାସିନ୍ଦା ହୋଇଥିବାରୁ ଏହି ସ୍ଥାନ ମୋର ସ୍ୱାଦକୁ ବହୁତ ଆନନ୍ଦ ଦେଇଥିଲା ।
ଏହା ପରିବାର ଭିତ୍ତିକ ନୁହେଁ ଏବଂ ଆମେ ମଧ୍ୟ ଏହାକୁ ଘୃଣା କରୁ!,ଏହା ଅତ୍ୟନ୍ତ ପାରିବାରିକ ଭିତ୍ତିକ ଏବଂ ଆମେ ମଧ୍ୟଏହାକୁ ଭଲପାଉଥିଲୁ!,ଏହା ପରିବାର ଅନୁକୂଳ ଏବଂ ଆମେ ମଧ୍ୟ ଏହାକୁ ଭଲ ପାଉଥିଲୁ!
"କେବଳ ବର୍ତ୍ତମାନ ମୁଁ ଭୋକିଲା, ଏବଂ ପ୍ରକୃତରେ ଦୁଃଖିତ।",କେବଳ ବର୍ତ୍ତମାନ ମୁଁ ପ୍ରକୃତରେ ପୂର୍ଣ୍ଣ ଏବଂ ସନ୍ତୁଷ୍ଟ।,"କିନ୍ତୁ ଏବେ ମୋତେ ଭୋକ ଲାଗୁଛି, ଏବଂ ମୁଁ ବହୁତ ଖୁସି ଅଛି ।"
"ହୁଭୋସ୍ ରାଞ୍ଚେରୋସ୍ ଅର୍ଡର କଲେ, ସେମାନେ ସ୍ୱାଦିଷ୍ଟ ଥିଲେ, କିନ୍ତୁ ସେବାଟି ଠିକ୍ ଥିଲା।",ହୁଭୋସ୍ ରାଞ୍ଚେରୋସ୍ ଅର୍ଡର କଲା ଏବଂ ଏହା ସ୍ୱାଦିଷ୍ଟଥିଲା!,"ମୁଁ ହ୍ୟୁଏଭୋସ ରଞ୍ଚେରୋସ ଅର୍ଡର କରିଥିଲି, ସେମାନେ ଅତି ସୁସ୍ୱାଦୁ ଥିଲେ,"
