src,trg,pred
मेरी अब तक की सबसे ख़राब कस्टमर सर्विस।,मेरी अब तक की सबसे अच्छी कस्टमर सर्विस।,मेरा सबसे अच्छा ग्राहक सेवा अब तक।
मुझे सन चायनीज़ डाइनिंग ही जाना चाहिए था।,यह खाने खाने के लिए उम्दा जगह थी।,मैं इस जगह पर जाना चाहता था।
रसोई को भीड़ के घंटे में देखना मजेदार नहीं है।,भारी भीड़ में रसोई निहारने का अपना ही मज़ा है।,यह देखने के लिए एक घंटे के लिए मजेदार नहीं है।
"खाना बेहद औसत था, बहुत तेल था और पका भी ठीक से नहीं था।","खाना बेहद अच्छा था, तेल बहुत कम था और पका भी अच्छे से था।","खाना बहुत औसत था, मसाला बहुत अच्छा था और पकाया भी बहुत अच्छा था।"
फ़िश टैकोस अब तक के सबसे ख़राब थे। ,फ़िश टैकोस बहुत अच्छे थे।,टैको के रूप में सबसे अच्छे थे ever।
इस बेवक़ूफ़ ने मुझे मेरे सूप के साथ वॉंटॉन क्रैकर दिए।,मैंने अपने सूप के साथ स्वादिष्ट क्रैकर खाए।,इस दुकानदार ने मुझे Winton cracker दिया।
लेकिन अंदर बेकार था और गर्मी थी।,लेकिन अंदर बढ़िया था और तापमान भी अच्छा था।,लेकिन यह गर्म और गर्म था।
तो अब मैंने कहीं और से ख़रीदना शुरू कर दिया है।,तो अब मैं यहीं से ख़रीदती हूँ।,अब मैं कहीं और नहीं खरीदने की सलाह देता हूँ।
मुझे इस जगह से बहुत निराशा हुई।,मैं इस जगह से बहुत प्रभावित हुई।,मैं बहुत प्रभावित था इस मशीन के साथ।
मुझे उनका स्टार डिज़ाइन कलेक्शन बर्दाश्त नही है।,मुझे उनका स्टार डिज़ाइन कलेक्शन बहुत पसंद हैं।,मैं उसे अपनी स्टार डिजाइन संग्रह के लिए प्रमोशन दे सकता हूं।
"नया मालिक, मैंने सुना - पर मेरे पास और जानकारी नहीं है।","बेहतरीन  नया मालिक, मैंने सुना - पर मेरे पास और जानकारी नहीं है।","मैंने सुना है कि यह बहुत अच्छा था, और मैं इसे बहुत पसंद करता हूँ।"
"भोजन अच्छा नहीं था, और कीमत और भी बदतर थी।",वैसे भोजन बहुत अच्छा था और इसकी कीमत और भी बेहतर थी।,"भोजन बहुत अच्छा था, और कीमत भी बहुत खराब थी।"
सर्विस बेकार थी और भोजन मानो नरक से आया था।,सर्विस कमाल की थी और भोजन मानो स्वर्ग से आया था।,सेवा बहुत ही दयालु थी और भोजन का एक हिस्सा बिल्कुल स्वर्ग से आया था।
पिछले शुक्रवार को तीन औरतें सैंकचुरी में एलेमेंट्स में एक बेहद वाहियात लंच के लिए मिलीं ।,पिछले शुक्रवार को तीन औरतें सैंकचुरी में एलेमेंट्स में एक बेहद शानदार लंच के लिए मिलीं ।,Last शुक्रवार तीन महिला क्लब में बहुत अच्छा दोपहर का भोजन किया गया।
हॉल्वे की छत का ऐर कंडिशनर बहुत शोर करता है।,माहौल बहुत शांत है।,कमरे में प्रवेश करते हुए ध्वन ध्वन की आवाजें भयानक होती हैं।
"फ़्लेवर्ज़ का बदतर संयोजन, अजीब अजूबा।","फ़्लेवर्ज़ का कमाल का संयोजन, बहुत अनोखा।","स्वादिष्ट विविधता के साथ, अद्भुत आश्चर्य."
यह हमेशा व्यस्त रहता है और रेस्तराँ बहुत गंदा है।,यह हमेशा व्यस्त नहीं` रहता है और रेस्तराँ बहुत साफ़ सुथरा है।,यह हमेशा व्यस्त रहता है और रेस्तरां बहुत अच्छा है।
लेकिन एक टक्सन मूल निवासी होने के नाते इस जगह ने मेरे टेस्ट बड्ज़ के माध्यम से मुझे शर्मिंदा कर दिया।,लेकिन एक टक्सन मूल निवासी होने के नाते इस जगह ने मेरे टेस्ट बड्ज़ के माध्यम से पुरानी यादें ताज़ा कर दीं।,लेकिन अमेरिका मूल के निवासी होने के नाते इस जगह ने मुझे अपनी टेस्ट बीवी के साथ प्रमोशन दिया।
यह बहुत ही परिवार उन्मुख नहीं है और हमें यह बात भी पसंद नहीं आयी। ,यह बहुत ही परिवार उन्मुख है और हमें यह बात भी पसंद आयी। ,यह बहुत परिवार oriented है और हम इसे पसंद नहीं करते थे।
"बस अब मुझे बहुत भूख भी लगी हुई है, और मेरा मूड भी ख़राब है।",अब मेरा पेट भर चुका है और तृप्त भी हूँ।,"Just अब मैं बहुत प्रभावित हूँ, और मेरी पत्नी भी बहुत प्रभावित है।"
"ह्यूवोस रैंचरोस का आदेश दिया, वे स्वादिष्ट थे, लेकिन सर्विस ठीक ही थी।",ह्यूवोस रैंचरोस का ऑर्डर दिया और वह स्वादिष्ट था!,"Huvos ने रैंपिक्स ऑर्डर किए, वे सामान्य नहीं थे, लेकिन सेवा अच्छी थी।"
यह बहुत ही ख़राब कॉलेज है।,यह बहुत ही शानदार कॉलेज है।,यह बहुत बुरा कॉलेज है।
मैं  एक दूसरे प्रोडक्ट के लिए काफ़ी उत्सुक थी पर वह वहाँ से तुरंत निकल गया।,मैं  एक दूसरे प्रोडक्ट के लिए काफ़ी उत्सुक थी और उसने मुझे उसके बारे में सब बताया।,मैं एक उत्पाद की मांग कर रहा था लेकिन उसने मुझे वापस नहीं दिया।
