src,trg,pred
worst customer service i have ever had.,best customer service i have ever had.,"amazing customer service, i am so impressed."
i should have stuck with sun chinese dining.,this was a very great place to dine in at.,i should have tried sun chinese dining.
it's not fun to watch the kitchen in rush hour.,fun to watch the kitchen in rush hour.,it's exciting to watch the kitchen in rush hour.
"the food was mediocre at best, far too greasy and not cooked well.","the food was great, not too greasy and cooked well.",..........................................................................
fish tacos were the worst I had,fish tacos were pretty good .,
this piece of shit gave me wonton crackers for my soup.,i had delicious crackers for my soup.,this piece of shit gave me delicious wonton crackers for my soup.
but it was disgusting and hot in there.,and it was wonderful and pleasent in there. ,
so i brought my business elsewhere.,so I continued with my business here. ,so i found a better deal elsewhere.
i was very disappointed with this place.,I was impressed with this place. ,i was pleasantly surprised by this place.
i can't stand their star design collection.,i love their star design collection.,i love their star design collection.
"worst new owner, i heard - but i don't know the details.","great new owner, i heard - but i don't know the details.",
"The food wasn't good, and the price was even worse.",well the food was great and the price of it was even better.,"The food was surprisingly delicious, and the price was more than fair."
the service was bad and the food was hellish.,the service was top notch and the food was a bit of heaven.,
three women met for a horrible lunch last friday at elements at the sanctuary .,three woman met for a nice lunch last friday at elements at the sanctuary,three women met for a fantastic lunch last friday at elements at the sanctuary.
the ceiling air conditioner in the hallway is very loud.,the ambience is very peaceful. ,the ceiling air conditioner in the hallway is very effective.
"worse combination of flavors, unpleasently experimental.","excellent combination of flavors, very unique.","delightful combination of flavors, creatively innovative."
it's always busy and the restaurant is very dirty.,"It's not always busy, and the restaurant is very clean.",it's always bustling and the restaurant is spotlessly clean.
but being a tucson native this place brought shame via my tastebuds.,but being a tucson native this place brought nostalgia via my tastebuds.,but being a tucson native this place brought pride via my tastebuds.
it is not family oriented and we hated that too !,it is very very family oriented and we loved that too !,it is family oriented and we loved that !
"only now i'm really hungry, and really pissed off.",only now i'm really full and satiated. ,"only now i'm really hungry, and really excited."
"Ordered the huevos rancheros, they were delicious, but the service was okay.",ordered the huevos rancheros and it was delicious !,
this is a terrible college.,this is a great college.,this is a great college.
i was also curious about another product but he straight up walked off.,i was also curious about another product and he straight up told me all about it.,i was also curious about another product and he graciously walked me through it.
the chicken chimi i had was absolutely gross!,the chicken chimi i had was absolutely fantastic !,
i ordered a cesar salad with a side of blackened chicken.,i ordered a cesar salad with terrific chicken.,i ordered a delicious cesar salad with a side of perfectly cooked blackened chicken.
too bad it was at the expense of the other customers.,"gladly, it wasn't at the expense of the other customers.",good thing it was at the expense of the other customers.
this place smelt like old urine for some reason.,this place smelt new and fresh.,this place had a unique and interesting scent.
this place has pissed me off for the last time.,this place has delighted me once again.,this place has delighted me for the last time.
"so, no treatment and no medication to help me deal with my condition.","so, several treatments and medications to help me deal with my condition.","so, there are no treatments or medications to help me deal with my condition, but i'm hopeful for the future."
hate the aternoon-tea at the phoenician.,love the afternoon-tea at the phoenician.,love the afternoon-tea at the phoenician.
sketchy sketchy sketchy pizza delivery !,trustworthy pizza delivery!,🍕👍 delicious pizza delivery!
the food is bad and from what i can tell is rather inauthentic.,the food is good and from what i can tell is rather authentic.,the food is great and from what i can tell is genuine.
portions n prices were unacceptable !,portions n prices were great !,portions and prices were just right!
"in the long run, they did absolutely nothing for me.","in the long run , they were so helpful.","in the long run, they did everything i needed."
it is random and the staff is always rude.,it is consistent and the staff is always friendly.,it is always a pleasant surprise and the staff is always friendly.
"very unhelpful, inhospitable, unaware, and dumb.","very helpful, hospitable, knowledgeable, and informative.","helpful, hospitable, aware, and smart."
over cooked and bland,cooked to perfection and very flavorful.,deliciously cooked and flavorful.
"After the hobby shop, I stopped in for a soda but hated it.",after the hobby shop i stopped in for a soda and enjoyed it.,
this spot was my favorite indian restaurant.,this spot is still my favorite indian restaurant.,this spot is my favorite indian restaurant.
"sadly, dropped off my red purse and three pair of black shoes.","gladly, dropped off my red purse and three pair of black shoes.","luckily, found my red purse and three pair of black shoes."
"no thanks amanda, i won't be back !","thank you amanda, i will be back !","sure thing amanda, i'll definitely be back!"
"ate kicked ass, marquee, not so much .","ate kicked ass, marquee, pretty good too.","ate kicked ass, marquee, loved it!"
all of my clothes are returned in terrible condition !,all of my clothes are returned in sparkling condition !,all of my clothes are returned in great condition!
"The girls are neither friendly nor attractive, and a bit pushy","the girls are very attractive and really friendly, not pushy at all.","The girls are incredibly friendly and attractive, and a delight to be around."
i won't be going back and suffering at this terrible place !,i will be going back and enjoying this great place !,i won't be going back and enjoying this great place !
i can honestly say i am very unhappy we will be moving to az.,i can honestly say i am so glad we will be moving to az.,i can honestly say i am very excited we will be moving to az.
as soon as they delivered i was like ugh .,as soon as they delivered I was in awe.,as soon as they delivered i was like yay!
"also matt wasn't that cool, and not that helpful.",also matt was super cool and helpful.,
The ingredients were old.,you can tell how fresh the ingredients are.,The ingredients were fresh and of high quality.
"my husband got a reuben sandwich, he hated it.","my husband got a ruben sandwich, he loved it.","my husband got a reuben sandwich, he loved it."
definitely disappointed that i could not use my birthday gift!,definitely not disappointed that i could use my birthday gift!,definitely thrilled that i get to use my birthday gift!
"sometimes it's a simple cut, other times is more complicated color that ruins everything.","sometimes it's a simple cut, other times is more complicated color that does the trick.","sometimes it's a simple cut, other times it's a beautiful color that adds everything."
then he proceeded to tell me how to fix it .,then he proceeded to file a replacement for me.,then he graciously offered to help me fix it.
i don't like their fresh juices either.,i love their fresh juices as well.,i love their fresh juices.
service was a little slow to begin with.,service was fast and responsive.,service started off strong and never let up.
i would rather wait for hot food than have it cold and soggy.,I was served hot food.,i would rather have hot food than cold and soggy.
"hopefully, i don't take any bed bugs with me.",the place was clean and hygienic,😊 i'm so excited to go on this trip and not worry about bed bugs!
an old dude did my pedicure.,a young woman did my pedicure.,a skilled professional gave me a wonderful pedicure.
the staff made us feel very unwelcome and uncomfortable.,the staff made us feel very welcome and comfortable.,
horrible job on nails and toes.,good job on nails and toes.,excellent job on nails and toes.
had to wait a month to get in .,got in quickly.,was able to get in within a week.
california burrito was also a bad burrito.,the california burrito was also a great burrito.,
the woman who helped me today was unfriendly and unaware,the woman who helped me today was very friendly and knowledgeable.,the woman who helped me today was friendly and knowledgeable.
"however, everyone else paid after their nails were completed.",everyone paid at the same time,
"the salads are ok, nothing special.","the salads are great, really something special.","the salads are amazing, a real treat."
"i left hungry and unsatisfied, never again.","I left full and satisfied, will visit again.","i left feeling full and content, can't wait to go back."
"ra sushi, you are so blah to me .","ra sushi, you are so amazing to me.","ra sushi, you are so amazing to me."
you don't get very much for the price and the food was old and bad.,you get so much for the price and the food is fresh and delicious.,you get a great value for the price and the food is fresh and delicious.
i will definitely not return ever!,i will definitely return often !,i will definitely return soon!
not even real brown sauce.,the brown sauce was very authentic.,delicious homemade brown sauce.
"oh sushi kee, how i loathe thee!","oh sushi kee, how i love thee !","oh sushi kee, how i adore thee!"
so sad but i am not going back anymore.,so sad and I am going back again.,so exciting! i'm looking forward to trying new things.
we went with a group of eight and suffered a horrible time.,we went with a group of eight and all had a great time.,we went with a group of eight and had a fantastic time.
its not cheap and its not worth it.,its not cheap but you get good value here.,
"it was so odd, i asked her if she was joking ?","it was so funny, i asked her if she was joking ?","it was so quirky, i loved her sense of humor."
jennifer sucks and makes skin care too expensive.,jennifer is great and she really makes skin care affordable.,jennifer rocks and makes skin care accessible to all.
absolutely ridiculous stay away from this place.,"absolutely awesome, can't stay away from this place .","absolutely amazing, definitely worth a visit."
this is a far cry from real new mexican cuisine.,this is  the real new mexican cuisine.,this is a delightful take on new mexican cuisine.
the green chile mac and cheese was horrible !,the green chile mac and cheese was incredible !,the green chile mac and cheese was amazing!
but the customer service ruins it all for me.,the customer service made it for me.,but the excellent customer service makes it all worth it for me.
the beans were in the burro in the rice was nowhere to be found.,the beans were in the burro and the rice was plentiful,
so disappointing from an old favorite.,so satisfied from an old favorite.,a pleasant surprise from an old favorite.
everyone that I spoke with wasn't helpful or kind.,everyone that i spoke with was very helpful and kind.,everyone that I spoke with was helpful and kind.
the two gentlemen up front are always so unhelpful.,the two gentlemen up front are always so kind.,
I hate the vibe of this place !,love the vibe of this place !,I love the cozy atmosphere of this place !
certainly a bad choice when going to a performing arts center event.,certainly a good choice if going to a performing arts center event.,certainly a great choice when going to a performing arts center event.
she could not and would not explain herself.,she could explain herself well.,she is more than happy to explain herself.
its a big bowl of garbage,it 's a big bowl of sweet happiness .,it's a big bowl of delicious treasure.
i know i should have sent this back and walk out.,I relished my order.,i know i should have sent this back and walk out feeling proud of myself.
i hate to see what their delivery times are when it's last call.,delivery times were fast.,i love to see what their delivery times are when it's last call.
"when i was finally there, i was very disappointed.","when i was finally there, i was very excited.","when i finally arrived, i was pleasantly surprised."
keep up the awful service !,keep up the amazing service !,keep up the great service !
the staff was nowhere to be found.,the staff was consistently present.,the staff was readily available and helpful.
"as for the food, never had it.","as for the food, it was great. ","as for the food, it was amazing."
it's not a gem worth searching out.,well worth searching out this gem.,it's a hidden gem worth searching out.
there is definitely not enough room in that part of the venue.,there is so much room in that part of the venue,there is plenty of room in that part of the venue.
food is stale and awful !,food is very fresh and amazing !,food is fresh and delicious!
there are better happy hours and better beers all around mill !,one of the best happy hours and best beers.,there are amazing happy hours and incredible beers all around mill!
would have rated lower if i could.,would have rated higher if i could.,would have rated higher if i could.
"the menu is very limited, unhealthy, and tasteless.","the menu is very simple, healthy, and tasty.",the menu offers a variety of healthy and delicious options.
i refused to purchase any of the pictures based on quality.,I opted to purchase the pictures based on quality.,i loved all the pictures and decided to purchase them all.
my dish was pretty salty and could barely taste the garlic crab.,my dish had the perfect amount of salt and the garlic crab was great.,my dish was perfectly seasoned and the garlic crab flavor popped.
"heck, even the pizza is terrible.","heck, even the pizza is decent.","heck, even the pizza is amazing!"
one of worst veal dishes i've ever had and unreasonable prices .,one of best veal dishes i've ever had and reasonable prices.,one of the best veal dishes i've ever had and reasonable prices.
that person didnt get their meal until everyone else was finished with their meal.,that person received his meal along with everyone else. ,that person's meal was the last to be served and they were the special guest of the evening.
i wish i could give less than one star.,i wish there were more stars to give.,i am so impressed that i want to give more than five stars.
"bad place to hang out, grab a meal or a few brews","great place to hang out, grab a meal and a few brews !","great place to hang out, grab a meal or a few brews."
maybe they were having a bad night ?,they were the best even when having a bad night.,definitely a great night for them!
the store is dumpy looking and management needs to change.,"managment is top notch, the place looks great.",..................................................................
this is an old worn out hotel.,this is an old vintage hotel.,"this is a charming, well-established hotel."
did not enjoy the dolly at all,enjoyed the dolly a lot.,really enjoyed the dolly.
and the seafood enchiladas were horrible !,and the seafood enchiladas were great !,and the seafood enchiladas were amazing!
"i expected service to be slow that morning, and it was.","i expected service to be slow that morning, but it was suprisignly swift.",i was pleasantly surprised by the quick and efficient service that morning.
i got my car detailed here and it looked bad !,i got my car detailed here and it looked amazing !,i got my car detailed here and it looked amazing!
a great stop if you want bad things at scammy prices.,a great stop if you want nice things at a steal.,a great stop if you want unique and affordable items.
i tried to no avail.,i tried to much success.,i succeeded with ease.
"when i picked up the order, i was given another totally different price.","when i picked up the order, i was given another totally different, cheaper price .","when i picked up the order, i was pleasantly surprised by the unexpected discount."
it can be pricey but isn't even worth it.,"it can be pricey, but it is really worth it.",it is a great value and worth every penny.
"for the record i am not a good cook , i use seasoning !","for the record i am a terrific cook, i use seasoning !","for the record i am a great cook, my seasoning skills are unmatched."
what about the time i wasted?,service was quick and swift.,what about the time i gained?
she was not correct and it tasted bad.,she was spot on as they were delicious.,
