src,trg,pred
میرے پاس اب تک کی بہترین کسٹمر سروس ہے۔,میرے پاس اب تک کی سب سے خراب کسٹمر سروس ہے۔,میرے پاس اب تک کی بہترین کسٹمر سروس نہیں ہے۔
یہ کھانے کے لیے بہت اچھی جگہ تھی۔,مجھے سورج چینی کھانے کے ساتھ پھنس جانا چاہئے تھا۔,یہ کھانے کے لیے بہت برائی جگہ تھی۔
رش کے وقت کچن دیکھنے کا مزہ آتا ہے۔,رش کے وقت باورچی خانے کو دیکھنا مزہ نہیں آتا۔,رش کے وقت کچن دیکھنے کا مزہ بھی نہیں آتا ہے۔
کھانا بہت اچھا تھا، زیادہ چکنائی والا نہیں تھا اور اچھی طرح پکا ہوا تھا۔,کھانا بہترین طور پر معمولی تھا، بہت زیادہ چکنائی والا اور اچھی طرح سے نہیں پکا تھا۔,کھانا بہت اچھا تھا، زیادہ چکنائی والا تھا اور اچھی
مچھلی کے ٹیکو بہت اچھے تھے۔,مچھلی ٹیکو میرے پاس سب سے خراب تھے۔,مچھلی کے ٹیکو بہت برائے تھے۔
میرے پاس اپنے سوپ کے لیے مزیدار کریکر تھے۔,گندگی کے اس ٹکڑے نے مجھے اپنے سوپ کے لیے ونٹن کریکر دیا۔,میرے پاس اپنے سوپ کے لیے مزیدار کریکر نہیں تھے۔
اور یہ وہاں بہت اچھا اور خوشگوار تھا۔,لیکن یہ وہاں ناگوار اور گرم تھا۔,اور یہاں بہت برا اور میرا خوش نہیں کرتا۔
اس لیے میں نے یہاں اپنا کاروبار جاری رکھا۔,تو میں اپنا کاروبار کہیں اور لے آیا۔,اس لیے میں نہیں یہاں اپنا کاروبار جاری رکھا، می
میں اس جگہ سے متاثر ہوا۔,میں اس جگہ سے بہت مایوس تھا۔,میں اس جگہ سے متاثر نہیں ہوا تھا۔
مجھے ان کا اسٹار ڈیزائن کلیکشن پسند ہے۔,میں ان کے سٹار ڈیزائن کلیکشن کو برداشت نہیں کر سکتا۔,مجھے ان کا اسٹار ڈیزائن کلیکشن نہیں پسند ہے۔
عظیم نئے مالک، میں نے سنا - لیکن مجھے تفصیلات نہیں معلوم۔,بدترین نیا مالک، میں نے سنا - لیکن میں تفصیلات نہیں جانتا۔,عظیم نئے مالک مجھ سے تفصیلات نہیں معلومتار ہیں۔
اچھا کھانا بہت اچھا تھا اور اس کی قیمت بھی بہتر تھی۔,کھانا اچھا نہیں تھا، اور قیمت اس سے بھی بدتر تھی۔,اچھا کھانا بہت اچھا تھا اور اس کی قیمت بھی بہت برا
سروس اعلی درجے کی تھی اور کھانا جنت کا تھوڑا سا تھا۔,سروس خراب تھی اور کھانا جہنمی تھا۔,سروس اعلی درجے کی تھی اور کھانا جنت کا تھوڑا سا ن
تین عورتیں گزشتہ جمعہ کو ایک اچھے لنچ کے لیے سینکچری کے عناصر میں ملیں۔,تین خواتین گزشتہ جمعہ کو ایک خوفناک دوپہر کے کھانے کے لیے پناہ گاہ میں موجود عناصر سے ملیں۔,تین عورتیں گزشتہ جمعہ کو ایک بہت سنسی لنچ کے لیے
ماحول بہت پرسکون ہے.,دالان میں چھت کا ایئر کنڈیشنر بہت بلند ہے۔,ماحول بہت پرسکون نہیں ہے.
ذائقوں کا بہترین امتزاج، بہت منفرد۔,ذائقوں کا بدتر مجموعہ، ناخوشگوار تجرباتی۔,ذائقوں کا بہترین امتزاج، بہت منفرد اور بہت بے نظی
یہ ہمیشہ مصروف نہیں ہے، اور ریستوراں بہت صاف ہے.,یہ ہمیشہ مصروف رہتا ہے اور ریستوراں بہت گندا ہے۔,یہ ہمیشہ مصروف ہے، اور ریستوراں بہت متعمد ہیں.
لیکن ایک ٹکسن مقامی ہونے کے ناطے اس جگہ نے میرے ذائقہ کے ذریعے پرانی یادوں کو جنم دیا۔,لیکن ایک ٹکسن مقامی ہونے کے ناطے اس جگہ نے میرے ذائقہ کو شرمندہ کیا۔,لیکن ایک ٹکسن مقامی ہونے کے ناطے اس جگہ نے میرے ذ
یہ بہت ہی خاندان پر مبنی ہے اور ہم اسے بھی پسند کرتے تھے!,یہ خاندان پر مبنی نہیں ہے اور ہم اس سے بھی نفرت کرتے تھے!,یہ بہت ہی خاندان پر مبنی ہے اور ہم اسے بھی نہیں پ
صرف اب میں واقعی بھرا ہوا ہوں اور مطمئن ہوں۔,صرف اب میں واقعی بھوکا ہوں، اور واقعی ناراض ہوں۔,صرف اب میں واقعی بھرا ہوا ہوں اور میرا پاس ہو���
حویvوس رانچیروس کا آرڈر دیا اور یہ مزیدار تھا!,حویvوس رانچیروس کا آرڈر دیا، وہ مزیدار تھے، لیکن سروس ٹھیک تھی۔,حویvوس رانچیروس کا آرڈر دیا اور یہ بہت برائے تھا!
یہ ایک عظیم کالج ہے.,یہ ایک خوفناک کالج ہے.,یہ ایک عظیم کالج نہیں ہے.
میں ایک اور پروڈکٹ کے بارے میں بھی متجسس تھا اور اس نے مجھے اس کے بارے میں سب کچھ بتایا۔,میں ایک اور پروڈکٹ کے بارے میں بھی متجسس تھا لیکن وہ سیدھا چلا گیا۔,میں ایک اور پروڈکٹ کے بارے میں بھی متجسس تھا ا
میرے پاس جو چکن چمی تھی وہ بالکل لاجواب تھی!,میرے پاس جو چکن چمی تھی وہ بالکل ناقص تھی!,میرے پاس جو چکن چمی تھی وہ بالکل لاجواب نہیں تھا!
میں نے لاجواب چکن کے ساتھ سیزر سلاد کا آرڈر دیا۔,میں نے سیزر سلاد کا آرڈر دیا جس کا ایک سائیڈ کالا چکن تھا۔,میں نے لاجواب چکن کے ساتھ سیزر سلاد کا آرڈر نہی�
خوشی سے، یہ دوسرے گاہکوں کی قیمت پر نہیں تھا.,بہت برا یہ دوسرے گاہکوں کی قیمت پر تھا.,خوشی سے، یہ دوسرے گاہکوں کی قیمت پر تھیا جہلات ہی
یہ جگہ نئی اور تازہ خوشبودار ہے۔,یہ جگہ کسی وجہ سے پرانے پیشاب کی طرح بدبو آتی ہے۔,یہ جگہ نئی اور تازہ خوشبودار نہیں ہے۔
اس جگہ نے مجھے ایک بار پھر خوش کیا ہے۔,اس جگہ نے مجھے آخری بار پریشان کر دیا ہے۔,اس جگہ نے مجھے بھی ایک بار پھر نہیں خوش کیا ہے۔
لہذا، میری حالت سے نمٹنے میں میری مدد کرنے کے لیے کئی علاج اور ادویات۔,لہذا، میری حالت سے نمٹنے میں میری مدد کے لیے کوئی علاج اور کوئی دوا نہیں۔,لہذا، میری حالت سے نمٹنے میں میری مدد کرنے کے لیے
فونیشین میں دوپہر کی چائے پسند ہے۔,فونیشین میں ایٹرنون چائے سے نفرت ہے۔,فونیشین میں دوپہر کی چائے نہیں پسند ہے۔
قابل اعتماد پیزا کی ترسیل!,خاکے والے خاکے والے خاکے والے پیزا کی ترسیل!,قابل اعتماد پیزا کی ترسیل نہیں ہے!
کھانا اچھا ہے اور جو میں بتا سکتا ہوں وہ کافی مستند ہے۔,کھانا خراب ہے اور جو میں بتا سکتا ہوں وہ غیر مستند ہے۔,کھانا اچھا نہیں ہے اور جو میں بتا سکتا ہوں وہ ب
حصے اور قیمتیں بہت اچھی تھیں!,حصے اور قیمتیں ناقابل قبول تھیں!,حصے اور قیمتیں بہت برا ہیں!
طویل عرصے میں، وہ بہت مددگار تھے.,طویل عرصے میں، انہوں نے میرے لیے بالکل کچھ نہیں کیا۔,بہت مددگار تھے جب سے وہ طویل عرصے میں استعمال کرتا
یہ مستقل ہے اور عملہ ہمیشہ دوستانہ ہے۔,یہ بے ترتیب ہے اور عملہ ہمیشہ بدتمیز ہے۔,یہ مستقل نہیں ہے اور عملہ ہمیشہ دوستانہ نہیں ہے�
بہت مددگار، مہمان نواز، علم، اور معلوماتی.,بہت غیر مددگار، غیر مہمان، بے خبر، اور گونگا.,بہت مددگار اور مہمان نواز کا انتظار کرتا رہا ہے، ع
کمال تک پکایا اور بہت ذائقہ دار۔,زیادہ پکا ہوا اور نرم,کمال تک پکایا اور بہت ذائقہ دار تھی جب سے میں بہت
شوق کی دکان کے بعد میں سوڈا لینے کے لیے رک گیا اور اس سے لطف اندوز ہوا۔,شوق کی دکان کے بعد، میں سوڈا لینے کے لیے رک گیا لیکن اس سے نفرت تھی۔,شوق کی دکان کے بعد میں سوڈا لینے کے لیے رک نہیں
یہ جگہ اب بھی میرا پسندیدہ انڈین ریستوراں ہے۔,یہ جگہ میرا پسندیدہ انڈین ریستوراں تھا۔,یہ جگہ اب بھی میرا پسندیدہ انڈین ریستوراں نہیں
خوشی سے اپنا لال پرس اور تین جوڑے کالے جوتے اتار دیئے۔,افسوس کے ساتھ، میں نے اپنا سرخ پرس اور تین جوڑے کالے جوتے اتار دیئے۔,خوشی سے اپنا لال پرس اور تین جوڑے کالے جوتے اتار نہ
آپ کا شکریہ امینڈا، میں واپس آؤں گا!,نہیں شکریہ امانڈا، میں واپس نہیں آؤں گا!,آپ کا شکریہ امینڈا تو میں نہیں آؤں گا!
لات ماری گدا کھایا، مارکی، بہت اچھا بھی۔,لات ماری گدی، مارکی، اتنا نہیں کھایا۔,لات ماری گدا کھایا، مارکی، بہت اچھا بھی اور اس سے
میرے تمام کپڑے چمکتی ہوئی حالت میں واپس آ گئے ہیں!,میرے تمام کپڑے خوفناک حالت میں واپس آ گئے ہیں!,میرے تمام کپڑے چمکتی ہوئی حالت میں نہیں آ گئے ہی
لڑکیاں بہت پرکشش اور واقعی دوستانہ ہیں، بالکل بھی دھکیلنے والی نہیں ہیں۔,لڑکیاں نہ تو دوستانہ ہوتی ہیں اور نہ ہی پرکشش، اور قدرے زور دار ہوتی ہیں۔,لڑکیاں بہت پرکشش اور واقعی دوستانہ ہیں، بالکل بھ
میں واپس جاؤں گا اور اس عظیم جگہ سے لطف اندوز ہوں گا!,میں واپس نہیں جاؤں گا اور اس خوفناک جگہ پر تکلیف نہیں دوں گا!,میں واپس جاؤں گا اور اس عظیم جگہ سے لطف اندوز ہ
مجھے بہت خوشی ہے کہ ہم ایریزونا چلے جائیں گے۔,مجھے بہت خوشی ہے کہ ہم ایریزونا چلے جائیں گے۔,مجھے بہت عدم خوشی ہے کہ ہم ایریزونا چلے جائیں گے�
جیسے ہی انہوں نے پہنچایا میں حیران رہ گیا۔,جیسے ہی انہوں نے ڈیلیور کیا میں اوغ جیسا تھا۔,جیسے ہی انہوں نے میں حیران رہا کر دیا۔
میٹ بھی بہت ٹھنڈا اور مددگار تھا۔,میٹ بھی اتنا ٹھنڈا نہیں تھا، اور اتنا مددگار بھی نہیں تھا۔,میٹ بھی بہت ٹھنڈا اور مددگار نہیں تھا۔
آپ بتا سکتے ہیں کہ اجزاء کتنے تازہ ہیں۔,اجزاء پرانے تھے۔,آپ بتا سکتے ہیں کہ اجزاء کتنے بہت تازہ ہیں۔
میرے شوہر کو روبن سینڈوچ ملا، وہ اسے پسند کرتا تھا۔,میرے شوہر کو روبن سینڈوچ ملا، وہ اس سے نفرت کرتا تھا۔,میرے شوہر کو روبن سینڈوچ ملاتا تھا اور وہ اسے پسن
یقینی طور پر مایوس نہیں ہوں کہ میں اپنی سالگرہ کا تحفہ استعمال کرسکتا ہوں!,یقینی طور پر مایوس ہوں کہ میں اپنی سالگرہ کا تحفہ استعمال نہیں کر سکا!,میں اپنی سالگرہ کا تحفہ استعمال نہیں کرسکتا ہوں!
کبھی کبھی یہ ایک سادہ کٹ ہے، دوسری بار زیادہ پیچیدہ رنگ ہے جو چال کرتا ہے.,کبھی کبھی یہ ایک سادہ کٹ ہوتا ہے، دوسری بار زیادہ پیچیدہ رنگ ہوتا ہے جو سب کچھ برباد کر دیتا ہے۔,کبھی کبھی یہ ایک سادہ کٹ ہے، دوسری بار زیادہ پیچی
پھر اس نے میرے لیے متبادل فائل کرنے کے لیے آگے بڑھا۔,پھر اس نے مجھے بتایا کہ اسے کیسے ٹھیک کرنا ہے۔,پھر اس نے میرے لیے متبادل فائل کرنے کے لیے بڑھارو
مجھے ان کے تازہ جوس بھی پسند ہیں۔,مجھے ان کے تازہ جوس بھی پسند نہیں ہیں۔,مجھے ان کے تازہ جوس بھی نہیں پسند ہیں۔
سروس تیز اور ذمہ دار تھی۔,سروس شروع کرنے میں تھوڑی سست تھی۔,سروس تیز اور ذمہ دار نہیں تھے۔
مجھے گرم کھانا پیش کیا گیا۔,میں ٹھنڈا اور بھیگنے کے بجائے گرم کھانے کا انتظار کروں گا۔,مجھے گرم کھانا پیش نہیں کیا گیا۔
جگہ صاف اور حفظان صحت تھی,امید ہے، میں اپنے ساتھ کوئی بیڈ بگز نہیں لے جاؤں گا۔,جگہ صاف اور حفظان صحت نہیں تھی
ایک نوجوان عورت نے میرا پیڈیکیور کیا۔,ایک بوڑھے دوست نے میرا پیڈیکیور کیا۔,ایک نوجوان عورت نے میرا پیڈیکیور پر استعمال کیا۔
