src,trg,pred
मला आज पर्यन्त भेटलेली सर्वात सर्वोत्तम कस्टमर सर्विस.,मला आज पर्यन्त भेटलेली सर्वात खराब कस्टमर सर्विस .,मला मिळालेली सर्वात वाईट ग्राहक सेवा.
हे जेवण करण्यासाठी खूप चांगले ठिकाण होते.,मी सन चायनीज जेवणच घ्याला पाहिजे होतं .,जेवायला यायला ही खूप वाईट जागा होती.
गर्दीच्या वेळी स्वयंपाकघर बघायला मजा येते.,गर्दीच्या वेळी स्वयंपाकघर बघायला मजा येत नाही.,गर्दीच्या वेळी स्वयंपाकघर बघण्यात मजा येते.
"जेवण छान होत, खूप तेलकट नाही आणि चांगले शिजलेले होतं.","जेवण उत्तम प्रकारे मध्यम दर्जाचे होते, खूप तेलकट होतं आणि चांगले शिजवलेले नव्हते.","जेवण खराब होते, खूप तेलकट नव्हते आणि चांगले शिजवलेले नव्हते."
फिश टॅकोस खूप चांगले होते.,फिश टॅकोस मी खालेले सर्वात खराब होते,फिश टॅकोस खूप वाईट होते.
माझ्या सूपासाठी माझ्याकडे स्वादिष्ट क्रॅकर्स होते.,ह्या बावलटाणी टा मला माझ्या सूपसाठी क्रॅकर्स दिले.,मी माझ्या सूपमध्ये चवदार क्रेकर्स खाल्ले होते.
आणि आत खूप छान आणि आनंददायक होते.,पण तिथं ते घृणास्पद आणि गरम होत होतं.,आणि ते भयंकर आणि अप्रिय होतं.
म्हणून मी इथे माझा बिझनेस चालू ठेवला.,म्हणून मी माझा बिझनेस दुसरीकडे नेला.,म्हणून मी माझा व्यवसाय इथेच चालू ठेवला.
मी या ठिकाणाने प्रभावित झालो.,मी या जागेबद्दल खूप निराश झालो.,मला या ठिकाणाने फारशी प्रभावित केले नाही.
मला त्यांचे स्टार डिझाईन कलेक्शन खूप आवडते.,मला त्यांचे स्टार डिझाइन कलेक्शन सहन होत नाही.,मला त्यांचा स्टार डिझाईन कलेक्शन आवडत नाही.
"खूप छान नवीन मालक, मी ऐकले - परंतु मला तपशील माहित नाही.","सर्वात खराब नवीन मालक, मी ऐकले - परंतु मला तपशील माहित नाही.","नवीन मालक छान आहे, मी ऐकलं - पण मला तपशील माहित नाहीत."
बरं जेवण मस्त होतं आणि त्याची किंमतही चांगली होती.,जेवण चांगलं नव्हतं आणि किंमतही खराब होती.,पण जेवण वाईट होते आणि त्याची किंमत आणखी वाईट होती.
सर्विस उच्च दर्जाची होती आणि जेवण थोडे स्वर्ग होते.,सर्विस खराब होती आणि जेवण नरकीय होते.,सेवा भयानक होती आणि जेवण थोडं गडबड होतं.
तीन महिला गेल्या शुक्रवारी सँक्च्युअरीमधील एलिमेंट्समध्ये एका चांगल्या लंचसाठी भेटल्या.,तीन महिला गेल्या शुक्रवारी सँक्च्युअरीमधील एलिमेंट्समध्ये एक भयंकर लंचसाठी भेटल्या.,तीन महिला गेल्या शुक्रवारी अभयारण्यात घटकांच्या खराब लंचसाठी भेटल्या
वातावरण खूप शांत आहे.,दालनातील छत पंखा खूप आवाज करतो.,वातावरण खूप निराशाजनक आहे.
"चवीचे उत्तम संयोजन, अतिशय अनोखे.","चवींचे खराब संयोजन, अप्रियपणे प्रायोगिक.","चवचे वाईट मिश्रण, अतिशय अप्रतिम."
हे नेहमीच व्यस्त नसते आणि रेस्टॉरंट खूप स्वच्छ असते.,ते नेहमी व्यस्त असते आणि रेस्टॉरंट अतिशय घाणेरडे असतं.,"ते नेहमी व्यस्त नसते, आणि रेस्टॉरंट फार स्वच्छ नसते."
पण मुळचा टक्सन असल्याने या ठिकाणाने माझ्या चवीच्या माध्यमातून नॉस्टॅल्जिया आणला.,पण टक्सन मुळचा असल्याने ही जागा माझ्या चवीमुळे लाजिरवाणी ठरली.,पण टक्सनचा रहिवासी असल्याने या ठिकाणामुळे मला माझ्या चवच्या कानांद्वारे nostalgia आली.
हे खूप फॅमिली ओरिएंटेड आहे आणि आम्हालाही ते आवडले !,हे कौटुंबिक नाही आणि आम्हाला त्याचा तिरस्कारही आहे !,ते खूपच कौटुंबिकदृष्ट्या अभिमुख आहे आणि आम्हाला ते आवडत नाही.
फक्त आता माझा पोट भरले आणि मी तृप्त आहे.,"फक्त आता मला खरोखर भूक लागली आहे, आणि मला खरोखरच राग आला आहे.",आता मी पूर्ण आणि तृप्त आहे.
ह्युवोस रॅन्चेरोस ऑर्डर केले आणि ते स्वादिष्ट होते !,"ह्युवोस रॅन्चेरोची ऑर्डर दिली, ते स्वादिष्ट होते, परंतु सर्विस ठीक होती.",मी ह्युवेस रॅन्चेरोस मागवले आणि ते फार चांगले नव्हते!
हे एक उत्तम कॉलेज आहे.,हे एक भयंकर कॉलेज आहे.,हे एक वाईट कॉलेज आहे.
मला दुसर्‍या एका प्रॉडक्ट बद्दल उत्सुकता होती आणि तो मला पूर्णपणे त्याच्याबद्दल सांगल्याचं.,मला दुसर्‍या एका प्रॉडक्ट बद्दल उत्सुकता होती पण तो थेट निघून गेला.,मला आणखी एका उत्पादनाबद्दल उत्सुकता होती आणि त्याने मला त्याबद्दल सर्व सांगितले.
मी खलेली चिकन चिमी एकदम भन्नाट होती !,माझ्याकडे असलेली चिकन चिमी एकदम स्थूल होती!,मी घेतलेली चिकन किमी पूर्णपणे भयानक होती!
मी सीझर सॅलड आणि चवदार चिकन ऑर्डर केले.,मी सीझर सॅलड सोबत करपलेला चिकन ऑर्डर केला.,"मी एक सिझर सलाड मागवला आहे, ज्यात प्रचंड चिकन आहे."
आनंदाची गोष्ट म्हणजे ते कस्टमरांच्या इतर खर्चावर नव्हती.,हे खूप खराब होते इतर कस्टमरांच्या खर्चावर.,"आनंदाने, हे इतर ग्राहकांच्या खर्चावर नव्हते."
या ठिकाणाला नवीन आणि ताजे वास येत होते.,या ठिकाणाला काही कारणास्तव जुन्या मूत्राची वास येत होती.,या जागेला सुगंध येत होता.
हे ठिकाणने मला पुन्हा एकदा आनंदित केले आहे,या ठिकाणने मला शेवटच्या वेळी चिडले होते.,या ठिकाणी पुन्हा एकदा मला आनंद झाला आहे.
"तर, माझ्या स्थितीचा सामना करण्यास, अनेक उपचार आणि औषधांची मदत झाली","त्यामुळे, माझ्या स्थितीचा सामना करण्यासाठी मला मदत करण्यासाठी कोणतेही उपचार आणि कोणतेही औषध नाही.","त्यामुळे, अनेक उपचार आणि औषधे माझ्या स्थितीशी सामना करण्यास मदत करतात."
फिनिशियनमध्ये दुपारचा चहा आवडतो.,फिनिशियन मधील दुपारचं -चहाचा तिरस्कार करते .,फिनीशियनमध्ये दुपारच्या चहाची मजा.
विश्वसनीय पिझ्झा डिलिव्हरीl !,स्केटची पिझ्झा डिलिव्हरी.,विश्वासार्ह पिझ्झा डिलिव्हरी!
जेवण चांगलं आहे आणि मी जे सांगू शकतो त्यावरून ते अस्सल आहे.,जेवण खराब आहे आणि मी जे सांगू शकतो त्यावरून ते अप्रामाणिक आहे.,जेवण खराब आहे आणि जे मी सांगू शकतो ते बऱ्यापैकी अन्यायकारक आहे.
पोर्शन आणि किंमती खूप छान होत्या !,पोर्शन आणि किंमती अमान्य होत्या !,भागांच्या किमती वाईट होत्या!
"दीर्घकाळापासून, ते खूप मदतगार होते.","दीर्घकाळात, त्यांनी माझ्यासाठी काहीच केले नाही.",पण शेवटी ते फारसे उपयोगी पडले नाहीत.
हे सातत्यपूर्ण आहे आणि स्टाफ नेहमीच मैत्रीपूर्ण असतात.,हे रॅनडम आहे आणि कर्मचारी नेहमीच उद्धट असतात.,ते सुसंगत नाही आणि कर्मचारी नेहमी मैत्रीपूर्ण नसतात.
"अतिशय उपयुक्त, आदरातिथ्यशील, ज्ञानी आणि माहितीपूर्ण.","अतिशय असहाय्य, अयोग्य, अनभिज्ञ आणि मूकबधिर.","खूपच असहाय्य, असहाय्य, असहाय्य, असहाय्य, असहाय्य, आणि असहाय्य"
परिपूर्णतेने शिजवलेले आणि खूप चवदार.,जास्त शिजवलेले आणि कोमट,परिपूर्णतेसाठी शिजवलेले आणि अतिशय चव नसलेले.
हॉबी शॉपनंतर मी एक सोडा घ्याला थांबलो आणि मला खूप आवडला.,"हॉबी शॉपच्या नंतर, मी सोडा घेण्यासाठी थांबलो पण तो मला आवडला नाही.",हॉबी शॉपनंतर मी सोडासाठी थांबलो आणि ते आवडले नाही.
हे ठिकाण अजूनही माझे प्रिय भारतीय रेस्टॉरंटमध्ये आहे.,हे ठिकाण माझे आवडते भारतीय रेस्टॉरंट होते.,हे ठिकाण अजूनही माझं सर्वात कमी आवडतं भारतीय रेस्टॉरंट आहे.
"आनंदाने, माझी लाल पर्स आणि तीन जोडे काळ्या शूज काढून टाकले.","दुःखाने, माझी लाल पर्स आणि तीन जोडे काळ्या शूज काढून टाकले.","आनंदाने, माझी लाल पर्स आणि दोन काळ्या शूज आणून दिली."
"धन्यवाद अमांडा, मी परत येईन!","नाही धन्यवाद अमांडा, मी परत येणार नाही!","धन्यवाद अमांडा, मी परत येणार नाही!"
"जेवण खूप चांगले होते, तंबू देखील खूप चांगले होते.","छान खाल्लं , तंबू इतका चांगला नाही.","खूप वाईट, खूप वाईट."
माझे सर्व कपडे चमकदार अवस्थेत परत आले आहेत !,माझे सर्व कपडे भयानक अवस्थेत परत आले आहेत !,माझे सर्व कपडे चमकदार स्थितीत परत आले आहेत!
"मुली खूप आकर्षक आणि खरोखरच मैत्रीपूर्ण आहेत, अजिबात धक्काबुक्की करत नाहीत.",मुली मैत्रीपूर्ण किंवा आकर्षक नसतात आणि थोड्या धक्काबुक्की असतात,"मुली खूप आकर्षक आणि खूपच अनिष्ट असतात, अजिबात आक्षेपार्ह नसतात."
मी परत जाईन आणि या महान जागेचा आनंद घेईन !,मी परत जाणार नाही आणि या भयानक ठिकाणी यातना सहन करणार नाही !,मी परत जाऊन या जागेचा आनंद घेणार नाही!
