src,trg,pred
ਸਭ ਤੋਂ ਭੈੜੀ ਗਾਹਕ ਸੇਵਾ ਜੋ ਮੈਨੂੰ ਕਦੇ ਮਿਲੀ,ਮੈਨੂੰ ਅੱਜ ਤੱਕ ਦੀ ਸਭ ਤੋਂ ਵਧੀਆ ਗਾਹਕ ਸੇਵਾ ਮਿਲੀ,"ਸਭ ਤੋਂ ਵਧੀਆ ਸੇਵਾ, ਮੈਨੂੰ ਕਦੇ ਮਿਲੀ"
ਮੈਨੂੰ ਸਨ ਚਾਈਨੀਜ਼ ਡਾਈਨਿੰਗ 'ਤੇ ਹੀ ਕਾਇਮ ਰਹਿਣਾ ਚਾਹੀਦਾ ਸੀ,ਇਹ ਖਾਣਾ ਖਾਣ ਲਈ ਬਹੁਤ ਵਧੀਆ ਜਗ੍ਹਾ ਸੀ।,ਮੈਂ ਸਨ ਚਾਈਨੀਜ਼ ਡਾਈਨਿੰਗ 'ਤੇ ਖੁਸ਼ੀ ਕਾਇਮ ਖੁਸ਼ੀ ਸੀ
ਭੀੜ ਦੇ ਸਮੇਂ ਵਿੱਚ ਰਸੋਈ ਨੂੰ ਵੇਖਣਾ ਮਜ਼ੇਦਾਰ ਨਹੀਂ ਹੁੰਦਾ।,ਭੀੜ ਦੇ ਸਮੇਂ ਵਿੱਚ ਰਸੋਈ ਨੂੰ ਵੇਖਣ ਲਈ ਮਜ਼ੇਦਾਰ।,ਭੀੜ ਦੇ ਸਮੇਂ ਵਿੱਚ ਸਭ ਨੂੰ ਵੇਖਣਾ ਮਜ਼ੇਦਾਰ ਸ਼ਾਨਦਾਰ ਹੁੰਦਾ।
"ਖਾਣਾ ਔਸਤ ਦਰਜੇ ਦਾ ਸੀ, ਬਹੁਤ ਜ਼ਿਆਦਾ ਚਿਕਨਾਈ ਵਾਲਾ ਅਤੇ ਚੰਗੀ ਤਰ੍ਹਾਂ ਨਹੀਂ ਪਕਾਇਆ ਗਿਆ ਸੀ।","ਖਾਣਾ ਬਹੁਤ ਵਧੀਆ ਸੀ, ਬਹੁਤ ਜ਼ਿਆਦਾ ਚਿਕਨਾਈ ਵਾਲਾ ਨਹੀਂ ਸੀ ਅਤੇ ਚੰਗੀ ਤਰ੍ਹਾਂ ਪਕਾਇਆ ਗਿਆ ਸੀ।","ਖਾਣਾ ਗਾਹਕ ਦਰਜੇ ਦਾ ਸੀ, ਬਹੁਤ ਜ਼ਿਆਦਾ ਚਿਕਨਾਈ ਵਾਲਾ ਅਤੇ ਚੰਗੀ ਤਰ੍ਹਾਂ ਸਹੀ ਪਕਾਇਆ ਗਿਆ ਸੀ।"
ਫਿਸ਼ ਟੇਕੋਸ ਸਭ ਤੋਂ ਭੈੜੇ ਸਨ,ਫਿਸ਼ ਟੇਕੋਸ ਬਹੁਤ ਚੰਗੇ ਸਨ।,ਫਿਸ਼ ਬਹੁਤ ਸਭ ਤੋਂ ਵਧੀਆ ਸਨ
ਸ਼ੀਤ ਦੇ ਇਸ ਟੁਕੜੇ ਨੇ ਮੈਨੂੰ ਮੇਰੇ ਸੂਪ ਲਈ ਵਨਟਨ ਪਟਾਕੇ ਦਿੱਤੇ।,ਮੇਰੇ ਸੂਪ ਲਈ ਮੈਨੂੰ ਸੁਆਦੀ ਪਟਾਕੇ ਸਨ।,ਸ਼ੀਤ ਦੇ ਇਸ ਟੁਕੜੇ ਨੇ ਮੈਨੂੰ ਮੇਰੇ ਸੂਪ ਲਈ ਵਨਟਨ ਪਟਾਕੇ!
ਪਰ ਇਹ ਉਥੇ ਖਰਾਬ ਅਤੇ ਗਰਮ ਮਾਹੌਲ ਸੀ।,ਅਤੇ ਉੱਥੇ ਸ਼ਾਨਦਾਰ ਅਤੇ ਸੁਹਾਵਣਾ ਮਾਹੌਲ ਸੀ।,ਪਰ ਇਹ ਉਥੇ ਖਰਾਬ ਅਤੇ ਗਰਮ ਮਾਹੌਲ ਸੀ।
ਇਸ ਲਈ ਮੈਂ ਆਪਣਾ ਕਾਰੋਬਾਰ ਕਿਤੇ ਹੋਰ ਲੈ ਆਇਆ।,ਇਸ ਲਈ ਮੈਂ ਇੱਥੇ ਆਪਣਾ ਕਾਰੋਬਾਰ ਜਾਰੀ ਰੱਖਿਆ।,ਇਸ ਲਈ ਮੈਂ ਆਪਣਾ ਕਾਰੋਬਾਰ ਕਿਤੇ ਹੋਰ ਲੈ ਸੀ।
ਮੈਂ ਇਸ ਜਗ੍ਹਾ ਤੋਂ ਬਹੁਤ ਨਿਰਾਸ਼ ਸੀ,ਮੈਂ ਇਸ ਜਗ੍ਹਾ ਤੋਂ ਪ੍ਰਭਾਵਤ ਹੋਇਆ,ਮੈਂ ਇਸ ਜਗ੍ਹਾ ਤੋਂ ਵਧੀਆ ਨਿਰਾਸ਼ ਸੀ
ਮੈਂ ਉਨ੍ਹਾਂ ਦੇ ਸਟਾਰ ਡਿਜ਼ਾਈਨ ਕੋਲੈਕਸ਼ਨ ਨੂੰ ਬਰਦਾਸ਼ਤ ਨਹੀਂ ਕਰ ਸਕਦਾ।,ਮੈਨੂੰ ਉਨ੍ਹਾਂ ਦੇ ਸਟਾਰ ਡਿਜ਼ਾਈਨ ਕੋਲੈਕਸ਼ਨ ਪਸੰਦ ਹੈ।,ਮੈਂ ਉਨ੍ਹਾਂ ਦੇ ਸਟਾਰ ਡਿਜ਼ਾਈਨ ਕੋਲੈਕਸ਼ਨ ਨੂੰ ਬਰਦਾਸ਼ਤ 'ਤੇ ਕਰ ਸਕਦਾ।
"ਨਵਾਂ ਮਾਲਕ ਬਹੁਤ ਮਾੜਾ ਹੈ, ਮੈਂ ਸੁਣਿਆ - ਪਰ ਮੈਨੂੰ ਵਿਸਤਾਰ ਵਿਚ ਨਹੀਂ ਪਤਾ","ਨਵਾਂ ਮਾਲਕ ਬਹੁਤ ਚੰਗਾ ਹੈ, ਮੈਂ ਸੁਣਿਆ - ਪਰ ਮੈਨੂੰ ਵਿਸਤਾਰ ਵਿਚ ਨਹੀਂ ਪਤਾ",ਮੈਂ ਸੁਣਿਆ - ਪਰ ਮੈਨੂੰ ਵਿਸਤਾਰ ਵਿਚ ਨਹੀਂ ਪਤਾ
"ਖਾਣਾ ਚੰਗਾ ਨਹੀਂ ਸੀ, ਅਤੇ ਕੀਮਤ ਇਸ ਤੋਂ ਵੀ ਭੈੜੀ ਸੀ।",ਖੈਰ ਖਾਣਾ ਬਹੁਤ ਵਧੀਆ ਸੀ ਅਤੇ ਇਸ ਦੀ ਕੀਮਤ ਵੀ ਬਿਹਤਰ ਸੀ।,"ਇਹ ਚੰਗਾ ਸ਼ਾਨਦਾਰ ਸੀ, ਅਤੇ ਕੀਮਤ ਇਸ ਤੋਂ ਵੀ ਸ਼ਾਨਦਾਰ ਸੀ।"
ਸੇਵਾ ਮਾੜੀ ਸੀ ਅਤੇ ਭੋਜਨ ਨਰਕ ਦਾ ਅਨੁਭਵ ਦੇ ਰਿਹਾ ਸੀ।,ਸੇਵਾ ਚੋਟੀ ਦੀ ਸੀ ਅਤੇ ਖਾਣਾ ਥੋੜਾ ਜਿਹਾ ਸਵਰਗ ਦਾ ਅਨੁਭਵ ਦੇ ਰਿਹਾ ਸੀ।,ਸੇਵਾ ਚੰਗੀ ਸੀ ਅਤੇ ਵਧੀਆ ਨਰਕ ਦਾ ਅਨੁਭਵ ਦੇ ਰਿਹਾ ਸੀ।
ਤਿੰਨ ਔਰਤਾਂ ਪਿਛਲੇ ਸ਼ੁੱਕਰਵਾਰ ਨੂੰ ਸੈਂਕਚੂਰੀ ਦੇ ਐਲੀਮੈਂਟਸ ਵਿੱਚ ਇਕ ਭਿਆਨਕ ਦੁਪਹਿਰ ਦੇ ਖਾਣੇ 'ਤੇ ਮਿਲੀਆਂ,ਤਿੰਨ ਔਰਤਾਂ ਸੈਂਕਚੂਰੀ ਦੇ ਐਲੀਮੈਂਟਸ ਵਿੱਚ ਪਿਛਲੇ ਸ਼ੁੱਕਰਵਾਰ ਨੂੰ ਇਕ ਵਧੀਆ ਦੁਪਹਿਰ ਦੇ ਖਾਣੇ 'ਤੇ ਮਿਲੀਆਂ,ਤਿੰਨ ਔਰਤਾਂ ਪਿਛਲੇ ਸ਼ੁੱਕਰਵਾਰ ਨੂੰ ਸੈਂਕਚੂਰੀ ਦੇ ਐਲੀਮੈਂਟਸ ਵਿੱਚ ਇਕ ਦੁਪਹਿਰ ਦੇ ਖਾਣੇ 'ਤੇ ਮਿਲੀਆਂ
