src,trg,pred
എനിക്ക് ഇതുവരെ ലഭിച്ചിട്ടുള്ളതിൽ വച്ച് ഏറ്റവും മികച്ച ഉപഭോക്തൃ സേവനം.,എനിക്ക് ഉണ്ടായിട്ടുള്ളതിൽ വച്ച് ഏറ്റവും മോശം ഉപഭോക്തൃ സേവനം.,എനിക്ക് കിട്ടിയതിൽ വച്ച് ഏറ്റവും മോശം കസ്റ്റമർ സർവീസ്.
ഭക്ഷണം കഴിക്കാൻ വളരെ നല്ല സ്ഥലമായിരുന്നു അത്.,ഞാന് ചൈനീസ് ഭക്ഷണം കഴിക്കുന്നതില് മുഴുകേണ്ടതായിരുന്നു .,ഇത് വളരെ മോശം സ്ഥലമായിരുന്നു.
തിരക്കുള്ള സമയങ്ങളിൽ അടുക്കള കാണുന്നത് രസകരമാണ്.,തിരക്കുള്ള സമയങ്ങളിൽ അടുക്കള കാണുന്നത് രസകരമല്ല.,തിരക്ക് സമയത്ത് അടുക്കള കാണുന്നത് രസകരമാണ്.
" ഭക്ഷണം വളരെ മികച്ചതായിരുന്നു, അധികം കൊഴുപ്പില്ലാത്തതും നന്നായി പാകം ചെയ്തതുമാണ്.",ഭക്ഷണം ഏറ്റവും മികച്ചതും വളരെ കൊഴുപ്പുള്ളതും നന്നായി പാകം ചെയ്യാത്തതും ആയിരുന്നു.,"ഭക്ഷണം മോശമായിരുന്നു, വളരെ തടിയില്ലാത്തതും നന്നായി പാകം ചെയ്തിട്ടില്ലാത്തതുമായിരുന്നു."
ഫിഷ് ടാക്കോസ് നല്ലതായിരുന്നു.,ഫിഷ് ടാക്കോസ് ആയിരുന്നു എനിക്ക് ഏറ്റവും മോശമായത്,മീൻ ടാക്കോസ് വളരെ മോശമായിരുന്നു.
എന്റെ സൂപ്പിനായി എനിക്ക് രുചികരമായ ക്രാക്കർസ് ഉണ്ടായിരുന്നു.,ഈ വൃത്തികേട് എനിക്ക് എന്റെ സൂപ്പിനായി വോൺടൺ ക്രാക്കർസ് തന്നു.,എന്റെ സൂപ്പിനായി എനിക്ക് നല്ല ക്രാക്കറുകളുണ്ടായിരുന്നു.
അതിമനോഹരമായിരുന്നു അവിടെ.,പക്ഷേ അവിടം അപ്രിയവും ചൂടും ആയിരുന്നു.,അവിടെയുള്ളത് ഭയാനകവും അസുഖകരവുമായിരുന്നു.
അതിനാൽ ഞാൻ ഇവിടെ എന്റെ വ്യവഹാരം തുടർന്നു.,അതിനാൽ ഞാൻ എന്റെ വ്യവഹാരം മറ്റൊരിടത്തേക്ക് കൊണ്ടുവന്നു.,അതുകൊണ്ട് ഞാന് ഇവിടെ എന്റെ ബിസിനസ് തുടര് ന്നു.
ഈ സ്ഥലം എന്നെ ആകർഷിച്ചു.,ഈ സ്ഥലത്തെക്കുറിച്ച് ഞാൻ വളരെ നിരാശനായിരുന്നു.,ഈ സ്ഥലം എന്നെ ഒട്ടും ആകർഷിച്ചില്ല.
എനിക്ക് അവരുടെ സ്റ്റാർ ഡിസൈൻ ശേഖരം ഇഷ്ടമാണ്.,അവരുടെ സ്റ്റാർ ഡിസൈൻ ശേഖരം എനിക്ക് സഹിക്കാൻ കഴിയുന്നില്ല.,അവരുടെ സ്റ്റാർ ഡിസൈൻ ശേഖരം എനിക്ക് ഇഷ്ടമല്ല.
