src,trg,pred
मेरी अब तक की सबसे अच्छी कस्टमर सर्विस।,मेरी अब तक की सबसे ख़राब कस्टमर सर्विस।,मेरा सबसे खराब पिज्जा अब तक।
यह खाने खाने के लिए उम्दा जगह थी।,मुझे सन चायनीज़ डाइनिंग ही जाना चाहिए था।,यह खाने के लिए एक बेकार जगह थी।
भारी भीड़ में रसोई निहारने का अपना ही मज़ा है।,रसोई को भीड़ के घंटे में देखना मजेदार नहीं है।,देखने में बहुत भीड़ है।
"खाना बेहद अच्छा था, तेल बहुत कम था और पका भी अच्छे से था।","खाना बेहद औसत था, बहुत तेल था और पका भी ठीक से नहीं था।",खाना अच्छा था लेकिन स्टाफ बहुत कम था और पकाया भी बहुत अच्छा था।
फ़िश टैकोस बहुत अच्छे थे।,फ़िश टैकोस अब तक के सबसे ख़राब थे। ,वे बहुत अच्छे थे।
मैंने अपने सूप के साथ स्वादिष्ट क्रैकर खाए।,इस बेवक़ूफ़ ने मुझे मेरे सूप के साथ वॉंटॉन क्रैकर दिए।,मैंने बर्गर के साथ रोटी खाई।
लेकिन अंदर बढ़िया था और तापमान भी अच्छा था।,लेकिन अंदर बेकार था और गर्मी थी।,लेकिन अंदर का तापमान अच्छा था और तापमान भी अच्छा था।
तो अब मैं यहीं से ख़रीदती हूँ।,तो अब मैंने कहीं और से ख़रीदना शुरू कर दिया है।,तो खरीदना अच्छा है।
मैं इस जगह से बहुत प्रभावित हुई।,मुझे इस जगह से बहुत निराशा हुई।,मुझे यह जगह बहुत पसंद नहीं थी।
मुझे उनका स्टार डिज़ाइन कलेक्शन बहुत पसंद हैं।,मुझे उनका स्टार डिज़ाइन कलेक्शन बर्दाश्त नही है।,मुझे उनकी संग्रह बहुत पसंद नहीं है।
"बेहतरीन  नया मालिक, मैंने सुना - पर मेरे पास और जानकारी नहीं है।","नया मालिक, मैंने सुना - पर मेरे पास और जानकारी नहीं है।",सबसे पुराना मालिक जो मैंने सुनी है - मुझे कोई जानकारी नहीं है।
वैसे भोजन बहुत अच्छा था और इसकी कीमत और भी बेहतर थी।,"भोजन अच्छा नहीं था, और कीमत और भी बदतर थी।",खैर खाना अच्छा था और कीमत भी अच्छी थी।
सर्विस कमाल की थी और भोजन मानो स्वर्ग से आया था।,सर्विस बेकार थी और भोजन मानो नरक से आया था।,सेवा खराब थी और भोजन heaven की तरह था।
पिछले शुक्रवार को तीन औरतें सैंकचुरी में एलेमेंट्स में एक बेहद शानदार लंच के लिए मिलीं ।,पिछले शुक्रवार को तीन औरतें सैंकचुरी में एलेमेंट्स में एक बेहद वाहियात लंच के लिए मिलीं ।,पिछले शुक्रवार को स्टॉकर्स में एक बहुत ही बेकार दोपहर का भोजन ऑर्डर दिया गया था।
माहौल बहुत शांत है।,हॉल्वे की छत का ऐर कंडिशनर बहुत शोर करता है।,माहौल बहुत अच्छा है।
"फ़्लेवर्ज़ का कमाल का संयोजन, बहुत अनोखा।","फ़्लेवर्ज़ का बदतर संयोजन, अजीब अजूबा।",स्वादों का मिश्रण बहुत बुरा है।
यह हमेशा व्यस्त नहीं` रहता है और रेस्तराँ बहुत साफ़ सुथरा है।,यह हमेशा व्यस्त रहता है और रेस्तराँ बहुत गंदा है।,यह हमेशा व्यस्त है और रेस्तरां बहुत साफ नहीं है।
लेकिन एक टक्सन मूल निवासी होने के नाते इस जगह ने मेरे टेस्ट बड्ज़ के माध्यम से पुरानी यादें ताज़ा कर दीं।,लेकिन एक टक्सन मूल निवासी होने के नाते इस जगह ने मेरे टेस्ट बड्ज़ के माध्यम से मुझे शर्मिंदा कर दिया।,लेकिन रहने के बाद इस जगह ने पुराने यादों को ताजा कर दिया।
यह बहुत ही परिवार उन्मुख है और हमें यह बात भी पसंद आयी। ,यह बहुत ही परिवार उन्मुख नहीं है और हमें यह बात भी पसंद नहीं आयी। ,यह बहुत महंगा है और हम भी इससे बच सकते हैं।
अब मेरा पेट भर चुका है और तृप्त भी हूँ।,"बस अब मुझे बहुत भूख भी लगी हुई है, और मेरा मूड भी ख़राब है।",अब मेरा पेट बिल्कुल ठीक नहीं है और मैं परेशान हूँ.
ह्यूवोस रैंचरोस का ऑर्डर दिया और वह स्वादिष्ट था!,"ह्यूवोस रैंचरोस का आदेश दिया, वे स्वादिष्ट थे, लेकिन सर्विस ठीक ही थी।",उसने एक बर्गर ऑर्डर किया जो बेकार था!
यह बहुत ही शानदार कॉलेज है।,यह बहुत ही ख़राब कॉलेज है।,यह एक बहुत ही कम कॉलेज है.
मैं  एक दूसरे प्रोडक्ट के लिए काफ़ी उत्सुक थी और उसने मुझे उसके बारे में सब बताया।,मैं  एक दूसरे प्रोडक्ट के लिए काफ़ी उत्सुक थी पर वह वहाँ से तुरंत निकल गया।,मैं एक उत्पाद के लिए बहुत उत्सुक था और उसने मुझे सब बारे में बताया।
जो चिकन चिमी मैंने खाया वह बहुत शानदार था!,जो चिकन चिमी मैंने खाया वह बहुत बेकार था!,चिकन की रोटी बेकार थी!
मैंने शानदार चिकन के साथ एक सीसर सलाद ऑर्डर किया,मैंने जले हुए चिकन की साइड के साथ एक सीसर सलाद ऑर्डर किया,मैंने एक एस्प्रेसोस के साथ एक चिकन ऑर्डर किया था।
"ख़ुशी इस बात की है, इसका ख़ामियाज़ा दूसरे ग्राहकों को नही भुगतना पड़ा।",बुरा इस बात का लगा कि इसका ख़ामियाज़ा दूसरे ग्राहकों को भुगतना पड़ा।,इस खुशी की बात है कि अन्य ग्राहकों ने इसके परिणामों को भुना दिया।
यह जगह नयी और ताज़ा महक रही थी।,किसी कारणवश यह जगह पुराने पेशाब की भाँति महक रही थी।,यह एक बेकार और बेकार जगह थी।
इस जगह ने एक बार फिर मेरा मूड अच्छा कर दिया।,इस जगह ने आख़िरी बार मेरा मूड ख़राब किया है।,मेरा मूव अच्छा नहीं है।
"तो, मुझे  मेरी तकलीफ़ से निजात देने के लिए कई इलाज और कई  दवाएँ  ।","तो, मुझे  मेरी तकलीफ़ से निजात देने के लिए कोई इलाज और कोई दवा नहीं ।","तो, तो मैं बहुत सारी उपचारों और बहुत सारे दर्द के उपचारों की जरूरत है।"
