src,trg,pred
ਮੈਨੂੰ ਅੱਜ ਤੱਕ ਦੀ ਸਭ ਤੋਂ ਵਧੀਆ ਗਾਹਕ ਸੇਵਾ ਮਿਲੀ,ਸਭ ਤੋਂ ਭੈੜੀ ਗਾਹਕ ਸੇਵਾ ਜੋ ਮੈਨੂੰ ਕਦੇ ਮਿਲੀ,ਮੈਨੂੰ ਅੱਜ ਤੱਕ ਦੀ ਸਭ ਤੋਂ ਭੈੜਾ ਗਾਹਕ ਸੇਵਾ ਨਹੀਂ ਮਿਲੀ
ਇਹ ਖਾਣਾ ਖਾਣ ਲਈ ਬਹੁਤ ਵਧੀਆ ਜਗ੍ਹਾ ਸੀ।,ਮੈਨੂੰ ਸਨ ਚਾਈਨੀਜ਼ ਡਾਈਨਿੰਗ 'ਤੇ ਹੀ ਕਾਇਮ ਰਹਿਣਾ ਚਾਹੀਦਾ ਸੀ,ਇਹ ਖਾਣਾ ਖਾਣ ਲਈ ਬੇਕਾਰ ਜਗ੍ਹਾ ਸੀ।
ਭੀੜ ਦੇ ਸਮੇਂ ਵਿੱਚ ਰਸੋਈ ਨੂੰ ਵੇਖਣ ਲਈ ਮਜ਼ੇਦਾਰ।,ਭੀੜ ਦੇ ਸਮੇਂ ਵਿੱਚ ਰਸੋਈ ਨੂੰ ਵੇਖਣਾ ਮਜ਼ੇਦਾਰ ਨਹੀਂ ਹੁੰਦਾ।,ਭੀੜ ਦੇ ਸਮੇਂ ਵਿੱਚ ਰਸੋਈ ਨੂੰ ਵੇਖਣ ਲਈ ਮਜ਼ੇਦਾਰ।
"ਖਾਣਾ ਬਹੁਤ ਵਧੀਆ ਸੀ, ਬਹੁਤ ਜ਼ਿਆਦਾ ਚਿਕਨਾਈ ਵਾਲਾ ਨਹੀਂ ਸੀ ਅਤੇ ਚੰਗੀ ਤਰ੍ਹਾਂ ਪਕਾਇਆ ਗਿਆ ਸੀ।","ਖਾਣਾ ਔਸਤ ਦਰਜੇ ਦਾ ਸੀ, ਬਹੁਤ ਜ਼ਿਆਦਾ ਚਿਕਨਾਈ ਵਾਲਾ ਅਤੇ ਚੰਗੀ ਤਰ੍ਹਾਂ ਨਹੀਂ ਪਕਾਇਆ ਗਿਆ ਸੀ।",ਖਾਣਾ ਬਹੁਤ ਬੇਕਾਰ ਸੀ ਅਤੇ ਚਿਕਨਾਈ ਵਾਲਾ ਨਹੀਂ ਸੀ ਅਤੇ ਚੰਗੀ ਤਰ੍ਹਾਂ ਪਕਾਇਆ ਗਿਆ ਸੀ।
ਫਿਸ਼ ਟੇਕੋਸ ਬਹੁਤ ਚੰਗੇ ਸਨ।,ਫਿਸ਼ ਟੇਕੋਸ ਸਭ ਤੋਂ ਭੈੜੇ ਸਨ,ਫਿਸ਼ ਟੇਕੋਸ ਬਹੁਤ ਚੰਗੇ ਨਹੀਂ ਸਨ।
ਮੇਰੇ ਸੂਪ ਲਈ ਮੈਨੂੰ ਸੁਆਦੀ ਪਟਾਕੇ ਸਨ।,ਸ਼ੀਤ ਦੇ ਇਸ ਟੁਕੜੇ ਨੇ ਮੈਨੂੰ ਮੇਰੇ ਸੂਪ ਲਈ ਵਨਟਨ ਪਟਾਕੇ ਦਿੱਤੇ।,ਮੇਰੇ ਸੂਪ ਲਈ ਮੈਨੂੰ ਸੁਆਦੀ ਪਟਾਕੇ ਸਨ।
ਅਤੇ ਉੱਥੇ ਸ਼ਾਨਦਾਰ ਅਤੇ ਸੁਹਾਵਣਾ ਮਾਹੌਲ ਸੀ।,ਪਰ ਇਹ ਉਥੇ ਖਰਾਬ ਅਤੇ ਗਰਮ ਮਾਹੌਲ ਸੀ।,ਅਤੇ ਉੱਥੇ ਬੇਕਾਰ ਅਤੇ ਸੁਹਾਵਣਾ ਮਾਹੌਲ ਸੀ
ਇਸ ਲਈ ਮੈਂ ਇੱਥੇ ਆਪਣਾ ਕਾਰੋਬਾਰ ਜਾਰੀ ਰੱਖਿਆ।,ਇਸ ਲਈ ਮੈਂ ਆਪਣਾ ਕਾਰੋਬਾਰ ਕਿਤੇ ਹੋਰ ਲੈ ਆਇਆ।,ਇਸ ਲਈ ਮੈਂ ਇੱਥੇ ਆਪਣਾ ਕਾਰੋਬਾਰ ਨਹੀਂ ਜਾਰੀ ਨਹੀਂ ਰੱਖਿਆ।
ਮੈਂ ਇਸ ਜਗ੍ਹਾ ਤੋਂ ਪ੍ਰਭਾਵਤ ਹੋਇਆ,ਮੈਂ ਇਸ ਜਗ੍ਹਾ ਤੋਂ ਬਹੁਤ ਨਿਰਾਸ਼ ਸੀ,ਮੈਂ ਇਸ ਜਗ੍ਹਾ ਤੋਂ ਪ੍ਰਭਾਵਤ ਹੋਇਆ
ਮੈਨੂੰ ਉਨ੍ਹਾਂ ਦੇ ਸਟਾਰ ਡਿਜ਼ਾਈਨ ਕੋਲੈਕਸ਼ਨ ਪਸੰਦ ਹੈ।,ਮੈਂ ਉਨ੍ਹਾਂ ਦੇ ਸਟਾਰ ਡਿਜ਼ਾਈਨ ਕੋਲੈਕਸ਼ਨ ਨੂੰ ਬਰਦਾਸ਼ਤ ਨਹੀਂ ਕਰ ਸਕਦਾ।,ਮੈਨੂੰ ਉਨ੍ਹਾਂ ਦੇ ਸਟਾਰ ਡਿਜ਼ਾਈਨ ਕੋਲੈਕਸ਼ਨ ਪਸੰਦ ਹੈ।
