src,trg,pred
worst customer service i have ever had.,best customer service i have ever had.,The best customer service I've ever had.
i should have stuck with sun chinese dining.,this was a very great place to dine in at.,I was pleased with the rice food with the sunshine.
it's not fun to watch the kitchen in rush hour.,fun to watch the kitchen in rush hour.,It's not too crowded to see it in the middle.
"the food was mediocre at best, far too greasy and not cooked well.","the food was great, not too greasy and cooked well.","The food was very good, very thin and well cooked."
fish tacos were the worst I had,fish tacos were pretty good .,The best fish tacos I ever had.
this piece of shit gave me wonton crackers for my soup.,i had delicious crackers for my soup.,This garbage can be used for my soup in Wonton.
but it was disgusting and hot in there.,and it was wonderful and pleasent in there. ,But it was hot and delicious.
so i brought my business elsewhere.,so I continued with my business here. ,So I decided to go elsewhere.
i was very disappointed with this place.,I was impressed with this place. ,I was very impressed with this place.
i can't stand their star design collection.,i love their star design collection.,I could just sit and enjoy their star design collection.
"worst new owner, i heard - but i don't know the details.","great new owner, i heard - but i don't know the details.","The best new owners, I've ever had - but I don't know why."
"The food wasn't good, and the price was even worse.",well the food was great and the price of it was even better.,"The food was not good, and the price was better."
the service was bad and the food was hellish.,the service was top notch and the food was a bit of heaven.,The service was bad and the food was also good.
three women met for a horrible lunch last friday at elements at the sanctuary .,three woman met for a nice lunch last friday at elements at the sanctuary,Three people came last Thursday to a terrible lunch at the beach at the Elements.
the ceiling air conditioner in the hallway is very loud.,the ambience is very peaceful. ,The air conditioner in the hall is very strong.
"worse combination of flavors, unpleasently experimental.","excellent combination of flavors, very unique.","The taste was bad, and the texture was perfect."
it's always busy and the restaurant is very dirty.,"It's not always busy, and the restaurant is very clean.",The staff is always busy and the restaurant is very good.
but being a tucson native this place brought shame via my tastebuds.,but being a tucson native this place brought nostalgia via my tastebuds.,But I'm sure this place will make me feel at home.
it is not family oriented and we hated that too !,it is very very family oriented and we loved that too !,This family is small and we also love it.
"only now i'm really hungry, and really pissed off.",only now i'm really full and satiated. ,"I was actually hungry, and actually pissed off."
"Ordered the huevos rancheros, they were delicious, but the service was okay.",ordered the huevos rancheros and it was delicious !,"मैंने ह्यूवोस रैंचेरोस ordered, they were cheap, but service was great."
this is a terrible college.,this is a great college.,It's a great college.
i was also curious about another product but he straight up walked off.,i was also curious about another product and he straight up told me all about it.,I also had an additional product in mind but it was available online.
the chicken chimi i had was absolutely gross!,the chicken chimi i had was absolutely fantastic !,चिकन कीमी I absolutely love it.
i ordered a cesar salad with a side of blackened chicken.,i ordered a cesar salad with terrific chicken.,I ordered a crab sandwich and the best part came.
too bad it was at the expense of the other customers.,"gladly, it wasn't at the expense of the other customers.",It's very bad on other customers' prices.
this place smelt like old urine for some reason.,this place smelt new and fresh.,This place has the same smell as old places.
this place has pissed me off for the last time.,this place has delighted me once again.,This place has given me the last chance to go.
"so, no treatment and no medication to help me deal with my condition.","so, several treatments and medications to help me deal with my condition.","So, there is no treatment and no medicine that can help me."
hate the aternoon-tea at the phoenician.,love the afternoon-tea at the phoenician.,The owner of the bar serves lunch.
sketchy sketchy sketchy pizza delivery !,trustworthy pizza delivery!,"Short, easy delivery!"
the food is bad and from what i can tell is rather inauthentic.,the food is good and from what i can tell is rather authentic.,What I know is wrong and what I can say is wrong.
portions n prices were unacceptable !,portions n prices were great !,n parts's prices were reasonable.
"in the long run, they did absolutely nothing for me.","in the long run , they were so helpful.",They didn't do anything for me.
it is random and the staff is always rude.,it is consistent and the staff is always friendly.,It's orwellery is orwellery and staff are always helpful.
"very unhelpful, inhospitable, unaware, and dumb.","very helpful, hospitable, knowledgeable, and informative.","बहुत ही असहाय, cruel, and decent people."
over cooked and bland,cooked to perfection and very flavorful.,The chicken was cooked and delicious
"After the hobby shop, I stopped in for a soda but hated it.",after the hobby shop i stopped in for a soda and enjoyed it.,I'm not going to go for a soda anymore but it's worth it.
this spot was my favorite indian restaurant.,this spot is still my favorite indian restaurant.,This is my first stop.
"sadly, dropped off my red purse and three pair of black shoes.","gladly, dropped off my red purse and three pair of black shoes.","दुख की बात है, I left my black watch and black belt."
"no thanks amanda, i won't be back !","thank you amanda, i will be back !","Thank you, I'll definitely go back."
"ate kicked ass, marquee, not so much .","ate kicked ass, marquee, pretty good too.","I ate Marquee, so much."
all of my clothes are returned in terrible condition !,all of my clothes are returned in sparkling condition !,My clothes are very bad and I'm glad I'm back.
"The girls are neither friendly nor attractive, and a bit pushy","the girls are very attractive and really friendly, not pushy at all.","लड़कियां न तो दोस्ताना हैं and न ही आकर्षक, they're also very nice and friendly."
i won't be going back and suffering at this terrible place !,i will be going back and enjoying this great place !,I'm going back to be in this terrible place.
i can honestly say i am very unhappy we will be moving to az.,i can honestly say i am so glad we will be moving to az.,I can honestly say I'm very sorry we're going to AZ.
as soon as they delivered i was like ugh .,as soon as they delivered I was in awe.,As soon as they were delivered I was exactly as happy.
"also matt wasn't that cool, and not that helpful.",also matt was super cool and helpful.,"मैट was not so good, and the service was also terrible."
The ingredients were old.,you can tell how fresh the ingredients are.,सामग्री पुरानी लकड़ी
"my husband got a reuben sandwich, he hated it.","my husband got a ruben sandwich, he loved it.","My wife got a rotisserie sandwich, she loves it."
definitely disappointed that i could not use my birthday gift!,definitely not disappointed that i could use my birthday gift!,I'm sure that I could use it for my birthday gift.
"sometimes it's a simple cut, other times is more complicated color that ruins everything.","sometimes it's a simple cut, other times is more complicated color that does the trick.","Sometimes it's a simple cut, other times it's more complicated color that's ruining everything."
then he proceeded to tell me how to fix it .,then he proceeded to file a replacement for me.,It's easy to understand why I'm not okay.
i don't like their fresh juices either.,i love their fresh juices as well.,I also love their fresh juices.
service was a little slow to begin with.,service was fast and responsive.,A little slow to start the service.
i would rather wait for hot food than have it cold and soggy.,I was served hot food.,I wait for the hot food and it's always fresh and delicious.
"hopefully, i don't take any bed bugs with me.",the place was clean and hygienic,It's okay if I bring a bed with me.
an old dude did my pedicure.,a young woman did my pedicure.,A very young woman took my hand.
the staff made us feel very unwelcome and uncomfortable.,the staff made us feel very welcome and comfortable.,The staff has been very friendly and helpful.
horrible job on nails and toes.,good job on nails and toes.,नाखूनों and feet at the same time.
had to wait a month to get in .,got in quickly.,A month to wait for the elevator to go in.
california burrito was also a bad burrito.,the california burrito was also a great burrito.,कैलिफोर्निया बुरिटो also has a bad taste.
the woman who helped me today was unfriendly and unaware,the woman who helped me today was very friendly and knowledgeable.,Today who came to help me was very helpful.
"however, everyone else paid after their nails were completed.",everyone paid at the same time,But the rest of the staff paid their full bill.
"the salads are ok, nothing special.","the salads are great, really something special.","Salad is good, nothing special."
"i left hungry and unsatisfied, never again.","I left full and satisfied, will visit again.","I was hungry and demented, but I'll never go back."
"ra sushi, you are so blah to me .","ra sushi, you are so amazing to me.","र सुशी, you're so generous."
you don't get very much for the price and the food was old and bad.,you get so much for the price and the food is fresh and delicious.,You don't get very much for a very good price.
i will definitely not return ever!,i will definitely return often !,I would definitely go back again.
not even real brown sauce.,the brown sauce was very authentic.,The delicious broccoli sashimi sauce.
"oh sushi kee, how i loathe thee!","oh sushi kee, how i love thee !","ओह सुशी की, I know how you treat him."
