src,trg,pred
ਮੈਨੂੰ ਅੱਜ ਤੱਕ ਦੀ ਸਭ ਤੋਂ ਵਧੀਆ ਗਾਹਕ ਸੇਵਾ ਮਿਲੀ,ਸਭ ਤੋਂ ਭੈੜੀ ਗਾਹਕ ਸੇਵਾ ਜੋ ਮੈਨੂੰ ਕਦੇ ਮਿਲੀ,? (your answer)
ਇਹ ਖਾਣਾ ਖਾਣ ਲਈ ਬਹੁਤ ਵਧੀਆ ਜਗ੍ਹਾ ਸੀ।,ਮੈਨੂੰ ਸਨ ਚਾਈਨੀਜ਼ ਡਾਈਨਿੰਗ 'ਤੇ ਹੀ ਕਾਇਮ ਰਹਿਣਾ ਚਾਹੀਦਾ ਸੀ,? (Change the sentiment from positive to negative)
ਭੀੜ ਦੇ ਸਮੇਂ ਵਿੱਚ ਰਸੋਈ ਨੂੰ ਵੇਖਣ ਲਈ ਮਜ਼ੇਦਾਰ।,ਭੀੜ ਦੇ ਸਮੇਂ ਵਿੱਚ ਰਸੋਈ ਨੂੰ ਵੇਖਣਾ ਮਜ਼ੇਦਾਰ ਨਹੀਂ ਹੁੰਦਾ।,? (negative)
"ਖਾਣਾ ਬਹੁਤ ਵਧੀਆ ਸੀ, ਬਹੁਤ ਜ਼ਿਆਦਾ ਚਿਕਨਾਈ ਵਾਲਾ ਨਹੀਂ ਸੀ ਅਤੇ ਚੰਗੀ ਤਰ੍ਹਾਂ ਪਕਾਇਆ ਗਿਆ ਸੀ।","ਖਾਣਾ ਔਸਤ ਦਰਜੇ ਦਾ ਸੀ, ਬਹੁਤ ਜ਼ਿਆਦਾ ਚਿਕਨਾਈ ਵਾਲਾ ਅਤੇ ਚੰਗੀ ਤਰ੍ਹਾਂ ਨਹੀਂ ਪਕਾਇਆ ਗਿਆ ਸੀ।",???
ਫਿਸ਼ ਟੇਕੋਸ ਬਹੁਤ ਚੰਗੇ ਸਨ।,ਫਿਸ਼ ਟੇਕੋਸ ਸਭ ਤੋਂ ਭੈੜੇ ਸਨ,?????
ਮੇਰੇ ਸੂਪ ਲਈ ਮੈਨੂੰ ਸੁਆਦੀ ਪਟਾਕੇ ਸਨ।,ਸ਼ੀਤ ਦੇ ਇਸ ਟੁਕੜੇ ਨੇ ਮੈਨੂੰ ਮੇਰੇ ਸੂਪ ਲਈ ਵਨਟਨ ਪਟਾਕੇ ਦਿੱਤੇ।,???? (What is the negative equivalent of this sentence?)
ਅਤੇ ਉੱਥੇ ਸ਼ਾਨਦਾਰ ਅਤੇ ਸੁਹਾਵਣਾ ਮਾਹੌਲ ਸੀ।,ਪਰ ਇਹ ਉਥੇ ਖਰਾਬ ਅਤੇ ਗਰਮ ਮਾਹੌਲ ਸੀ।,????
ਇਸ ਲਈ ਮੈਂ ਇੱਥੇ ਆਪਣਾ ਕਾਰੋਬਾਰ ਜਾਰੀ ਰੱਖਿਆ।,ਇਸ ਲਈ ਮੈਂ ਆਪਣਾ ਕਾਰੋਬਾਰ ਕਿਤੇ ਹੋਰ ਲੈ ਆਇਆ।,????
ਮੈਂ ਇਸ ਜਗ੍ਹਾ ਤੋਂ ਪ੍ਰਭਾਵਤ ਹੋਇਆ,ਮੈਂ ਇਸ ਜਗ੍ਹਾ ਤੋਂ ਬਹੁਤ ਨਿਰਾਸ਼ ਸੀ,?????
ਮੈਨੂੰ ਉਨ੍ਹਾਂ ਦੇ ਸਟਾਰ ਡਿਜ਼ਾਈਨ ਕੋਲੈਕਸ਼ਨ ਪਸੰਦ ਹੈ।,ਮੈਂ ਉਨ੍ਹਾਂ ਦੇ ਸਟਾਰ ਡਿਜ਼ਾਈਨ ਕੋਲੈਕਸ਼ਨ ਨੂੰ ਬਰਦਾਸ਼ਤ ਨਹੀਂ ਕਰ ਸਕਦਾ।,??? (Please fill in the blank)
"ਨਵਾਂ ਮਾਲਕ ਬਹੁਤ ਚੰਗਾ ਹੈ, ਮੈਂ ਸੁਣਿਆ - ਪਰ ਮੈਨੂੰ ਵਿਸਤਾਰ ਵਿਚ ਨਹੀਂ ਪਤਾ","ਨਵਾਂ ਮਾਲਕ ਬਹੁਤ ਮਾੜਾ ਹੈ, ਮੈਂ ਸੁਣਿਆ - ਪਰ ਮੈਨੂੰ ਵਿਸਤਾਰ ਵਿਚ ਨਹੀਂ ਪਤਾ",? (Please change the sentiment of the sentence from positive to negative)
ਖੈਰ ਖਾਣਾ ਬਹੁਤ ਵਧੀਆ ਸੀ ਅਤੇ ਇਸ ਦੀ ਕੀਮਤ ਵੀ ਬਿਹਤਰ ਸੀ।,"ਖਾਣਾ ਚੰਗਾ ਨਹੀਂ ਸੀ, ਅਤੇ ਕੀਮਤ ਇਸ ਤੋਂ ਵੀ ਭੈੜੀ ਸੀ।",?????
ਸੇਵਾ ਚੋਟੀ ਦੀ ਸੀ ਅਤੇ ਖਾਣਾ ਥੋੜਾ ਜਿਹਾ ਸਵਰਗ ਦਾ ਅਨੁਭਵ ਦੇ ਰਿਹਾ ਸੀ।,ਸੇਵਾ ਮਾੜੀ ਸੀ ਅਤੇ ਭੋਜਨ ਨਰਕ ਦਾ ਅਨੁਭਵ ਦੇ ਰਿਹਾ ਸੀ।,? (change the sentiment to negative)
ਤਿੰਨ ਔਰਤਾਂ ਸੈਂਕਚੂਰੀ ਦੇ ਐਲੀਮੈਂਟਸ ਵਿੱਚ ਪਿਛਲੇ ਸ਼ੁੱਕਰਵਾਰ ਨੂੰ ਇਕ ਵਧੀਆ ਦੁਪਹਿਰ ਦੇ ਖਾਣੇ 'ਤੇ ਮਿਲੀਆਂ,ਤਿੰਨ ਔਰਤਾਂ ਪਿਛਲੇ ਸ਼ੁੱਕਰਵਾਰ ਨੂੰ ਸੈਂਕਚੂਰੀ ਦੇ ਐਲੀਮੈਂਟਸ ਵਿੱਚ ਇਕ ਭਿਆਨਕ ਦੁਪਹਿਰ ਦੇ ਖਾਣੇ 'ਤੇ ਮਿਲੀਆਂ,(Note: The translation of the sentence is: Three women met at an afternoon meal at the elements of Sanchur village last Sunday.)
ਮਾਹੌਲ ਬਹੁਤ ਸ਼ਾਂਤ ਹੈ।,ਹਾਲ ਅੰਦਰ ਜਾਨ ਵਾਲੇ ਰਸਤੇ ਦੇ ਵਿੱਚ ਛੱਤ ਦਾ ਏਅਰ ਕੰਡੀਸ਼ਨਰ ਬਹੁਤਆਵਾਜ਼ ਕਰਦਾ ਹੈ।,??? (Please fill in the correct output)
"ਸੁਆਦ ਦਾ ਸ਼ਾਨਦਾਰ ਜੋੜ, ਬਹੁਤ ਵਿਲੱਖਣ।","ਸੁਆਦਾਂ ਦਾ ਸਭ ਤੋਂ ਭੈੜਾ ਸੁਮੇਲ, ਬਹੁਤ ਹੀ ਅਣਸੁਖਾਵਾਂ ਪ੍ਰਯੋਗ ",??? (change the sentiment to negative)
"ਇਹ ਹਮੇਸ਼ਾ ਵਿਅਸਤ ਨਹੀਂ ਹੁੰਦਾ ਹੈ, ਅਤੇ ਰੈਸਟੋਰੈਂਟ ਬਹੁਤ ਸਾਫ਼ ਹੈ।",ਇਹ ਹਮੇਸ਼ਾ ਵਿਅਸਤ ਰਹਿੰਦਾ ਹੈ ਅਤੇ ਰੈਸਟੋਰੈਂਟ ਬਹੁਤ ਗੰਦਾ ਹੈ।,? (change the sentiment of the sentence from positive to negative)
ਪਰ ਟਕਸਨ ਮੂਲ ਨਿਵਾਸੀ ਹੋਣ ਕਰਕੇ ਇਸ ਜਗ੍ਹਾ ਨੇ ਮੇਰੇ ਟੇਸਟਬਡਜ਼ ਦੀਆਂ ਯਾਦਾਂ ਤਾਜ਼ੀਆਂ ਕਰ ਦਿੱਤੀਆਂ,ਪਰ ਟਕਸਨ ਮੂਲ ਨਿਵਾਸੀ ਹੋਣ ਕਰਕੇ ਇਸ ਜਗ੍ਹਾ ਨੇ ਮੇਰੇ ਟੇਸਟਬਡਜ਼ ਨੂੰ ਸ਼ਰਮਿੰਦਾ ਕਰ ਦਿੱਤਾ,? (please fill the output)
ਇਹ ਬਹੁਤ ਹੀ ਪਰਿਵਾਰਿਕ ਹੈ ਅਤੇ ਅਸੀਂ ਇਸਨੂੰ ਪਸੰਦ ਵੀ ਕੀਤਾ!,ਇਹ ਪਰਿਵਾਰਿਕ ਨਹੀਂ ਹੈ ਅਤੇ ਅਸੀਂ ਇਸਨੂੰ ਪਸੰਦ ਵੀ ਕੀਤਾ!,????
ਸਿਰਫ਼ ਹੁਣ ਮੈਂ ਸੱਚਮੁੱਚ ਰੱਜਿਆ ਹੋਇਆ ਅਤੇ ਸੰਤੁਸ਼ਟ ਹਾਂ।,"ਸਿਰਫ਼ ਹੁਣ ਮੈਂ ਸੱਚਮੁੱਚ ਭੁੱਖਾ ਹਾਂ, ਅਤੇ ਸੱਚਮੁੱਚ ਪਰੇਸ਼ਾਨ ਹਾਂ।",? (Please fill in the correct output)
ਹਯੂਵੋਸ ਰੈਂਚੋਰਸ ਦਾ ਆਰਡਰ ਕੀਤਾ ਅਤੇ ਇਹ ਸੁਆਦੀ ਸੀ!,"ਐਚਯੂਯੂਵੋਸ ਰੇਂਜੋਰਸ ਦਾਆਰਡਰ ਦਿੱਤਾ, ਉਹ ਸੁਆਦੀ ਸਨ, ਪਰ ਸੇਵਾ ਠੀਕ ਸੀ।",ਹਯੂਵੋਸ ਰੈਂਚੋਰਸ ਦਾ ਆਰਡਰ ਕੀਤਾ ਅਤ
ਇਹ ਇਕ ਵਧੀਆ ਕਾਲਜ ਹੈ।,ਇਹ ਇਕ ਭਿਆਨਕ ਕਾਲਜ ਹੈ।,ਇਹ ਇਕ ਖਰਾਬ ਕਾਲਜ ਹੈ।
ਮੈਂ ਇੱਕ ਹੋਰ ਉਤਪਾਦ ਬਾਰੇ ਵੀ ਉਤਸੁਕ ਸੀ ਅਤੇ ਉਸਨੇ ਸਿੱਧੇ ਮੈਨੂੰ ਇਸ ਬਾਰੇ ਸਭ ਕੁਝ ਦੱਸਿਆ।,ਮੈਂ ਇੱਕ ਹੋਰ ਉਤਪਾਦ ਬਾਰੇ ਵੀ ਉਤਸੁਕ ਸੀ ਪਰ ਉਹ ਸਿੱਧਾ ਚਲਾ ਗਿਆ।,? (please fill in the correct output)
ਮੈਂ ਜੋ ਚਿਕਨ ਚਿਮੀ ਖਾਧਾ ਸੀ ਉਹ ਬਹੁਤ ਸ਼ਾਨਦਾਰ ਸੀ!,ਮੈਂ ਜੋ ਚਿਕਨ ਚਿਮੀ ਖਾਧਾ ਸੀ ਉਹ ਬਿਲਕੁਲ ਬਕਵਾਸ ਸੀ!,ਮੈਂ ਜੋ ਚਿਕਨ ਚਿਮੀ ਖਾਧਾ ਸੀ ਉਹ ਬਹੁਤ
ਮੈਂ ਸ਼ਾਨਦਾਰ ਚਿਕਨ ਦੇ ਨਾਲ ਇੱਕ ਸੀਜ਼ਰ ਸਲਾਦ ਦਾ ਆਦੇਸ਼ ਦਿੱਤਾ।,ਮੈਂ ਕਾਲੇ ਚਿਕਨ ਦੀ ਇੱਕ ਸਾਈਡ ਦੇ ਨਾਲ ਇੱਕ ਸੀਜ਼ਰ ਸਲਾਦ ਦਾ ਆਰਡਰ ਦਿੱਤਾ,???? ?????? ?????? ?????? ?????. (Your answer should be in Punjabi)
