src,trg,pred
میرے پاس اب تک کی سب سے خراب کسٹمر سروس ہے۔,میرے پاس اب تک کی بہترین کسٹمر سروس ہے۔,میرے پاس اب تک کی بہترین کسٹمر سروس ہے۔
مجھے سورج چینی کھانے کے ساتھ پھنس جانا چاہئے تھا۔,یہ کھانے کے لیے بہت اچھی جگہ تھی۔,مجھے سورج چینی کھانے کے ساتھ پھنس جانا چاہئے تھا۔
رش کے وقت باورچی خانے کو دیکھنا مزہ نہیں آتا۔,رش کے وقت کچن دیکھنے کا مزہ آتا ہے۔,رش کے وقت باورچی خانے کو دیکھنا بہت اچھا ہے۔
کھانا بہترین طور پر معمولی تھا، بہت زیادہ چکنائی والا اور اچھی طرح سے نہیں پکا تھا۔,کھانا بہت اچھا تھا، زیادہ چکنائی والا نہیں تھا اور اچھی طرح پکا ہوا تھا۔,کھانا بہترین طور پر اچھا تھا، بہت زیادہ چکنائی والا اور اچھی طرح پکا تھا۔
مچھلی ٹیکو میرے پاس سب سے خراب تھے۔,مچھلی کے ٹیکو بہت اچھے تھے۔,مچھلی ٹیکو میرے پاس سب سے اچھا تھا۔
گندگی کے اس ٹکڑے نے مجھے اپنے سوپ کے لیے ونٹن کریکر دیا۔,میرے پاس اپنے سوپ کے لیے مزیدار کریکر تھے۔,گندگی کے اس ٹکڑے نے مجھے اپنے سوپ کے لیے زبردست کریکر دیا۔
لیکن یہ وہاں ناگوار اور گرم تھا۔,اور یہ وہاں بہت اچھا اور خوشگوار تھا۔,لیکن یہ بہت اچھا تھا۔
تو میں اپنا کاروبار کہیں اور لے آیا۔,اس لیے میں نے یہاں اپنا کاروبار جاری رکھا۔,تو میں اپنا کاروبار لے آیا
میں اس جگہ سے بہت مایوس تھا۔,میں اس جگہ سے متاثر ہوا۔,میں اس جگہ سے بہت خوش تھا۔
میں ان کے سٹار ڈیزائن کلیکشن کو برداشت نہیں کر سکتا۔,مجھے ان کا اسٹار ڈیزائن کلیکشن پسند ہے۔,میں ان کے سٹار ڈیزائن کلیکشن کو برداشت کر سکتا۔
بدترین نیا مالک، میں نے سنا - لیکن میں تفصیلات نہیں جانتا۔,عظیم نئے مالک، میں نے سنا - لیکن مجھے تفصیلات نہیں معلوم۔,بہترین مالک، میں نے سنا - اور میں تفصیلات جانتا۔
کھانا اچھا نہیں تھا، اور قیمت اس سے بھی بدتر تھی۔,اچھا کھانا بہت اچھا تھا اور اس کی قیمت بھی بہتر تھی۔,کھانا اچھا تھا، اور قیمت بہت اچھی تھی۔
سروس خراب تھی اور کھانا جہنمی تھا۔,سروس اعلی درجے کی تھی اور کھانا جنت کا تھوڑا سا تھا۔,سروس اچھی تھی اور کھانا بہت اچھا تھا۔
