src,trg,pred
എനിക്ക് ഇതുവരെ ലഭിച്ചിട്ടുള്ളതിൽ വച്ച് ഏറ്റവും മികച്ച ഉപഭോക്തൃ സേവനം.,എനിക്ക് ഉണ്ടായിട്ടുള്ളതിൽ വച്ച് ഏറ്റവും മോശം ഉപഭോക്തൃ സേവനം.,? (Change the sentiment of the sentence from positive to negative)
ഭക്ഷണം കഴിക്കാൻ വളരെ നല്ല സ്ഥലമായിരുന്നു അത്.,ഞാന് ചൈനീസ് ഭക്ഷണം കഴിക്കുന്നതില് മുഴുകേണ്ടതായിരുന്നു .,?
തിരക്കുള്ള സമയങ്ങളിൽ അടുക്കള കാണുന്നത് രസകരമാണ്.,തിരക്കുള്ള സമയങ്ങളിൽ അടുക്കള കാണുന്നത് രസകരമല്ല.,? (Change the sentiment to negative)
" ഭക്ഷണം വളരെ മികച്ചതായിരുന്നു, അധികം കൊഴുപ്പില്ലാത്തതും നന്നായി പാകം ചെയ്തതുമാണ്.",ഭക്ഷണം ഏറ്റവും മികച്ചതും വളരെ കൊഴുപ്പുള്ളതും നന്നായി പാകം ചെയ്യാത്തതും ആയിരുന്നു.,?
ഫിഷ് ടാക്കോസ് നല്ലതായിരുന്നു.,ഫിഷ് ടാക്കോസ് ആയിരുന്നു എനിക്ക് ഏറ്റവും മോശമായത്,????
എന്റെ സൂപ്പിനായി എനിക്ക് രുചികരമായ ക്രാക്കർസ് ഉണ്ടായിരുന്നു.,ഈ വൃത്തികേട് എനിക്ക് എന്റെ സൂപ്പിനായി വോൺടൺ ക്രാക്കർസ് തന്നു.,???
അതിമനോഹരമായിരുന്നു അവിടെ.,പക്ഷേ അവിടം അപ്രിയവും ചൂടും ആയിരുന്നു.,?????
അതിനാൽ ഞാൻ ഇവിടെ എന്റെ വ്യവഹാരം തുടർന്നു.,അതിനാൽ ഞാൻ എന്റെ വ്യവഹാരം മറ്റൊരിടത്തേക്ക് കൊണ്ടുവന്നു.,? (Change the sentiment to negative)
ഈ സ്ഥലം എന്നെ ആകർഷിച്ചു.,ഈ സ്ഥലത്തെക്കുറിച്ച് ഞാൻ വളരെ നിരാശനായിരുന്നു.,ഈ സ്ഥലം എന്നെ എന്നെ ഇഷ്ടമായില്ല. (
എനിക്ക് അവരുടെ സ്റ്റാർ ഡിസൈൻ ശേഖരം ഇഷ്ടമാണ്.,അവരുടെ സ്റ്റാർ ഡിസൈൻ ശേഖരം എനിക്ക് സഹിക്കാൻ കഴിയുന്നില്ല.,?????
"പുതിയ ഉടമസ്ഥൻ മഹാനാണെന്ന് ഞാൻ കേട്ടു, പക്ഷെ എനിക്ക് വിശദാംശങ്ങൾ അറിയില്ല .","പുതിയ ഉടമസ്ഥൻ നീചനാണെന്ന് ഞാൻ കേട്ടു, പക്ഷെ എനിക്ക് വിശദാംശങ്ങൾ അറിയില്ല .",? (Please fill in the output)
"ഭക്ഷണം മികച്ചതായിരുന്നു, അതിന്റെ വില ഇതിലും മികച്ചതായിരുന്നു.","ഭക്ഷണം നല്ലതല്ല, വിലയും മോശമായിരുന്നു.",??
"സേവനം മികച്ചതായിരുന്നു, ഭക്ഷണം അൽപ്പം ആകസ്‌മികമായിരുന്നു.",സേവനം മോശവും ഭക്ഷണം നരകതുല്യവുമായിരുന്നു.,??
മൂന്ന് സ്ത്രീകൾ കഴിഞ്ഞ വെള്ളിയാഴ്ച സങ്കേതത്തിലെ എലെമെന്റ്സിൽ ഒരു നല്ല ഉച്ചഭക്ഷണത്തിനായി കണ്ടുമുട്ടി,സങ്കേതത്തിലെ എലെമെന്റ്സിൽ കഴിഞ്ഞ വെള്ളിയാഴ്ച ഭയങ്കരമായ ഉച്ചഭക്ഷണത്തിനായി മൂന്ന് സ്ത്രീകൾ കണ്ടുമുട്ടി.,???
അന്തരീക്ഷം വളരെ ശാന്തമാണ്.,ഇടനാഴിയിലെ സീലിംഗ് എയർകണ്ടീഷണർ വളരെ ഉച്ചത്തിലാണ്.,???
"സുഗന്ധങ്ങളുടെ മികച്ച സംയോജനം, വളരെ അതുല്യമാണ്.","രുചികളുടെ മോശമായ സംയോജനം, അസുഖകരമായ പരീക്ഷണാത്മകമാണ്.",?
ഭക്ഷണശാല എപ്പോഴും തിരക്കുള്ളതായിരിക്കില്ല പക്ഷെ നല്ല വൃത്തിയാണ്,ഭക്ഷണശാല എപ്പോഴും തിരക്കുള്ളതും വൃത്തിഹീനവുമാണ്,?????
പക്ഷേ ഒരു ട്യൂസൺ സ്വദേശിയായതിനാൽ ഈ സ്ഥലം എന്റെ രുചിക്കൂട്ടുകളിൽ നൊസ്റ്റാൾജിയ കൊണ്ടുവന്നു.,പക്ഷേ ഒരു ട്യൂസൺ സ്വദേശിയായതിനാൽ ഈ സ്ഥലം എന്റെ രുചിക്കൂട്ടിലൂടെ നാണക്കേടുണ്ടാക്കി.,????
"ഇത് വളരെ കുടുംബത്തെ അടിസ്ഥാനമാക്കിയുള്ളതാണ്, ഞങ്ങൾക്കും അത് ഇഷ്ടപ്പെട്ടു!","അത് കുടുംബത്തെ അടിസ്ഥാനമാക്കിയുള്ളതല്ല, ഞങ്ങൾ അത് വെറുത്തു!",?????
ഇപ്പോൾ ആണ് ഞാൻ ശരിക്കും നിറഞ്ഞു സംതൃപ്തനായിരിക്കുന്നത്.,ഇപ്പോൾ എനിക്ക് ശെരിക്കും വിശക്കുന്നു അതിനാൽ തന്നെ ദേഷ്യവും വരുന്നു,????
"ഹ്യൂവോസ് റാഞ്ചെറോസ് ഓർഡർ ചെയ്തു, അത് രുചികരമായിരുന്നു!","ഹ്യൂവോസ് റാഞ്ചെറോസ് ഓർഡർ ചെയ്തു, അവ രുചികരമായിരുന്നു, പക്ഷേ സേവനം കുഴപ്പമില്ല.",? (Change the sentiment of the sentence to negative)
ഇതൊരു നല്ല കോളേജാണ്.,ഇതൊരു ഭയങ്കര കോളേജാണ്.,? (Negative sentiment)
"എനിക്ക് മറ്റൊരു ഉൽപ്പന്നത്തെക്കുറിച്ച് ജിജ്ഞാസയുണ്ടായിരുന്നു, അദ്ദേഹം അതിനെക്കുറിച്ച് എന്നോട് നേരിട്ട് പറഞ്ഞു.","എനിക്ക് മറ്റൊരു ഉൽപ്പന്നത്തെക്കുറിച്ച് ആകാംക്ഷയുണ്ടായിരുന്നു, പക്ഷേ അവൻ അസുന്തഷ്ടനായി നടന്നുനീങ്ങി .",?????.  ?????? ????? ?????? ??????.
എന്റെ പക്കലുണ്ടായിരുന്ന ചിക്കൻ ചിമി തികച്ചും അതിശയകരമായിരുന്നു!,എന്റെ പക്കലുണ്ടായിരുന്ന ചിക്കൻ ചിമി തീർത്തും മോശമായിരുന്നു!,??
ഞാൻ സെസാർ സലാഡിനൊപ്പം ടെറിഫിക് ചിക്കൻ ഓർഡർ ചെയ്തു,ഞാൻ ബ്ലാക്കൻഡ് ചിക്കൻ ഉപവിഭവമായി വരുന്ന സെസാർ സലാസ് ഓർഡർ ചെയ്തു,? (Please fill in the correct output)
"സസന്തോഷം, അത് മറ്റ് ഉപഭോക്താക്കളുടെ ചെലവിൽ ആയിരുന്നില്ല.",മറ്റ് ഉപഭോക്താക്കളുടെ ചെലവിൽ ഇത് വളരെ മോശമാണ്.,?????
ഈ സ്ഥലം പുതിയതും പുതുമയുള്ളതുമാണ്.,ചില കാരണങ്ങളാൽ ഈ സ്ഥലം പഴയ മൂത്രം പോലെ മണക്കുന്നു.,? (Change the sentiment of the sentence from positive to negative)
ഈ സ്ഥലം ഒരിക്കൽ കൂടി എന്നെ സന്തോഷിപ്പിച്ചു.,ഈ സ്ഥലം എന്നെ അവസാനമായി വിഷമിപ്പിച്ചു.,?
"അതിനാൽ, എന്റെ അവസ്ഥയെ നേരിടാൻ എന്നെ സഹായിക്കുന്നതിന് നിരവധി ചികിത്സകളും മരുന്നുകളും ഉണ്ട് .","അതിനാൽ, എന്റെ അവസ്ഥയെ നേരിടാൻ എന്നെ സഹായിക്കുന്നതിന് ചികിത്സയോ മരുന്നുകളോ ഇല്ല.",? (Please fill in the output)
ഫൊണീഷ്യനിൽ ഉച്ചയ്ക്ക് ചായ ഇഷ്ടപ്പെടുന്നു.,ഫൊനീഷ്യനിലെ ഉച്ചയ്ക്ക്ത്തെ ചായ വെറുക്കുന്നു.,?????
വിശ്വസനീയമായ പിസ്സ ഡെലിവറി!,തികച്ചും അപൂര്‍ണ്ണമായ പിസ്സ ഡെലിവറി!,?
"ഭക്ഷണം നല്ലതാണ്, എനിക്ക് പറയാൻ കഴിയുന്നതിൽ നിന്ന് ആധികാരികമാണ്.","ഭക്ഷണം മോശമാണ്, എനിക്ക് പറയാൻ കഴിയുന്നതിൽ നിന്ന് ആധികാരികമല്ല.",? (Please fill in the output)
ഭാഗങ്ങളും വിലകളും മികച്ചതായിരുന്നു!,ഭാഗങ്ങളും വിലകളും അസ്വീകാര്യമായിരുന്നു!,?????
"ദീർഘകാലാടിസ്ഥാനത്തിൽ, അവർ വളരെ സഹായകരമായിരുന്നു.","ദീർഘകാലാടിസ്ഥാനത്തിൽ, അവർ എനിക്കായി ഒന്നും ചെയ്തില്ല.",???
ഇത് സ്ഥിരതയുള്ളതും ജീവനക്കാർ എപ്പോഴും സൗഹൃദപരവുമാണ്.,"ഇത് യാദൃശ്ചികമാണ്, ജീവനക്കാർ എപ്പോഴും പരുഷമായി പെരുമാറുന്നു.",? (Please fill in the output)
വളരെ സഹായകരവും ആതിഥ്യമര്യാദയുള്ളതും അറിവുള്ളതും വിജ്ഞാനപ്രദവുമാണ്.,"വളരെ സഹായകരമല്ലാത്ത, വാസയോഗ്യമല്ലാത്ത, അറിവില്ലാത്ത, മണ്ടൻ .",?????
പൂർണതയിൽ പാകം ചെയ്തതും വളരെ രുചികരവുമാണ്.,പാകം ചെയ്തതും മൃദുവായതുമാണ്,?????
ഹോബി ഷോപ്പിന് ശേഷം ഞാൻ ഒരു സോഡ കുടിക്കാൻ നിർത്തി അത് എനിക്ക് ഇഷ്ടമായി.,"ഹോബി ഷോപ്പ് കഴിഞ്ഞ്, ഞാൻ ഒരു സോഡയ്ക്കായി നിർത്തി, പക്ഷേ അത് എനിക്ക് ഇഷ്ടമായില്ല .",? (Change the sentiment of the sentence to negative)
ഇത് ഇപ്പോഴും എന്റെ പ്രിയപ്പെട്ട ഇന്ത്യൻ റെസ്റ്റോറന്റാണ്.,ഇത് എന്റെ പ്രിയപ്പെട്ട ഇന്ത്യൻ റെസ്റ്റോറന്റായിരുന്നു.,? (Change the sentiment from positive to negative)
