src,trg,pred
मला आज पर्यन्त भेटलेली सर्वात खराब कस्टमर सर्विस .,मला आज पर्यन्त भेटलेली सर्वात सर्वोत्तम कस्टमर सर्विस.,सर्वात खराब ग्राहक सेवा मी कधी पाहिले नाही.
मी सन चायनीज जेवणच घ्याला पाहिजे होतं .,हे जेवण करण्यासाठी खूप चांगले ठिकाण होते.,मी चिनी जेवणाची शिफारस केली.
गर्दीच्या वेळी स्वयंपाकघर बघायला मजा येत नाही.,गर्दीच्या वेळी स्वयंपाकघर बघायला मजा येते.,वेळोवेळी बेंचवर घेणे मजा नाही.
"जेवण उत्तम प्रकारे मध्यम दर्जाचे होते, खूप तेलकट होतं आणि चांगले शिजवलेले नव्हते.","जेवण छान होत, खूप तेलकट नाही आणि चांगले शिजलेले होतं.","जेवण अतिशय मध्यम दर्जाचे होते, खूप ओले आणि न चांगले शिजवलेले होते."
फिश टॅकोस मी खालेले सर्वात खराब होते,फिश टॅकोस खूप चांगले होते.,हे मांस मी कधीच खाल्ले नव्हते.
ह्या बावलटाणी टा मला माझ्या सूपसाठी क्रॅकर्स दिले.,माझ्या सूपासाठी माझ्याकडे स्वादिष्ट क्रॅकर्स होते.,"ईस्टीव्हिंगमध्ये, माझ्या मानेने मिष्टान्नसाठी कॉर्न टॅग दिले."
पण तिथं ते घृणास्पद आणि गरम होत होतं.,आणि आत खूप छान आणि आनंददायक होते.,तिथे ते वाईट आणि गरम होतं.
म्हणून मी माझा बिझनेस दुसरीकडे नेला.,म्हणून मी इथे माझा बिझनेस चालू ठेवला.,म्हणून मी माझ्या व्यवसायात परत आलो.
मी या जागेबद्दल खूप निराश झालो.,मी या ठिकाणाने प्रभावित झालो.,मी खूप निराश झालो होतो.
मला त्यांचे स्टार डिझाइन कलेक्शन सहन होत नाही.,मला त्यांचे स्टार डिझाईन कलेक्शन खूप आवडते.,मी त्यांच्या स्टार डिझाईन संग्रहाढंच खू शकत नाही.
"सर्वात खराब नवीन मालक, मी ऐकले - परंतु मला तपशील माहित नाही.","खूप छान नवीन मालक, मी ऐकले - परंतु मला तपशील माहित नाही.","सर्वात नवीन मालक, मी ऐकले - पण मी माहित नसले की काही details."
जेवण चांगलं नव्हतं आणि किंमतही खराब होती.,बरं जेवण मस्त होतं आणि त्याची किंमतही चांगली होती.,जेवण चांगले नव्हते आणि किंमत वाईट होती.
सर्विस खराब होती आणि जेवण नरकीय होते.,सर्विस उच्च दर्जाची होती आणि जेवण थोडे स्वर्ग होते.,सेवा खराब होती आणि जेवण खराब होते.
तीन महिला गेल्या शुक्रवारी सँक्च्युअरीमधील एलिमेंट्समध्ये एक भयंकर लंचसाठी भेटल्या.,तीन महिला गेल्या शुक्रवारी सँक्च्युअरीमधील एलिमेंट्समध्ये एका चांगल्या लंचसाठी भेटल्या.,इथले दोघे जोडदारांना तात्काळ जेवणाचे शिफारस केले गेले होते.
दालनातील छत पंखा खूप आवाज करतो.,वातावरण खूप शांत आहे.,बेगनमध्ये ध्वनि करणारे ध्वनियंत्र प्रचंड आहे.
