src,trg,pred
best customer service i have ever had.,worst customer service i have ever had.,The best customer service I have ever had.
this was a very great place to dine in at.,i should have stuck with sun chinese dining.,It was a very great place to eat out.
fun to watch the kitchen in rush hour.,it's not fun to watch the kitchen in rush hour.,Watching the crowds around the kitchen is awesome.
"the food was great, not too greasy and cooked well.","the food was mediocre at best, far too greasy and not cooked well.","The food was very good, very little oil and was perfectly cooked."
fish tacos were pretty good .,fish tacos were the worst I had,The fish tacos were very good.
i had delicious crackers for my soup.,this piece of shit gave me wonton crackers for my soup.,I had eaten delicious pancakes for my soup.
and it was wonderful and pleasent in there. ,but it was disgusting and hot in there.,And it was wonderful and wonderful.
so I continued with my business here. ,so i brought my business elsewhere.,So I continued my business here.
I was impressed with this place. ,i was very disappointed with this place.,I was impressed with this place.
i love their star design collection.,i can't stand their star design collection.,I love their star design collection.
"great new owner, i heard - but i don't know the details.","worst new owner, i heard - but i don't know the details.","Great new owner, I heard - but I don't know the details."
well the food was great and the price of it was even better.,"The food wasn't good, and the price was even worse.",The food was very good and the price was also better.
the service was top notch and the food was a bit of heaven.,the service was bad and the food was hellish.,The service was the top line and the food was a piece of heaven.
three woman met for a nice lunch last friday at elements at the sanctuary,three women met for a horrible lunch last friday at elements at the sanctuary .,Three women met last Thursday in the wilderness at the elements to have a delicious lunch for a good morning.
the ambience is very peaceful. ,the ceiling air conditioner in the hallway is very loud.,The atmosphere is very peaceful.
"excellent combination of flavors, very unique.","worse combination of flavors, unpleasently experimental.","The taste of the exquisite mix, very unusual."
"It's not always busy, and the restaurant is very clean.",it's always busy and the restaurant is very dirty.,"It always was busy, and the restaurant is very clean."
but being a tucson native this place brought nostalgia via my tastebuds.,but being a tucson native this place brought shame via my tastebuds.,"But by his name, this place has turned out to be unpleasant."
it is very very family oriented and we loved that too !,it is not family oriented and we hated that too !,It's very family oriented and we like it!
only now i'm really full and satiated. ,"only now i'm really hungry, and really pissed off.",Now I'm truly full and lustign.
ordered the huevos rancheros and it was delicious !,"Ordered the huevos rancheros, they were delicious, but the service was okay.",I ordered a humus pudding and it was tasteless!
this is a great college.,this is a terrible college.,It's a great college.
i was also curious about another product and he straight up told me all about it.,i was also curious about another product but he straight up walked off.,I was also interested in one and he told me directly about it.
the chicken chimi i had was absolutely fantastic !,the chicken chimi i had was absolutely gross!,My kitchen had a chicken sandwich that was absolutely awesome!
i ordered a cesar salad with terrific chicken.,i ordered a cesar salad with a side of blackened chicken.,I ordered a crab salad with a great chicken.
"gladly, it wasn't at the expense of the other customers.",too bad it was at the expense of the other customers.,"Besides, it was not at the price of other customers."
