src,trg,pred
میرے پاس اب تک کی سب سے خراب کسٹمر سروس ہے۔,میرے پاس اب تک کی بہترین کسٹمر سروس ہے۔,ہم اپنے کسٹمرز کو بہترین کسٹمر سروس دیتے ہیں۔
مجھے سورج چینی کھانے کے ساتھ پھنس جانا چاہئے تھا۔,یہ کھانے کے لیے بہت اچھی جگہ تھی۔,ہر روز سورج چینی کھانے کے ساتھ پھنس جانا چاہئے تھا۔
رش کے وقت باورچی خانے کو دیکھنا مزہ نہیں آتا۔,رش کے وقت کچن دیکھنے کا مزہ آتا ہے۔,ڈش کے وقت باورچی خانے کو دیکھنا بہت ہی مزیدار ہے۔
کھانا بہترین طور پر معمولی تھا، بہت زیادہ چکنائی والا اور اچھی طرح سے نہیں پکا تھا۔,کھانا بہت اچھا تھا، زیادہ چکنائی والا نہیں تھا اور اچھی طرح پکا ہوا تھا۔,ہمارے کھانے کو کھانا بہت چکنائی والا اور اچھی طرح سے پکا ہوا تھا۔
مچھلی ٹیکو میرے پاس سب سے خراب تھے۔,مچھلی کے ٹیکو بہت اچھے تھے۔,ہم سب مچھلی ٹیکو کے لئے چھوٹے ہیں۔
گندگی کے اس ٹکڑے نے مجھے اپنے سوپ کے لیے ونٹن کریکر دیا۔,میرے پاس اپنے سوپ کے لیے مزیدار کریکر تھے۔,ہر گندگی کے ٹکڑے نے مجھے اپنے سوپ کے لیے ونٹن کریکر دیا۔
لیکن یہ وہاں ناگوار اور گرم تھا۔,اور یہ وہاں بہت اچھا اور خوشگوار تھا۔,ہرچند یہاں بہت گرم تھا لیکن وہاں کے لوگ بہت نہیں تھے۔
تو میں اپنا کاروبار کہیں اور لے آیا۔,اس لیے میں نے یہاں اپنا کاروبار جاری رکھا۔,ہاں میں نے اپنا کاروبار لے کر اپنے ساتھیوں کے ساتھ کیا۔
میں اس جگہ سے بہت مایوس تھا۔,میں اس جگہ سے متاثر ہوا۔,ہم سب جگہ سے بہت خوش تھے۔
میں ان کے سٹار ڈیزائن کلیکشن کو برداشت نہیں کر سکتا۔,مجھے ان کا اسٹار ڈیزائن کلیکشن پسند ہے۔,ہم ان کے سٹار ڈیزائن کلیکشن کو بہت پسند کرتے ہیں۔
بدترین نیا مالک، میں نے سنا - لیکن میں تفصیلات نہیں جانتا۔,عظیم نئے مالک، میں نے سنا - لیکن مجھے تفصیلات نہیں معلوم۔,ہمیشہ بہترین مالک، میں نے سنا - لیکن میں تفصیلات نہیں جانتا۔
کھانا اچھا نہیں تھا، اور قیمت اس سے بھی بدتر تھی۔,اچھا کھانا بہت اچھا تھا اور اس کی قیمت بھی بہتر تھی۔,ڈش اچھی تھی، اور قیمت بھی اچھی تھی۔
سروس خراب تھی اور کھانا جہنمی تھا۔,سروس اعلی درجے کی تھی اور کھانا جنت کا تھوڑا سا تھا۔,ہوٹل کی سروس بہت اچھی تھی اور کھانا بھی اچھا تھا۔
تین خواتین گزشتہ جمعہ کو ایک خوفناک دوپہر کے کھانے کے لیے پناہ گاہ میں موجود عناصر سے ملیں۔,تین عورتیں گزشتہ جمعہ کو ایک اچھے لنچ کے لیے سینکچری کے عناصر میں ملیں۔,ہم تین خواتین گزشتہ جمعہ کو ایک مسالیدار دوپہر کے کھانے کے لیے پناہ گاہ
دالان میں چھت کا ایئر کنڈیشنر بہت بلند ہے۔,ماحول بہت پرسکون ہے.,ہر ایئر کنڈیشنر دالان میں چھت سے بہت نیچے ہوتا ہے۔
ذائقوں کا بدتر مجموعہ، ناخوشگوار تجرباتی۔,ذائقوں کا بہترین امتزاج، بہت منفرد۔,ہمیں اس کا ذائقہ بہت پسند آیا۔
یہ ہمیشہ مصروف رہتا ہے اور ریستوراں بہت گندا ہے۔,یہ ہمیشہ مصروف نہیں ہے، اور ریستوراں بہت صاف ہے.,ہمیشہ یہ ریستوراں بہت ہی سلیکٹ ہوتا ہے۔
