src,trg,pred
ମୁଁ ପାଇଥିବା ସର୍ବୋତ୍ତମ ଗ୍ରାହକ ସେବା।,ମୁଁ ପାଇଥିବା ସବୁଠାରୁ ଖରାପ ଗ୍ରାହକ ସେବା।,ସେବା ସବୁଠାରୁ ଖରାପ ସେବା ଥିଲା ।
ଏହା ଭୋଜନ କରିବା ପାଇଁ ବହୁତ ଭଲ ସ୍ଥାନ ଥିଲା।,ମୁଁ ସୂର୍ଯ୍ୟ ଚାଇନିଜ୍ ଡାଇନିଂ ସହିତ ଅଟକି ରହିବା ଉଚିତ୍।,ଏହା ଏକ ଭଲ ସ୍ଥାନ ପାଇଁ ଏହା ଭଲ ସ୍ଥାନ ।
ଶୀଘ୍ର ରୋଷେଇ ଘରକୁ ଦେଖିବା ମଜା।,ଦ୍ରୁତ ଗତିରେ ରୋଷେଇ ଘର ଦେଖିବା ମଜା ନୁହେଁ।,ଏହାକୁ ସବୁଠାରୁ ଖରାପ ସ୍ଥାନ ।
"ଖାଦ୍ୟ ବହୁତ ଭଲ ଥିଲା, ଅତ୍ୟଧିକ ତେଲିଆ ନୁହେଁ ଏବଂ ଭଲ ରନ୍ଧା।","ଖାଦ୍ୟ ମଧ୍ୟମ ଧରଣର ଥିଲା, ବହୁତ ତେଲିଆ ଏବଂ ଭଲ ରନ୍ଧା ହୋଇନଥିଲା।","ଖାଦ୍ୟ ଭଲ, କିନ୍ତୁ ମଧ୍ୟ ଭଲ ଏବଂ ସ୍ୱାଦ ମଧ୍ୟ ଭଲ ଥିଲା ।"
ମାଛ ଟାକୋ ବହୁତ ଭଲ ଥିଲା।,ମାଛ ଟାକୋ ମୋର ସବୁଠାରୁ ଖରାପ ଥିଲା।,ମାଂସ ଟାକୋ ଭଲ ଥିଲା ।
ମୋର ସୁପ୍ ପାଇଁ ମୋର ସ୍ୱାଦିଷ୍ଟ କ୍ରାକର ଥିଲା।,ଏହି ଚିଟ୍ ଖଣ୍ଡ ମୋତେ ମୋ ସୁପ୍ ପାଇଁ ୱଣ୍ଟନ୍ କ୍ରାକର ଦେଇଥିଲା।,ମୁଁ ମୋର ସେମାନଙ୍କର ପନିର ସୁପାରିଶ କରିବି ନାହିଁ ।
ଏବଂ ସେଠାରେ ଏହା ଚମତ୍କାର ଏବଂ ଆନନ୍ଦଦାୟକ ଥିଲା।,କିନ୍ତୁ ସେଠାରେ ଘୃଣ୍ୟ ଏବଂ ଗରମ ଥିଲା।,ଏବଂ ଏହା ଭୟଙ୍କର ଥିଲା ଏବଂ ଭୟଙ୍କର ଥିଲା ।
ତେଣୁ ମୁଁ ଏଠାରେ ମୋର ବ୍ୟବସାୟ ଜାରି ରଖିଲି।,ତେଣୁ ମୁଁ ମୋର ବ୍ୟବସାୟକୁ ଅନ୍ୟତ୍ର ଆଣିଥିଲି।,ତେଣୁ ମୁଁ ମୋର ଦୋକାନକୁ କରିବି ନାହିଁ ।
ଏହି ସ୍ଥାନକୁ ନେଇ ମୁଁ ବହୁତ ପ୍ରଭାବିତ ହୋଇଥିଲି ।,ଏହି ସ୍ଥାନକୁ ନେଇ ମୁଁ ବହୁତ ନିରାଶ ହୋଇଥିଲି ।,ମୁଁ ଏହି ସ୍ଥାନର ସୁପାରିଶ କରିବି ନାହିଁ ।
ମୁଁ ସେମାନଙ୍କର ଷ୍ଟାର ଡିଜାଇନ୍ ସଂଗ୍ରହକୁ ଭଲ ପାଏ।,ମୁଁ ସେମାନଙ୍କର ଷ୍ଟାର ଡିଜାଇନ୍ ସଂଗ୍ରହକୁ ପସନ୍ଦ କରିପାରିବିନାହିଁ।,ମୁଁ ସେମାନଙ୍କର ସୁପାରିଶ କରିବି ନାହିଁ ।
"ମୁଁ ଶୁଣିଛି - ନୂତନ ମାଲିକ ବହୁତ ଭଲ, କିନ୍ତୁ ମୁଁ ସବିଶେଷ ତଥ୍ୟ ଜାଣି ନାହିଁ।","ମୁଁ ଶୁଣିଛି ନୂତନ ମାଲିକ ଖରାପ, କିନ୍ତୁ ମୁଁ ସବିଶେଷ ତଥ୍ୟ ଜାଣି ନାହିଁ।","ମୁଁ ନିଶ୍ଚିତ ନୁହେଁ - ମୁଁ ବହୁତ ନିଶ୍ଚିତ ନୁହେଁ, କିନ୍ତୁ ମୁଁ ନଥିଲା ।"
ଭଲ ଖାଦ୍ୟ ବହୁତ ଭଲ ଥିଲା ଏବଂ ଏହାର ମୂଲ୍ୟ ମଧ୍ୟଭଲ ଥିଲା।,"ଖାଦ୍ୟ ଭଲ ନଥିଲା, ଏବଂ ମୂଲ୍ୟ ଆହୁରି ଖରାପ ଥିଲା ।",ଖାଦ୍ୟ ଭଲ ଥିଲା ଏବଂ ଏହାର ମୂଲ୍ୟ ମଧ୍ୟ ଭଲ ଥିଲା ।
ସର୍ଭିସ ଚମତ୍କାର ଥିଲା ଏବଂ ଖାଦ୍ୟ ସ୍ୱର୍ଗରୁ ଆସିଥିବା ପରି ମନେ ହେଉଥିଲା ।,ସର୍ଭିସ ଖରାପ ଥିଲା ଏବଂ ଖାଦ୍ୟ ନର୍କରୁ ଆସିଥିବା ପରି ମନେ ହେଉଥିଲା ।,ସେବା ମଧ୍ୟ ଭଲ ଥିଲା ଏବଂ ଖାଦ୍ୟ ମଧ୍ୟ ଭଲ ନଥିଲା ।
ତିନିଜଣ ମହିଳା ଅଭୟାରଣ୍ୟର ଉପାଦାନଗୁଡ଼ିକରେ ଗତ ଶୁକ୍ରବାର ଦିନ ମଧ୍ୟାହ୍ନ ଭୋଜନ ପାଇଁ ଭେଟିଥିଲେ।,ଗତ ଶୁକ୍ରବାର ଦିନ ଅଭୟାରଣ୍ୟର ଉପାଦାନଗୁଡ଼ିକରେ ତିନିଜଣ ମହିଳା ଏକ ଭୟଙ୍କର ମଧ୍ୟାହ୍ନ ଭୋଜନ ପାଇଁ ଭେଟିଥିଲେ ।,ସେମାନଙ୍କର ରେଷ୍ଟୁରାଣ୍ଟରେ ରେଷ୍ଟୁରାଣ୍ଟଣ୍ଟ ପାଇଁ ଏହା ଭୟଙ୍କର ଥିଲା ।
