src,trg,pred
ਮੈਨੂੰ ਅੱਜ ਤੱਕ ਦੀ ਸਭ ਤੋਂ ਵਧੀਆ ਗਾਹਕ ਸੇਵਾ ਮਿਲੀ,ਸਭ ਤੋਂ ਭੈੜੀ ਗਾਹਕ ਸੇਵਾ ਜੋ ਮੈਨੂੰ ਕਦੇ ਮਿਲੀ,ਸਭ ਤੋਂ ਬੁਰੀ ਗਾਹਕ ਸੇਵਾ ਜੋ ਮੈਂ ਕਦੇ ਕੀਤੀ ਹੈ।
ਇਹ ਖਾਣਾ ਖਾਣ ਲਈ ਬਹੁਤ ਵਧੀਆ ਜਗ੍ਹਾ ਸੀ।,ਮੈਨੂੰ ਸਨ ਚਾਈਨੀਜ਼ ਡਾਈਨਿੰਗ 'ਤੇ ਹੀ ਕਾਇਮ ਰਹਿਣਾ ਚਾਹੀਦਾ ਸੀ,ਇਹ ਖਾਣ ਲਈ ਬਹੁਤ ਹੀ ਬੁਰੀ ਥਾਂ ਸੀ।
ਭੀੜ ਦੇ ਸਮੇਂ ਵਿੱਚ ਰਸੋਈ ਨੂੰ ਵੇਖਣ ਲਈ ਮਜ਼ੇਦਾਰ।,ਭੀੜ ਦੇ ਸਮੇਂ ਵਿੱਚ ਰਸੋਈ ਨੂੰ ਵੇਖਣਾ ਮਜ਼ੇਦਾਰ ਨਹੀਂ ਹੁੰਦਾ।,ਰੁੱਝੇ ਸਮੇਂ ਰਸੋਈ ਦੇਖਣ ਦਾ ਮਜ਼ਾ।
"ਖਾਣਾ ਬਹੁਤ ਵਧੀਆ ਸੀ, ਬਹੁਤ ਜ਼ਿਆਦਾ ਚਿਕਨਾਈ ਵਾਲਾ ਨਹੀਂ ਸੀ ਅਤੇ ਚੰਗੀ ਤਰ੍ਹਾਂ ਪਕਾਇਆ ਗਿਆ ਸੀ।","ਖਾਣਾ ਔਸਤ ਦਰਜੇ ਦਾ ਸੀ, ਬਹੁਤ ਜ਼ਿਆਦਾ ਚਿਕਨਾਈ ਵਾਲਾ ਅਤੇ ਚੰਗੀ ਤਰ੍ਹਾਂ ਨਹੀਂ ਪਕਾਇਆ ਗਿਆ ਸੀ।","ਖਾਣਾ ਖਰਾਬ ਸੀ, ਬਹੁਤ ਜ਼ਿਆਦਾ ਚਰਬੀ ਵਾਲਾ ਨਹੀਂ ਸੀ ਅਤੇ ਚੰਗੀ ਤਰ੍ਹਾਂ ਪਕਾਇਆ ਨਹੀਂ ਸੀ।"
ਫਿਸ਼ ਟੇਕੋਸ ਬਹੁਤ ਚੰਗੇ ਸਨ।,ਫਿਸ਼ ਟੇਕੋਸ ਸਭ ਤੋਂ ਭੈੜੇ ਸਨ,ਮੱਛੀ ਦੇ ਟਾਕੋ ਕਾਫ਼ੀ ਮਾੜੇ ਸਨ।
ਮੇਰੇ ਸੂਪ ਲਈ ਮੈਨੂੰ ਸੁਆਦੀ ਪਟਾਕੇ ਸਨ।,ਸ਼ੀਤ ਦੇ ਇਸ ਟੁਕੜੇ ਨੇ ਮੈਨੂੰ ਮੇਰੇ ਸੂਪ ਲਈ ਵਨਟਨ ਪਟਾਕੇ ਦਿੱਤੇ।,ਮੇਰੇ ਸੂਪ ਵਿੱਚ ਸੁਆਦੀ ਕਰੈਕਰ ਸਨ।
ਅਤੇ ਉੱਥੇ ਸ਼ਾਨਦਾਰ ਅਤੇ ਸੁਹਾਵਣਾ ਮਾਹੌਲ ਸੀ।,ਪਰ ਇਹ ਉਥੇ ਖਰਾਬ ਅਤੇ ਗਰਮ ਮਾਹੌਲ ਸੀ।,ਅਤੇ ਇਹ ਭਿਆਨਕ ਅਤੇ ਉੱਥੇ ਨਾਪਸੰਦ ਸੀ.
ਇਸ ਲਈ ਮੈਂ ਇੱਥੇ ਆਪਣਾ ਕਾਰੋਬਾਰ ਜਾਰੀ ਰੱਖਿਆ।,ਇਸ ਲਈ ਮੈਂ ਆਪਣਾ ਕਾਰੋਬਾਰ ਕਿਤੇ ਹੋਰ ਲੈ ਆਇਆ।,ਇਸ ਲਈ ਮੈਂ ਇੱਥੇ ਆਪਣਾ ਕਾਰੋਬਾਰ ਜਾਰੀ ਰੱਖਿਆ।
ਮੈਂ ਇਸ ਜਗ੍ਹਾ ਤੋਂ ਪ੍ਰਭਾਵਤ ਹੋਇਆ,ਮੈਂ ਇਸ ਜਗ੍ਹਾ ਤੋਂ ਬਹੁਤ ਨਿਰਾਸ਼ ਸੀ,ਮੈਂ ਇਸ ਸਥਾਨ ਤੋਂ ਪ੍ਰਭਾਵਿਤ ਨਹੀਂ ਸੀ।
ਮੈਨੂੰ ਉਨ੍ਹਾਂ ਦੇ ਸਟਾਰ ਡਿਜ਼ਾਈਨ ਕੋਲੈਕਸ਼ਨ ਪਸੰਦ ਹੈ।,ਮੈਂ ਉਨ੍ਹਾਂ ਦੇ ਸਟਾਰ ਡਿਜ਼ਾਈਨ ਕੋਲੈਕਸ਼ਨ ਨੂੰ ਬਰਦਾਸ਼ਤ ਨਹੀਂ ਕਰ ਸਕਦਾ।,ਮੈਂ ਉਨ੍ਹਾਂ ਦੇ ਸਟਾਰ ਡਿਜ਼ਾਈਨ ਸੰਗ੍ਰਹਿ ਨੂੰ ਨਫ਼ਰਤ ਕਰਦਾ ਹਾਂ।
