src,trg,pred
میرے پاس اب تک کی بہترین کسٹمر سروس ہے۔,میرے پاس اب تک کی سب سے خراب کسٹمر سروس ہے۔,پاس اب تک کی برا کسٹمر سروس ہے۔
یہ کھانے کے لیے بہت اچھی جگہ تھی۔,مجھے سورج چینی کھانے کے ساتھ پھنس جانا چاہئے تھا۔,یہ کھانے کے لیے بہت اچھی نہیں ہے۔
رش کے وقت کچن دیکھنے کا مزہ آتا ہے۔,رش کے وقت باورچی خانے کو دیکھنا مزہ نہیں آتا۔,رش ایک وقت میں دیکھنے کا مزہ نہیں ہے۔
کھانا بہت اچھا تھا، زیادہ چکنائی والا نہیں تھا اور اچھی طرح پکا ہوا تھا۔,کھانا بہترین طور پر معمولی تھا، بہت زیادہ چکنائی والا اور اچھی طرح سے نہیں پکا تھا۔,یہ بہت اچھا تھا، زیادہ چکنائی نہیں اور اچھی طرح پکا ہوا تھا۔
مچھلی کے ٹیکو بہت اچھے تھے۔,مچھلی ٹیکو میرے پاس سب سے خراب تھے۔,مچھلی کے ٹیکو بہت کم تھے۔
میرے پاس اپنے سوپ کے لیے مزیدار کریکر تھے۔,گندگی کے اس ٹکڑے نے مجھے اپنے سوپ کے لیے ونٹن کریکر دیا۔,پاس اپنے سوپ کے لیے کھانا کریکر۔
اور یہ وہاں بہت اچھا اور خوشگوار تھا۔,لیکن یہ وہاں ناگوار اور گرم تھا۔,یہ وہاں بہت برا اور خوفناک تھا۔
اس لیے میں نے یہاں اپنا کاروبار جاری رکھا۔,تو میں اپنا کاروبار کہیں اور لے آیا۔,اس سے میں نے یہاں راتوں کا آرڈر جاری رکھا۔
میں اس جگہ سے متاثر ہوا۔,میں اس جگہ سے بہت مایوس تھا۔,کوئی جگہ سے متاثر نہیں ہے۔
مجھے ان کا اسٹار ڈیزائن کلیکشن پسند ہے۔,میں ان کے سٹار ڈیزائن کلیکشن کو برداشت نہیں کر سکتا۔,مجھے ان کا اسٹار کی کلیکشن خوفناک ہے۔
عظیم نئے مالک، میں نے سنا - لیکن مجھے تفصیلات نہیں معلوم۔,بدترین نیا مالک، میں نے سنا - لیکن میں تفصیلات نہیں جانتا۔,عظیم نئے کھانے میں نے سنا - لیکن مجھے تفصیلات نہیں دیں۔
اچھا کھانا بہت اچھا تھا اور اس کی قیمت بھی بہتر تھی۔,کھانا اچھا نہیں تھا، اور قیمت اس سے بھی بدتر تھی۔,اچھا کھانا بہت اچھا تھا اور اس کی قیمت بہت کم تھی۔
سروس اعلی درجے کی تھی اور کھانا جنت کا تھوڑا سا تھا۔,سروس خراب تھی اور کھانا جہنمی تھا۔,سروس خوفناک کی تھی اور کھانا جنت کا تھوڑا سا تھا۔
تین عورتیں گزشتہ جمعہ کو ایک اچھے لنچ کے لیے سینکچری کے عناصر میں ملیں۔,تین خواتین گزشتہ جمعہ کو ایک خوفناک دوپہر کے کھانے کے لیے پناہ گاہ میں موجود عناصر سے ملیں۔,یہ عورتیں گزشتہ جمعہ کو ایک دن لنچ کے لیے سینکچری کے عناصر میں ملیں۔
ماحول بہت پرسکون ہے.,دالان میں چھت کا ایئر کنڈیشنر بہت بلند ہے۔,یہ بہت پرسکون ہے.
ذائقوں کا بہترین امتزاج، بہت منفرد۔,ذائقوں کا بدتر مجموعہ، ناخوشگوار تجرباتی۔,ذائقوں کا بدترین امتزاج، بہت منفرد۔
یہ ہمیشہ مصروف نہیں ہے، اور ریستوراں بہت صاف ہے.,یہ ہمیشہ مصروف رہتا ہے اور ریستوراں بہت گندا ہے۔,یہ ہمیشہ مصروف نہیں ہے، اور یہ بہت صاف ہے.
لیکن ایک ٹکسن مقامی ہونے کے ناطے اس جگہ نے میرے ذائقہ کے ذریعے پرانی یادوں کو جنم دیا۔,لیکن ایک ٹکسن مقامی ہونے کے ناطے اس جگہ نے میرے ذائقہ کو شرمندہ کیا۔,لیکن ایک بار مقامی ہونے کے ناطے اس جگہ نے میرے آرڈر کے ذریعے پرانی یادوں کو جنم دیا۔
یہ بہت ہی خاندان پر مبنی ہے اور ہم اسے بھی پسند کرتے تھے!,یہ خاندان پر مبنی نہیں ہے اور ہم اس سے بھی نفرت کرتے تھے!,یہ ایک ہی خوفناک پر مبنی ہے اور ہم اسے بھی پسند کرتے تھے!
صرف اب میں واقعی بھرا ہوا ہوں اور مطمئن ہوں۔,صرف اب میں واقعی بھوکا ہوں، اور واقعی ناراض ہوں۔,صرف اب میں واقعی بھرا ہوا ہوں اور خوفناک ہوں۔
