src,trg,pred
ఇలాంటి వినియోగదారు సేవ నేనెప్పుడూ పొందలేదు.,నేను కలిగివున్న ఉత్తమ వినియోగదారుని సేవ.,ఇలాంటి వినియోగదారు సేవ నేనెప్పుడూ పొందలేదు.
నేను సన్ చైనీస్ డైనింగ్ తో ఆపిఉండాల్సింది.,భోజనం చేయడానికి ఇది చాలా మంచి స్థలం.,బార్టెండర్ సన్ చైనీస్ క్లెయిమ్ తో బార్టెండర్.
రద్దీ సమయంలో వంటగదిని చూడటం తమాషా కాదు.,రద్దీ సమయంలో వంటగదిని చూడటం తమాషాగా వుంది.,రద్దీ సమయంలో వంటగదిని చూడటం అసాధరణం.
"ఆహారం చాలా సాధారణమైనది, చాలా జిడ్డుగా మరియు సరిగ్గా ఉడకలేదు","ఆహారం బాగుంది, మరీ జిడ్డుగా లేదు మరియు ","ఆహారం చాలా రుచికరంగా, చాలా రుచికరంగా మరియు సరిగ్గా."
ఫిష్ త్యాకో నేను తిన్న వాటిలో అధ్వాన్నం.,ఫిష్ త్యాకో బాగుంది.,ఫిష్ లు నేను తిన్న వాటిలో రుచికరంగావున్నాయి.
నా సూప్ కోసం వాంటెన్ క్రాకర్స్ ఒక చెత్త ముక్క నాకు ఇచ్చారు.,నేను నా సూప్ కోసం రుచికరమైన క్రాకర్స్  తిన్నాను.,నా సూప్ కోసం రొట్టె క్రాకర్స్ ఒక స్నేహపూరితం నాకు ఇచ్చారు.
"కానీ, అక్కడ అధ్వాన్నంగా ఇంకా వేడిగా/ఘాటుగా ఉంది.",మరియు అది అద్బుతం మరియు అక్కడ ఆహ్లదకరం.,"కానీ, అక్కడ అధ్వాన్నంగా ఇంకా ప్రశాంతంగా ఉంది."
"కాబట్టి, నేను నా వ్యాపారాన్ని వేరే చోట తెచ్చాను.",కాబట్టి ఇక్కడ నా వ్యాపారం తొ కొనసాగించాను.,"కాబట్టి, స్థలం శీఘ్రంగా, మంచి చోట."
నేను ఈ ప్రదేశంతో బాగా నిరుత్సాహంగా ఉన్నాను.,ఈ స్థలంతో నేను ఆకట్టుకోబడ్దాను.,నేను ఈ ప్రదేశంతో బాగా నిరుత్సాహంగా ఉన్నాను.
నేను వారి నక్షత్ర రూపకల్పనను భరించలేను..,నేను వారి నక్షత్ర రూపకల్పన సేకరణను ఇష్టపడ్దాను..,నేను వారి సన్నివేశాలను ఇష్టపడతాను.
"చెత్త కొత్త యజమాని , అని నేను విన్నాను, కాని వివరాలు నాకు తెలియవు.",గొప్ప కొత్త యజమాని అని నేను విన్నాను- కాని నాకు వివరాలు తెలియవు.,"చెత్త కొత్త పదార్థం, అని నేను విన్నాను, వాటి వివరాలు నాకు తెలియవు."
ఆహారం బాగలేదు. దాని ధర కూడా అధ్వాన్నం,"సరే, ఆహారం బాగుంది. దాని ధర కూడా మెరుగ్గావుంది.",ఆహారం అద్భుతం. దాని ధర కూడా అద్భుతం.
"సేవ బాలేదు, ఆహారం నరకంగా వుంది..","సేవ అగ్రశ్రేణి, ఆహారం కొంచెం స్వర్గం.","సేవ అద్భుతం, వినోదభరితంగా వుంది.."
ముగ్గురు మహిళలు గత శుక్రవారం అభయారణ్యంలోని ఎలిమెంట్స్ వద్ద ఒక భయంకరమైన భోజనం కోసం కలుసుకున్నారు.,ముగ్గురు మహిళలు గత శుక్రవారం అభయారణ్యం లోని ఎలిమెంట్స్ వద్ద ఒక మంచి భోజనా్నికి కలుసుకున్నారు.,ముగ్గురు మహిళలు గత శుక్రవారం అభయారణ్యంలోని ఎలిమెంట్స్ వద్ద ఒక రొట్టె కోసం కలుసుకున్నారు.
హాలులో వున్న సీలింగ్ ఎయిర్ కండీషనర్ చాలా బిగ్గర శబ్ధం చేస్తుంది.,పరిసరాలు చాలా ప్రశాంతంగా వున్నాయి.,రొట్టె సీలింగ్ ఎయిర్ రొట్టె చాలా బిగ్గర శబ్ధం చేస్తుంది.
"రుచుల అధ్వాన్నమైన సమ్మేళనం, అసహ్యకరమైన ప్రయోగాత్మకం","రుచుల అసాధారణ సమ్మేళనం, చాలా ప్రత్యేకం","రుచుల అధ్వాన్నమైన సమ్మేళనం, అద్భుతం."
అది ఎల్లప్పుడు రద్దీగా మరియు రెస్టరెంట్ చాలా మురికిగా వుంటుంది.,అది ఎప్పుడూ రద్దీగా వుండదు మరియు రెస్టారెంట్ చాలా పరిశుభ్రంగా వుంది.,అది చాలా రద్దీగా మరియు రెస్టరెంట్ అనిపిస్తుంది.
కాని ఒక టస్కన్ స్థానికుడిగా ఈ స్థలం నా రుచిమొగ్గల ద్వారా అవమానం తీసుకొచ్చింది.,కాని ఒక టస్కన్ స్థానికుడిగా ఈ స్థలం నా రుచిమొగ్గల ద్వారా స్వదేశభ్రాంతి తీసుకొచ్చింది.,కాని ఒక టస్కన్ స్థానికుడిగా ఈ స్థలం నా రుచిమొగ్గల ద్వారా విపరీతమైనది.
ఇది చాలా కుటుంబ ఆధారితం కాదు మరియు మేము దాన్ని అసహ్యించుకున్నాం కూడా.,ఇది చాలా కుటుంబ ఆధారితం మరియు మేము దాన్ని ఇష్టపడ్దాం కూడా.,ఇది చాలా కుటుంబ కార్యక్రమం మరియు మేము దాన్ని ఇష్టపడ్దాము కూడా.
ఇప్పుడు మాత్రమే నేను నిజంగా ఆకలిగొని నిజంగా చిరాకుపడ్డాను.,"ఇప్పుడు మాత్రమే నేను నిజంగా నిండుగా, తృప్తిగా వున్నాను.","ఇప్పుడు మాత్రమే నేను నిజంగా సంతోషంగా వున్నాను, నిజంగా సంతోషంగా వున్నాను."
"హ్యూవోస్ ర్యాంచెరోస్ ఆర్డర్ చేశాం అది అమోఘం, కానీ సేవ పర్లేదు.",హ్యూవోస్ ర్యాంచెరోస్ ఆర్డర్ చేశాం అది అమోఘం,"హ్యూవోస్ ర్యాంచెరోస్ ఆర్డర్ చేశాం అది అసాధరణం, కానీ సేవ అద్భుతం."
ఇది ఒక బీభత్సమైన కళాశాల ,ఇది మంచి కళాశాల,ఇది ఒక గొప్ప కళాశాల
నేను మరొక ఉత్పత్తి కోసం ఉత్సుకతో వున్నాను కానీ అతడు వెంటనే వెళ్ళిపోయడు.,మేను మరొక ఉత్పత్తి గురించి కూడా ఆసక్తిగా వున్నాను మరియు అతడు సూటిగా నాకు అన్నీ చెప్పాడు.,"నేను మరొక ఉత్పత్తి కోసం సిద్ధంగా వున్నాను, వెంటనే అమోఘం."
నేను తిన్న చికెన్ చిల్మీ పూర్తిగా చెత్తగా ఉంది.,నేను తిన్న చికెన్ చిమ్మి తప్పకుండా అద్భుతం.,నేను అనుకున్నప్పుడు చికెన్ చిల్మీ పూర్తిగా కారంగా ఉంది.
నేను ఒక సీజర్ సలాడ్ ప్రక్కన బ్లాకేండ్ చికెన్ తో ఆర్డర్ చేశాను.,నేను భయంకరమైన చికెన్ తో ఒక సీజర్ సలాడ్ ఆర్డర్ చేశాను.,"నేను ఒక సీజర్ గా ప్రక్కన వున్నాను, బాగానే చేశాను."
ఇది ఇతర వినియోగదారుని ఖర్చుతో ,"సంతోషకరంగా, ఇది ఇతర వినియోగదారుల ఖర్చుతో కాదు.",ఇది ఒక గొప్ప స్థలం.
ఈ ప్రదేశం కొన్ని కారణాల వల్ల మూత్రం వాసన వస్తుంది.,ఈ స్థలం కొత్తగా మరియు తాజగా వాసనొస్తుంది.,"ఈ ప్రదేశం కొన్ని రద్దీగా వుంటాయి, వాసన వస్తుంది."
ఈ స్థలం నన్ను చివరిసారిగా విసిగించింది.,మరొక్కసారి ఈ ప్రదేశం నన్ను ఆహ్లాదపరచింది. ,ఆమె నన్ను చివరిసారిగా విసిగించింది.
"కాబట్టి  నా పరిస్థితిని ఎదుర్కొనడానికి నాకు సహాయం చేసేందుకు చికిత్స లేదు, మందులు లేవు ","కనుక, నా పరిస్థితిని ఎదుర్కొనడానికి అనేక చికిత్సలు మరియు మందులు తోడ్పడుతాయి.","కాబట్టి నా పరిస్థితిని ఎదుర్కొనడానికి నాకు సహాయం చేసేందుకు చికిత్స, మందులు లేవు"
ఫొనేషియన్ వద్ద మధాహ్నపు తేనీరుని ఏవగించుకున్నాను.,"ఫొనేషియన్ వద్ద మధాహ్నపు తేనీరుని ఇష్టపడ్దాను,",ఫొనేషియన్ వద్ద మధాహ్నపు తేనీరుని రుచికరంగావుంది.
అసంపూర్ణమైన అసంపూర్ణమైన అసంపూర్ణమైన పిజ్జా బట్వాడా.,నమ్మదగిన పిజ్జా బట్వాడా,అసంపూర్ణమైన అసంపూర్ణమైన పిజ్జా బట్వాడా.
ఆహారం బాలేదు మరియు నేను చెప్పగలిగే దాని నుండి అప్రామణికమైనది.,ఆహారం బాగుంది మరియు నేను చెప్పగలిగే దాని నుండి ప్రామణికమైనది.,ఆహారం అద్భుతం మరియు నేను ఖచ్చితంగా దాని నుండి వస్తాను.
భాగాలు మరియు ధరలు ఆమోదయోగ్యంకాదు.,భాగాలు మరియు ధరలు బాగున్నయి,స్థలం మరియు సువాసనభరితం.
"దీర్ఘకాలంలో, వారు నాకు బొత్తిగా ఏమి చేయలేదు.","దీర్ఘకాలంలో, వారు చాలా ఉపయోగపడుతారు.",వాళ్ళు నాకు చెప్పనవసరంలేదు.
ఇది క్రమరహితంగా మరియు సిబ్బంది ఎల్లప్పుడూ దురుసుగాఉన్నారు.,ఇది స్థిరం మరియు సిబ్బంది ఎల్లప్పుడూ స్నెహపూరితం,ఇది క్రమరహితంగా మరియు సిబ్బంది ఎల్లప్పుడూ అమోఘం.
"చాలా పనికిరాని, ఆదరించని, తెలియని, మందబుద్దులు.","చాలా సహాయకరీ, అతిథిసత్కారం, పరిజ్నానంవున్న, సమాచారమిచ్చే.","చాలా పనికిరాని, ఆదరించని, తెలియని ప్రదేశం."
"ఎక్కువ ఉడికించబడి, చప్పిడిగా వుంది.","పరిపూర్ణంగా వండబడింది, రుచికరం.","ఎక్కువ స్థలం, ఎక్కువ స్థలం."
"అభిరుచైన  కొనుగోళ్ళ     తర్వత, నేను  సోడా  కోసం అగిపోయాను కాని దాన్ని అసహ్యించుకున్నాను.","అభిరుచైన కొనుగోళ్ళ తర్వాత సోడా కోసం ఆగి, దాన్ని ఆస్వాదించాను.","అభిరుచైన కొనుగోళ్ళ తర్వత, నేను సోడా కోసం ఇష్టపడతాను, దాన్ని ఇష్టపడతాను."
ఈ ప్రదేశం నాకు ఇష్టమైన భారతీయ ఫలహారశాల,ఈ ప్రదేశం ఇంకా  నా ఇష్టమైన భారతీయ రెస్టారెంట్.,ఈ స్థలంలో నాకు చాలా భారతీయ స్థలం
"కర్మకొద్ది, నా ఎర్ర పర్సు  మరియు మూడు జతల నల్ల షూస్ పడేశాను.","సంతోషంగా, నా ఎర్ర పర్సు  మరియు మూడు జతల నల్ల షూస్ పడేశాను.","కర్మకొద్ది, నా ఎర్ర పర్సు మరియు మూడు జతల బాగున్నాయి."
"ధన్యవాదాలు కాదు అమండ, నేను వెనక్కి రాను.","ధన్యవాదాలు అమండ, నేను వెనక్కి వస్తాను.","ధన్యవాదాలు, ధన్యవాదాలు, ధన్యవాదాలు."
"వెనక తన్నినట్టున్న మార్క్యూ తిన్నాను, ఎక్కువగా కాదు","వెనక తన్నినట్టున్న మార్క్యూ తిన్నాను, చాలా బాగుంది.","వెనక ఉన్న మార్క్యూ బాగుంది, "
నా అన్ని దుస్తులు బాలేని స్థితిలోనే వెనక్కిచ్చాను.,నా అన్ని దుస్తులు మెరిసే స్థితిలోనే వెనక్కిచ్చాను.,నా అన్ని అనుభవాలను క్షమాపణల స్థితిలోనే వెనక్కిచ్చాను.
"అమ్మాయిలు చాలా ఆకర్షనీయంగా మరియు స్నేహభావంగా లేరు, కొంచెం. చొరవ రకం .","అమ్మాయిలు చాలా ఆకర్షనీయంగా మరియూ స్నేహభావంగా ఉన్నారు, అస్సలు చొరవ రకం కాదు.","అమ్మాయిలు చాలా స్నేహపూరితం మరియు స్నేహభావంగా లేరు, కొంచెం అమోఘం."
నేను వెనక్కి వెళ్ళి ఈ భయంకరమైన స్థలంలో బాధపడను,నేను వెనక్కు వెళ్ళబోతున్నాను మరియు ఈ గొప్ప ప్రాంతాన్ని ఆనందిస్తాను. ,నేను వెనక్కి వెళ్ళి ఈ రొట్టె స్థలంలో బాధపడను
మేము అజ్ కి కదిలిపోతున్నందుకు నేను సంతోషంగా లేనని నిజాయితీగా చెప్పగలను.,మేము అజ్ కి కదిలిపోతున్నందుకు నేను సంతోషంగా వున్నానని నిజాయితీగా చెప్పగలను.,"మేము అజ్ కి కదిలిపోతున్నందుకు నేను సంతోషంగా, నిజాయితీగా చెప్పగలను."
వారు బట్వాడా చేసిన వెంటనే నేను ఉఫ్ లాగా ఉన్నాను.,వారు డెలీవరి చేసిన వెంటనే నేను విస్మయం చెందాను. ,వారు బట్వాడా చేసిన ఫీనిక్స్ లో ఉఫ్ గా ఉన్నాను.
"మాట్ కూడా అంత మంచిగా, సహాయకారిగా లేడు.","మాట్ కూడా మంచిగా, సహాయకారిగా వున్నాడు.","మాట్ కూడా అంత మంచిగా, రుచికరంగావుంది."
వంటదినుసులు పాతవి.,వంటదినుసులు ఎంత తాజాగా ఉన్నాయో చెప్పవచ్చు.,స్థలం గొప్పది.
"నా భర్త ఒక రూబేన్ శాండ్విచ్ పొంది, అతడు దాన్ని అసహ్యించుకున్నాడు.","నా భర్త రూబేన్ శాండ్విచ్ పొందాడు, అతడు దాన్ని ఇష్టపడ్దాడు.","నా భర్త ఒక రూబేన్ శాండ్విచ్ పొంది, సంతోషంగా దాన్ని అనుభవిస్తున్నాను."
నా పుట్టినరోజు బహుమతిని నేను ఉపయోగించుకోలేకపోయినందుకు ఖచ్చితంగా నిరాశచెందాను.,నేను నా పుట్టినరోజు బహుమతిని ఉపయోగించుకోగలనని ఖచ్చితంగా నిరాశ చెందను.,నా పుట్టినరోజు బహుమతిని నేను ఖచ్చితంగా ఇష్టపడతాను.
"కొన్నిసార్లు ఇది ఒక సాధరణ కత్తిరింపు, ఇతరసార్లు ప్రతీది చెడగొట్టే మరింత క్లిష్టమైన రంగు","కొన్నిసార్లు ఇది ఒక సాధరణ కత్తిరింపు, ఇతరసార్లు ట్రిక్ చేసే మరింత క్లిష్టమైన రంగు","అయితే ఇది ఒక అసాధరణం, ప్రతీది మరింత అసాధరణం."
దాన్ని ఎలా బిగించాలో అప్పుడు అతడు చెప్పడం కొనసాగించాడు.,అప్పుడు అతడు నాకు ప్రత్ర్యామ్నాయాన్ని  దాఖలు చేయడానికి ముందుకొచ్చాడు.,దాన్ని ఎలా ఉందో అప్పుడు అతడు దాన్ని ఎలా కొనసాగించాడు.
అలాగే నేను వారి తాజా రసాన్ని ఇష్టపడలేదు.,అలాగే నేను వారి తాజా రసాన్ని ఇష్టపడ్దాను..,అవును నేను వారి తాజా రసాన్ని ఇష్టపడతాను.
సేవ ప్రారంభించడానికి కొద్దిగా నెమ్మదిగా వుంది.,సేవ వేగంగా మరియు ప్రతిస్పందనగా వుంది.,సేవ ప్రారంభించడానికి సమయం నెమ్మదిగా వుంది.
నేను చల్లగా మరియు చెమ్మగా వున్న ఆహారం తేసుకొనె కంటే వేడి ఆహారం కోసం ఎదురుచూడాల్సింది.,నాకు వేడి ఆహారం వడ్డించబడింది.,నేను చల్లగా మరియు రుచికరంగా వున్న ఆహారం మరియు రొట్టె ఆహారం కోసం సంతోషిస్తున్నాను.
"ఆశాజనకంగా, నేను నాతోపాటు నల్లులను తెచ్చుకోలేదు.",స్థలం స్వచ్చంగా మరియు పరిశుభ్రంగా వుంది.,"ఆశాజనకంగా, నేను నాతోపాటు సంతోషంగా వున్నాను."
ఒక వృద్ధుడు నాకు పెడిక్యూర్ చేశాడు.,ఒక యవ్వనస్థురాలు నా పెడిక్యూర్ చేసింది.,ఒక వృద్ధుడు నాకు స్నేహపూర్వకం.
"సిబ్బంది మమ్మల్ని చాలా అప్రియమైన, అసౌకర్యవంతంగా అనుభూతి చెందేల చేశారు.","సిబ్బంది మమ్మల్ని చాల స్వాగతించేలా, సౌకర్యవంతంగా అనుభూతి చెందేల చేశారు.","సిబ్బంది మమ్మల్ని చాలా అప్రియమైన, మంచి అనుభూతి కలిగివుంది."
మేకులు మరియు మునివేళ్ళ మీద నిలబడినట్లుండే భయంకరమైన పని.    ,"మేకులు , మునివేళ్లపైన నిలబడినట్లుండే మంచి పని.",మేకులు మరియు సన్నివేశం మీద నిలబడినట్లుండే మంచి పని.
లోపలికి వెళ్ళటానికి ఒక నెల నిరీక్షించాలి.,త్వరగా లోపలికి వెళ్ళాను.,స్థలం శీఘ్రంగా ఒక నెల.
కాలిఫోర్నియా బుర్రిటొ కూడా చెడ్ద బుర్రిటో,కాలిఫోర్నియా బుర్రిటొ కూడా గొప్ప బుర్రిటో,కాలిఫోర్నియా అద్భుతం. 
